Path,File size,File size human,Duration,Sample rate,Channels,Codec,Bitrate,Unity load type,Compression format,Quality setting,Preload audio data,Referencing objects,Duplicated versions/same recording,Audio extracted from videos,Long uncompressed WAV flag,Stereo-to-mono candidate,Under Resources/StreamingAssets,Recommended action,Risk level
Assets/BCaT_assets/9night/9night-soundscape.wav,99988554,95.4 MB,86.782083,48000,6,pcm_f32le,9216000,2,1,1,0,Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (1).unity; Assets/_Recovery/0 (10).unity; Assets/_Recovery/0 (11).unity; Assets/_Recovery/0 (13).unity; Assets/_Recovery/0 (14).unity; Assets/_Recovery/0 (15).unity; Assets/_Recovery/0 (16).unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (2).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (3).unity; Assets/_Recovery/0 (5).unity; Assets/_Recovery/0 (6).unity; Assets/_Recovery/0 (7).unity; Assets/_Recovery/0 (8).unity; Assets/_Recovery/0 (9).unity,,,Yes,No,,P1: stream/compress long WAV,Moderate
Assets/BCaT_assets/LindaLeaks/Linda_Leaks_CHOF_720p_audio.wav,55976110,53.4 MB,317.323900,44100,2,pcm_s16le,1411200,2,1,1,0,Assets/BCaT_assets/LindaLeaks/Prefabs/LindaLeaks_Exhibit_VintageCamera.prefab,,Assets/BCaT_assets/LindaLeaks/Linda_Leaks_CHOF_720p.mp4; Assets/StreamingAssets/Linda_Leaks_CHOF_720p.mp4,Yes,Yes,,P1: stream/compress long WAV,Moderate
Assets/BCaT_assets/SewingRoom/sewing-sounds.wav,36757578,35.1 MB,190.790604,48000,2,pcm_s16le,1536000,2,1,1,0,Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (1).unity; Assets/_Recovery/0 (10).unity; Assets/_Recovery/0 (11).unity; Assets/_Recovery/0 (13).unity; Assets/_Recovery/0 (14).unity; Assets/_Recovery/0 (15).unity; Assets/_Recovery/0 (16).unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (2).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (3).unity; Assets/_Recovery/0 (5).unity; Assets/_Recovery/0 (6).unity; Assets/_Recovery/0 (7).unity; Assets/_Recovery/0 (8).unity; Assets/_Recovery/0 (9).unity,,,Yes,Yes,,P1: stream/compress long WAV,Moderate
Assets/BCaT_assets/SewingRoom/in_my_sisters_room_audio.wav,36634702,34.9 MB,190.805333,48000,2,pcm_s16le,1536000,2,1,1,0,Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (1).unity; Assets/_Recovery/0 (10).unity; Assets/_Recovery/0 (11).unity; Assets/_Recovery/0 (13).unity; Assets/_Recovery/0 (14).unity; Assets/_Recovery/0 (15).unity; Assets/_Recovery/0 (16).unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (2).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (3).unity; Assets/_Recovery/0 (5).unity; Assets/_Recovery/0 (6).unity; Assets/_Recovery/0 (7).unity; Assets/_Recovery/0 (8).unity; Assets/_Recovery/0 (9).unity,,,Yes,Yes,,P1: stream/compress long WAV,Moderate
Assets/BCaT_assets/Ri/and that is the truth - you know what I'm meaning.mp3,17999572,17.2 MB,741.248000,48000,2,mp3,194250,0,1,1,0,Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (23).unity,,Assets/BCaT_assets/Ri/and that is the truth - you know what I'm meaning_720p.mp4; Assets/StreamingAssets/and that is the truth - you know what I'm meaning_720p.mp4,No,Yes,,Review import settings,Moderate
Assets/BCaT/Exhibits/BlackKitchen/Audio/exit_reflection.mp3,3399471,3.2 MB,105.848163,44100,2,mp3,256777,2,1,1,0,Assets/BCaT/Exhibits/BlackKitchen/Editor/BlackKitchenExperienceBuilder.cs; Assets/BCaT/Exhibits/BlackKitchen/Scenes/BlackKitchen_MemoryScene.unity,,,No,Yes,,Review import settings,Moderate
Assets/BCaT/Exhibits/BlackKitchen/Audio/birthday_cake.mp3,2693086,2.6 MB,83.095510,44100,2,mp3,259079,2,1,1,0,Assets/BCaT/Exhibits/BlackKitchen/Editor/BlackKitchenExperienceBuilder.cs; Assets/BCaT/Exhibits/BlackKitchen/Scenes/BlackKitchen_MemoryScene.unity,,,No,Yes,,Review import settings,Moderate
Assets/BCaT_assets/Ri/duppy know who fi frighten.mp3,2669004,2.5 MB,83.278375,44100,2,mp3,256000,0,1,1,0,Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (23).unity,,,No,Yes,,Review import settings,Moderate
Assets/BCaT_assets/Ri/you don't know about style my darling.mp3,2660692,2.5 MB,160.512000,48000,2,mp3,132583,0,1,1,0,Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (23).unity,,Assets/BCaT_assets/Ri/you don't know about style my darling_720p.mp4; Assets/StreamingAssets/you don't know about style my darling_720p.mp4,No,Yes,,Review import settings,Moderate
Assets/BCaT/Exhibits/BlackKitchen/Audio/kitchen_conversation.mp3,2211889,2.1 MB,68.780408,44100,2,mp3,257031,2,1,1,0,Assets/BCaT/Exhibits/BlackKitchen/Editor/BlackKitchenExperienceBuilder.cs; Assets/BCaT/Exhibits/BlackKitchen/Scenes/BlackKitchen_MemoryScene.unity; Assets/BCaT/Exhibits/BlackKitchen/Scripts/BlackKitchenAmbientZone.cs,,,No,Yes,,Review import settings,Moderate
