Asset path,Asset type,Source file size,Source file size human,Estimated packed/build size,Referencing scene/prefab/component/script/Resources,Also present in StreamingAssets,Recommended action,Risk level
webgl/index.html,WebGL output,5647,5.5 KB,5647,Built output,No,Inspect source asset if large,Audit only
webgl/.DS_Store,WebGL output,6148,6.0 KB,6148,Built output,No,Inspect source asset if large,Audit only
webgl/TemplateData/MemoryProfiler.png,WebGL output,665,665 B,665,Built output,No,Inspect source asset if large,Audit only
webgl/TemplateData/fullscreen-button.png,WebGL output,175,175 B,175,Built output,No,Inspect source asset if large,Audit only
webgl/TemplateData/unity-logo-dark.png,WebGL output,3042,3.0 KB,3042,Built output,No,Inspect source asset if large,Audit only
webgl/TemplateData/favicon.ico,WebGL output,2305,2.3 KB,2305,Built output,No,Inspect source asset if large,Audit only
webgl/TemplateData/webmemd-icon.png,WebGL output,1670,1.6 KB,1670,Built output,No,Inspect source asset if large,Audit only
webgl/TemplateData/progress-bar-empty-light.png,WebGL output,109,109 B,109,Built output,No,Inspect source asset if large,Audit only
webgl/TemplateData/style.css,WebGL output,1448,1.4 KB,1448,Built output,No,Inspect source asset if large,Audit only
webgl/TemplateData/unity-logo-title-footer.png,WebGL output,1151,1.1 KB,1151,Built output,No,Inspect source asset if large,Audit only
webgl/TemplateData/progress-bar-full-dark.png,WebGL output,74,74 B,74,Built output,No,Inspect source asset if large,Audit only
webgl/TemplateData/progress-bar-full-light.png,WebGL output,84,84 B,84,Built output,No,Inspect source asset if large,Audit only
webgl/TemplateData/progress-bar-empty-dark.png,WebGL output,96,96 B,96,Built output,No,Inspect source asset if large,Audit only
webgl/TemplateData/unity-logo-light.png,WebGL output,3077,3.0 KB,3077,Built output,No,Inspect source asset if large,Audit only
webgl/StreamingAssets/in_my_sisters_room_xr.mp4,WebGL output,78793971,75.1 MB,78793971,Built output,Yes,Inspect source asset if large,Audit only
webgl/StreamingAssets/you don't know about style my darling_720p.mp4,WebGL output,14920335,14.2 MB,14920335,Built output,Yes,Inspect source asset if large,Audit only
webgl/StreamingAssets/subjected_to_recognition_720p.mp4,WebGL output,230720,225.3 KB,230720,Built output,Yes,Inspect source asset if large,Audit only
webgl/StreamingAssets/such lovely gravy_720p.mp4,WebGL output,7518495,7.2 MB,7518495,Built output,Yes,Inspect source asset if large,Audit only
webgl/StreamingAssets/Linda_Leaks_CHOF_720p.mp4,WebGL output,34127159,32.5 MB,34127159,Built output,Yes,Inspect source asset if large,Audit only
webgl/StreamingAssets/and that is the truth - you know what I'm meaning_720p.mp4,WebGL output,124790760,119.0 MB,124790760,Built output,Yes,Inspect source asset if large,Audit only
webgl/Build/webgl.framework.js.br,WebGL output,87493,85.4 KB,87493,Built output,No,Inspect source asset if large,Audit only
webgl/Build/webgl.data.br,WebGL output,900436076,858.7 MB,900436076,Built output,No,Inspect source asset if large,Audit only
webgl/Build/webgl.wasm.br,WebGL output,13170620,12.6 MB,13170620,Built output,No,Inspect source asset if large,Audit only
webgl/Build/webgl.loader.js,WebGL output,26982,26.3 KB,26982,Built output,No,Inspect source asset if large,Audit only
Assets/BCaT_assets/Ri/and that is the truth - you know what I'm meaning_720p.mp4,Video,124790760,119.0 MB,Unavailable: buildreport missing,Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (24).unity,No,P0/P1 inspect,High
Assets/StreamingAssets/and that is the truth - you know what I'm meaning_720p.mp4,Video,124790760,119.0 MB,Unavailable: buildreport missing,Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (24).unity; StreamingAssets raw copy,Yes,P0/P1 inspect,High
Assets/BCaT_assets/9night/9night-soundscape.wav,Audio,99988554,95.4 MB,Unavailable: buildreport missing,Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (1).unity; Assets/_Recovery/0 (10).unity; Assets/_Recovery/0 (11).unity; Assets/_Recovery/0 (13).unity; Assets/_Recovery/0 (14).unity; Assets/_Recovery/0 (15).unity; Assets/_Recovery/0 (16).unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (2).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (3).unity; Assets/_Recovery/0 (5).unity; Assets/_Recovery/0 (6).unity; Assets/_Recovery/0 (7).unity; Assets/_Recovery/0 (8).unity; Assets/_Recovery/0 (9).unity,No,P0/P1 inspect,High
Assets/StreamingAssets/in_my_sisters_room_xr.mp4,Video,78793971,75.1 MB,Unavailable: buildreport missing,Assets/BH_XR_MainScene.unity; Assets/Scripts/QuiltVideoPopUp.cs; Assets/_Recovery/0 (1).unity; Assets/_Recovery/0 (10).unity; Assets/_Recovery/0 (11).unity; Assets/_Recovery/0 (13).unity; Assets/_Recovery/0 (14).unity; Assets/_Recovery/0 (15).unity; Assets/_Recovery/0 (16).unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (2).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (24).unity; Assets/_Recovery/0 (3).unity; Assets/_Recovery/0 (5).unity; Assets/_Recovery/0 (6).unity; Assets/_Recovery/0 (7).unity,Yes,P0/P1 inspect,High
Assets/BCaT/Exhibits/BlackKitchen/Models/Reference/point_cloud_scan_REFERENCE_ONLY_DO_NOT_BUILD.ply,Unity/Other,76945833,73.4 MB,Unavailable: buildreport missing,,No,P0/P1 inspect,Unknown
Assets/SubstanceAssets/LittleGamesPack/Textures/ChessPieces/ChessPieces_Normal_OpenGL.png,Texture,69681270,66.5 MB,Unavailable: buildreport missing,Assets/SubstanceAssets/LittleGamesPack/Materials/ChessPieces.mat,No,P0/P1 inspect,High
Assets/BCaT_assets/LindaLeaks/Linda_Leaks_CHOF_720p_audio.wav,Audio,55976110,53.4 MB,Unavailable: buildreport missing,Assets/BCaT_assets/LindaLeaks/Prefabs/LindaLeaks_Exhibit_VintageCamera.prefab,No,P0/P1 inspect,High
Assets/DevDen Arch Viz Scotland/Scenes/ArchViz/ReflectionProbe-3.exr,Texture,49748560,47.4 MB,Unavailable: buildreport missing,,No,P0/P1 inspect,Unknown
