SHA256,Path,Size,Size human,Duplicate group count,Group total size,Group total human,Recommendation,Risk
f676d0a2487518ba3044d7f626f9d0f0e4b79e978474a15692042ccc3113de28,app-build_BackUpThisFolder_ButDontShipItWithYourGame/Managed/Unity.Burst.Unsafe.dll,5632,5.5 KB,2,11264,11.0 KB,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
f676d0a2487518ba3044d7f626f9d0f0e4b79e978474a15692042ccc3113de28,quest_BackUpThisFolder_ButDontShipItWithYourGame/Managed/Unity.Burst.Unsafe.dll,5632,5.5 KB,2,11264,11.0 KB,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
2b261a173ed80b6fcf8976d16a4d95f32b5743a0faa0015d7c3f4f7fe6a4a129,app-build_BackUpThisFolder_ButDontShipItWithYourGame/Managed/Newtonsoft.Json.dll,688128,672.0 KB,2,1376256,1.3 MB,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
2b261a173ed80b6fcf8976d16a4d95f32b5743a0faa0015d7c3f4f7fe6a4a129,quest_BackUpThisFolder_ButDontShipItWithYourGame/Managed/Newtonsoft.Json.dll,688128,672.0 KB,2,1376256,1.3 MB,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
5571fbc636bc33cb7afc660b29acb0dce331ff13a0574ca947fe990d20e2e22b,app-build_BackUpThisFolder_ButDontShipItWithYourGame/Managed/Unity.Collections.LowLevel.ILSupport.dll,4608,4.5 KB,2,9216,9.0 KB,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
5571fbc636bc33cb7afc660b29acb0dce331ff13a0574ca947fe990d20e2e22b,quest_BackUpThisFolder_ButDontShipItWithYourGame/Managed/Unity.Collections.LowLevel.ILSupport.dll,4608,4.5 KB,2,9216,9.0 KB,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
834e68eada270394ca26bcb94a6459ae4ff0b50c93365bf6bd506a2084e5045b,.utmp/tools/release/arm64-v8a/compile_commands.json,11250,11.0 KB,2,22500,22.0 KB,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
834e68eada270394ca26bcb94a6459ae4ff0b50c93365bf6bd506a2084e5045b,.utmp/RelWithDebInfo/5q2osh50/arm64-v8a/compile_commands.json,11250,11.0 KB,2,22500,22.0 KB,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
992e2a405b1d555e4c454f7e33d6d99b15c45dd337b453e98e33a125b996748b,.utmp/tools/debug/arm64-v8a/compile_commands.json,11010,10.8 KB,2,22020,21.5 KB,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
992e2a405b1d555e4c454f7e33d6d99b15c45dd337b453e98e33a125b996748b,.utmp/Debug/2g58671a/arm64-v8a/compile_commands.json,11010,10.8 KB,2,22020,21.5 KB,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
