Scope,Rank,Path,Size,Size human,Under Assets,Concern,Recommendation
filesystem,1,quest.apk,902903578,861.1 MB,No,build/binary artifact inside project; large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,2,webgl/Build/webgl.data.br,900436076,858.7 MB,No,build/binary artifact inside project,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,3,app-build-0.1.0-v1-IL2CPP.symbols.zip,273040810,260.4 MB,No,build/binary artifact inside project; large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,4,app-build.apk,166783729,159.1 MB,No,build/binary artifact inside project; large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,5,webgl/StreamingAssets/and that is the truth - you know what I'm meaning_720p.mp4,124790760,119.0 MB,No,build/binary artifact inside project; large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,6,Assets/StreamingAssets/and that is the truth - you know what I'm meaning_720p.mp4,124790760,119.0 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,7,Assets/BCaT_assets/Ri/and that is the truth - you know what I'm meaning_720p.mp4,124790760,119.0 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,8,Assets/BCaT_assets/9night/9night-soundscape.wav,99988554,95.4 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,9,webgl/StreamingAssets/in_my_sisters_room_xr.mp4,78793971,75.1 MB,No,build/binary artifact inside project; large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,10,Assets/StreamingAssets/in_my_sisters_room_xr.mp4,78793971,75.1 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,11,Assets/BCaT/Exhibits/BlackKitchen/Models/Reference/point_cloud_scan_REFERENCE_ONLY_DO_NOT_BUILD.ply,76945833,73.4 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,12,Assets/SubstanceAssets/LittleGamesPack/Textures/ChessPieces/ChessPieces_Normal_OpenGL.png,69681270,66.5 MB,Yes,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,13,build.app/Contents/Frameworks/UnityPlayer.dylib,63402896,60.5 MB,No,build/binary artifact inside project,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,14,Assets/BCaT_assets/LindaLeaks/Linda_Leaks_CHOF_720p_audio.wav,55976110,53.4 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,15,Assets/DevDen Arch Viz Scotland/Scenes/ArchViz/ReflectionProbe-3.exr,49748560,47.4 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,16,Assets/SubstanceAssets/LittleGamesPack/Textures/GamePieces/GamePieces_Normal_OpenGL.png,46705734,44.5 MB,Yes,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,17,Assets/DevDen Arch Viz Scotland/HDRI/HDRI.png,44743385,42.7 MB,Yes,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,18,build.app/Contents/Resources/Data/sharedassets0.assets.resS,42506912,40.5 MB,No,build/binary artifact inside project,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,19,app-build_BackUpThisFolder_ButDontShipItWithYourGame/il2cppOutput/Il2CppGenericMethodPointerTable.c,42422911,40.5 MB,No,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,20,quest_BackUpThisFolder_ButDontShipItWithYourGame/il2cppOutput/Il2CppGenericMethodPointerTable.c,40776812,38.9 MB,No,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,21,Assets/DevDen Arch Viz Scotland/Models/Study Room/books.FBX,39768560,37.9 MB,Yes,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,22,Assets/My_Custom/japanese_red_bridge.glb,36773456,35.1 MB,Yes,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,23,Assets/BCaT_assets/SewingRoom/sewing-sounds.wav,36757578,35.1 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,24,Assets/BCaT_assets/SewingRoom/in_my_sisters_room_audio.wav,36634702,34.9 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,25,Assets/TerrainSampleAssets/Textures/Terrain/Heather_Normal.tif,36128884,34.5 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,26,Assets/TerrainSampleAssets/Textures/Terrain/Pebbles_C_Normal.tif,36107892,34.4 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,27,Assets/TerrainSampleAssets/Textures/Terrain/Grass_B_Normal.tif,36105608,34.4 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,28,Assets/TerrainSampleAssets/Textures/Terrain/Grass_A_Normal.tif,36089180,34.4 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,29,Assets/TerrainSampleAssets/Textures/Terrain/Grass_Moss_Normal.tif,36063976,34.4 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,30,Assets/TerrainSampleAssets/Textures/Terrain/Grass_Dry_Normal.tif,36044732,34.4 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,31,Assets/TerrainSampleAssets/Textures/Terrain/Soil_Rocks_MaskMap.tif,36039052,34.4 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,32,Assets/TerrainSampleAssets/Textures/Terrain/Grass_Soil_Normal.tif,35994420,34.3 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,33,Assets/TerrainSampleAssets/Textures/Terrain/Muddy_Normal.tif,35888960,34.2 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,34,Assets/TerrainSampleAssets/Textures/Terrain/Pebbles_A_Normal.tif,35828800,34.2 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,35,Assets/TerrainSampleAssets/Textures/Terrain/Black_Sand_Normal.tif,35725576,34.1 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,36,Assets/TerrainSampleAssets/Textures/Terrain/Soil_Rocks_Normal.tif,35677264,34.0 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
