Path,Size,Size human,Category,Label,Reference evidence,Reason,Recommendation,Risk
Assets/BCaT_assets/Ri/and that is the truth - you know what I'm meaning_720p.mp4,124790760,119.0 MB,Referenced,Required/Referenced indirectly,Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (24).unity,Large referenced/indirect asset,Do not delete until Unity dependency check confirms,High-risk deletion
Assets/StreamingAssets/and that is the truth - you know what I'm meaning_720p.mp4,124790760,119.0 MB,B: indirectly included,Unknown/runtime-loaded,Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (24).unity; StreamingAssets raw copy,Large referenced/indirect asset,Do not delete until Unity dependency check confirms,High-risk deletion
Assets/BCaT_assets/9night/9night-soundscape.wav,99988554,95.4 MB,Referenced,Required/Referenced indirectly,Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (1).unity; Assets/_Recovery/0 (10).unity; Assets/_Recovery/0 (11).unity; Assets/_Recovery/0 (13).unity; Assets/_Recovery/0 (14).unity; Assets/_Recovery/0 (15).unity; Assets/_Recovery/0 (16).unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (2).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (3).unity; Assets/_Recovery/0 (5).unity; Assets/_Recovery/0 (6).unity; Assets/_Recovery/0 (7).unity; Assets/_Recovery/0 (8).unity; Assets/_Recovery/0 (9).unity,Large referenced/indirect asset,Do not delete until Unity dependency check confirms,High-risk deletion
Assets/StreamingAssets/in_my_sisters_room_xr.mp4,78793971,75.1 MB,B: indirectly included,Unknown/runtime-loaded,Assets/BH_XR_MainScene.unity; Assets/Scripts/QuiltVideoPopUp.cs; Assets/_Recovery/0 (1).unity; Assets/_Recovery/0 (10).unity; Assets/_Recovery/0 (11).unity; Assets/_Recovery/0 (13).unity; Assets/_Recovery/0 (14).unity; Assets/_Recovery/0 (15).unity; Assets/_Recovery/0 (16).unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (2).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (24).unity; Assets/_Recovery/0 (3).unity; Assets/_Recovery/0 (5).unity; Assets/_Recovery/0 (6).unity; Assets/_Recovery/0 (7).unity,Large referenced/indirect asset,Do not delete until Unity dependency check confirms,High-risk deletion
Assets/BCaT/Exhibits/BlackKitchen/Models/Reference/point_cloud_scan_REFERENCE_ONLY_DO_NOT_BUILD.ply,76945833,73.4 MB,A: no text/GUID refs found,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/SubstanceAssets/LittleGamesPack/Textures/ChessPieces/ChessPieces_Normal_OpenGL.png,69681270,66.5 MB,Referenced,Required/Referenced indirectly,Assets/SubstanceAssets/LittleGamesPack/Materials/ChessPieces.mat,Large referenced/indirect asset,Do not delete until Unity dependency check confirms,High-risk deletion
Assets/BCaT_assets/LindaLeaks/Linda_Leaks_CHOF_720p_audio.wav,55976110,53.4 MB,Referenced,Required/Referenced indirectly,Assets/BCaT_assets/LindaLeaks/Prefabs/LindaLeaks_Exhibit_VintageCamera.prefab,Large referenced/indirect asset,Do not delete until Unity dependency check confirms,High-risk deletion
Assets/DevDen Arch Viz Scotland/Scenes/ArchViz/ReflectionProbe-3.exr,49748560,47.4 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/SubstanceAssets/LittleGamesPack/Textures/GamePieces/GamePieces_Normal_OpenGL.png,46705734,44.5 MB,Referenced,Required/Referenced indirectly,Assets/SubstanceAssets/LittleGamesPack/Materials/GamePieces.mat,Large referenced/indirect asset,Do not delete until Unity dependency check confirms,High-risk deletion
Assets/DevDen Arch Viz Scotland/HDRI/HDRI.png,44743385,42.7 MB,Referenced,Required/Referenced indirectly,Assets/DevDen Arch Viz Scotland/HDRI/Sky.mat,Large referenced/indirect asset,Do not delete until Unity dependency check confirms,High-risk deletion
