Asset path,Asset type,Source file size,Source file size human,Estimated packed/build size,Referencing scene/prefab/component/script/Resources,Also present in StreamingAssets,Recommended action,Risk level
Assets/BCaT_assets/Ri/and that is the truth - you know what I'm meaning_720p.mp4,Video,124790760,119.0 MB,Unavailable: buildreport missing,Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (24).unity,No,P0/P1 inspect,High
Assets/StreamingAssets/and that is the truth - you know what I'm meaning_720p.mp4,Video,124790760,119.0 MB,Unavailable: buildreport missing,Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (24).unity; StreamingAssets raw copy,Yes,P0/P1 inspect,High
Assets/BCaT_assets/9night/9night-soundscape.wav,Audio,99988554,95.4 MB,Unavailable: buildreport missing,Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (1).unity; Assets/_Recovery/0 (10).unity; Assets/_Recovery/0 (11).unity; Assets/_Recovery/0 (13).unity; Assets/_Recovery/0 (14).unity; Assets/_Recovery/0 (15).unity; Assets/_Recovery/0 (16).unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (2).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (3).unity; Assets/_Recovery/0 (5).unity; Assets/_Recovery/0 (6).unity; Assets/_Recovery/0 (7).unity; Assets/_Recovery/0 (8).unity; Assets/_Recovery/0 (9).unity,No,P0/P1 inspect,High
Assets/StreamingAssets/in_my_sisters_room_xr.mp4,Video,78793971,75.1 MB,Unavailable: buildreport missing,Assets/BH_XR_MainScene.unity; Assets/Scripts/QuiltVideoPopUp.cs; Assets/_Recovery/0 (1).unity; Assets/_Recovery/0 (10).unity; Assets/_Recovery/0 (11).unity; Assets/_Recovery/0 (13).unity; Assets/_Recovery/0 (14).unity; Assets/_Recovery/0 (15).unity; Assets/_Recovery/0 (16).unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (2).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (24).unity; Assets/_Recovery/0 (3).unity; Assets/_Recovery/0 (5).unity; Assets/_Recovery/0 (6).unity; Assets/_Recovery/0 (7).unity,Yes,P0/P1 inspect,High
Assets/BCaT/Exhibits/BlackKitchen/Models/Reference/point_cloud_scan_REFERENCE_ONLY_DO_NOT_BUILD.ply,Unity/Other,76945833,73.4 MB,Unavailable: buildreport missing,,No,P0/P1 inspect,Unknown
Assets/SubstanceAssets/LittleGamesPack/Textures/ChessPieces/ChessPieces_Normal_OpenGL.png,Texture,69681270,66.5 MB,Unavailable: buildreport missing,Assets/SubstanceAssets/LittleGamesPack/Materials/ChessPieces.mat,No,P0/P1 inspect,High
Assets/BCaT_assets/LindaLeaks/Linda_Leaks_CHOF_720p_audio.wav,Audio,55976110,53.4 MB,Unavailable: buildreport missing,Assets/BCaT_assets/LindaLeaks/Prefabs/LindaLeaks_Exhibit_VintageCamera.prefab,No,P0/P1 inspect,High
Assets/DevDen Arch Viz Scotland/Scenes/ArchViz/ReflectionProbe-3.exr,Texture,49748560,47.4 MB,Unavailable: buildreport missing,,No,P0/P1 inspect,Unknown
Assets/SubstanceAssets/LittleGamesPack/Textures/GamePieces/GamePieces_Normal_OpenGL.png,Texture,46705734,44.5 MB,Unavailable: buildreport missing,Assets/SubstanceAssets/LittleGamesPack/Materials/GamePieces.mat,No,P0/P1 inspect,High
Assets/DevDen Arch Viz Scotland/HDRI/HDRI.png,Texture,44743385,42.7 MB,Unavailable: buildreport missing,Assets/DevDen Arch Viz Scotland/HDRI/Sky.mat,No,P0/P1 inspect,High
Assets/DevDen Arch Viz Scotland/Models/Study Room/books.FBX,Model/Mesh,39768560,37.9 MB,Unavailable: buildreport missing,Assets/DevDen Arch Viz Scotland/Prefabs/Study Room/BookShelf.prefab; Assets/DevDen Arch Viz Scotland/Scenes/ArchViz.unity,No,P0/P1 inspect,High
Assets/My_Custom/japanese_red_bridge.glb,Model/Mesh,36773456,35.1 MB,Unavailable: buildreport missing,Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (1).unity; Assets/_Recovery/0 (10).unity; Assets/_Recovery/0 (11).unity; Assets/_Recovery/0 (13).unity; Assets/_Recovery/0 (14).unity; Assets/_Recovery/0 (15).unity; Assets/_Recovery/0 (16).unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (2).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (3).unity; Assets/_Recovery/0 (5).unity; Assets/_Recovery/0 (6).unity; Assets/_Recovery/0 (7).unity; Assets/_Recovery/0 (8).unity; Assets/_Recovery/0 (9).unity,No,P0/P1 inspect,High
Assets/BCaT_assets/SewingRoom/sewing-sounds.wav,Audio,36757578,35.1 MB,Unavailable: buildreport missing,Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (1).unity; Assets/_Recovery/0 (10).unity; Assets/_Recovery/0 (11).unity; Assets/_Recovery/0 (13).unity; Assets/_Recovery/0 (14).unity; Assets/_Recovery/0 (15).unity; Assets/_Recovery/0 (16).unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (2).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (3).unity; Assets/_Recovery/0 (5).unity; Assets/_Recovery/0 (6).unity; Assets/_Recovery/0 (7).unity; Assets/_Recovery/0 (8).unity; Assets/_Recovery/0 (9).unity,No,P0/P1 inspect,High
Assets/BCaT_assets/SewingRoom/in_my_sisters_room_audio.wav,Audio,36634702,34.9 MB,Unavailable: buildreport missing,Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (1).unity; Assets/_Recovery/0 (10).unity; Assets/_Recovery/0 (11).unity; Assets/_Recovery/0 (13).unity; Assets/_Recovery/0 (14).unity; Assets/_Recovery/0 (15).unity; Assets/_Recovery/0 (16).unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (2).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (3).unity; Assets/_Recovery/0 (5).unity; Assets/_Recovery/0 (6).unity; Assets/_Recovery/0 (7).unity; Assets/_Recovery/0 (8).unity; Assets/_Recovery/0 (9).unity,No,P0/P1 inspect,High
Assets/TerrainSampleAssets/Textures/Terrain/Heather_Normal.tif,Texture,36128884,34.5 MB,Unavailable: buildreport missing,,No,P0/P1 inspect,Unknown
Assets/TerrainSampleAssets/Textures/Terrain/Pebbles_C_Normal.tif,Texture,36107892,34.4 MB,Unavailable: buildreport missing,,No,P0/P1 inspect,Unknown
Assets/TerrainSampleAssets/Textures/Terrain/Grass_B_Normal.tif,Texture,36105608,34.4 MB,Unavailable: buildreport missing,,No,P0/P1 inspect,Unknown
Assets/TerrainSampleAssets/Textures/Terrain/Grass_A_Normal.tif,Texture,36089180,34.4 MB,Unavailable: buildreport missing,,No,P0/P1 inspect,Unknown
Assets/TerrainSampleAssets/Textures/Terrain/Grass_Moss_Normal.tif,Texture,36063976,34.4 MB,Unavailable: buildreport missing,,No,P0/P1 inspect,Unknown
Assets/TerrainSampleAssets/Textures/Terrain/Grass_Dry_Normal.tif,Texture,36044732,34.4 MB,Unavailable: buildreport missing,,No,P0/P1 inspect,Unknown
Assets/TerrainSampleAssets/Textures/Terrain/Soil_Rocks_MaskMap.tif,Texture,36039052,34.4 MB,Unavailable: buildreport missing,,No,P0/P1 inspect,Unknown
Assets/TerrainSampleAssets/Textures/Terrain/Grass_Soil_Normal.tif,Texture,35994420,34.3 MB,Unavailable: buildreport missing,,No,P0/P1 inspect,Unknown
Assets/TerrainSampleAssets/Textures/Terrain/Muddy_Normal.tif,Texture,35888960,34.2 MB,Unavailable: buildreport missing,,No,P0/P1 inspect,Unknown
Assets/TerrainSampleAssets/Textures/Terrain/Pebbles_A_Normal.tif,Texture,35828800,34.2 MB,Unavailable: buildreport missing,,No,P0/P1 inspect,Unknown
