Package,Version/source,Kind,Potential build impact,Recommendation,Risk
com.unity.2d.sprite,1.0.0,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.ai.navigation,2.0.12,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.burst,1.8.29,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.cinemachine,3.1.6,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.collab-proxy,2.12.4,Package dependency,Editor/test package may not ship but bloats project,Keep if used,Package removal requires Unity QA
com.unity.collections,6.4.0,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.ext.nunit,2.0.5,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.feature.development,1.0.2,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.ide.rider,3.0.39,Package dependency,Editor/test package may not ship but bloats project,Keep if used,Package removal requires Unity QA
com.unity.ide.visualstudio,2.0.27,Package dependency,Editor/test package may not ship but bloats project,Keep if used,Package removal requires Unity QA
com.unity.ide.vscode,1.2.5,Package dependency,Editor/test package may not ship but bloats project,Keep if used,Package removal requires Unity QA
com.unity.inputsystem,1.19.0,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.mathematics,1.3.3,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.multiplayer.center,1.0.1,Package dependency,Runtime package,Review if unused in runtime/build,Package removal requires Unity QA
com.unity.nuget.mono-cecil,1.11.6,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.package-validation-suite,0.22.0-preview,Package dependency,Runtime package,Review if unused in runtime/build,Package removal requires Unity QA
com.unity.probuilder,6.0.9,Package dependency,Runtime package,Review if unused in runtime/build,Package removal requires Unity QA
com.unity.render-pipelines.core,17.4.0,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.render-pipelines.high-definition,17.4.0,Package dependency,Runtime package,Review if unused in runtime/build,Package removal requires Unity QA
com.unity.render-pipelines.universal,17.4.0,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.searcher,4.9.4,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.shadergraph,17.4.0,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.splines,2.8.4,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.test-framework,1.6.0,Package dependency,Editor/test package may not ship but bloats project,Review if unused in runtime/build,Package removal requires Unity QA
com.unity.test-framework.performance,3.4.0,Package dependency,Editor/test package may not ship but bloats project,Review if unused in runtime/build,Package removal requires Unity QA
com.unity.timeline,1.8.12,Package dependency,Runtime package,Review if unused in runtime/build,Package removal requires Unity QA
com.unity.ugui,2.0.0,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.visualscripting,1.9.11,Package dependency,Runtime package,Review if unused in runtime/build,Package removal requires Unity QA
com.unity.xr.interaction.toolkit,3.4.1,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.xr.openxr,1.16.1,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
org.khronos.unitygltf,2.19.5,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.modules.accessibility,1.0.0,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.modules.adaptiveperformance,1.0.0,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.modules.ai,1.0.0,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.modules.androidjni,1.0.0,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.modules.animation,1.0.0,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.modules.assetbundle,1.0.0,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.modules.audio,1.0.0,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.modules.cloth,1.0.0,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.modules.director,1.0.0,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.modules.hierarchycore,1.0.0,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.modules.imageconversion,1.0.0,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.modules.imgui,1.0.0,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.modules.jsonserialize,1.0.0,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.modules.particlesystem,1.0.0,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.modules.physics,1.0.0,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
