Path,Kind,Total size,Total size human,File count,Used evidence,Recommendation,Risk
Assets/Resources,Resources folder,15060,14.7 KB,1,All Resources content is build-includable,P0/P1: remove large non-runtime Resources or load externally,High runtime/dependency risk
Assets/TextMesh Pro/Resources,Resources folder,2307247,2.2 MB,10,All Resources content is build-includable,P0/P1: remove large non-runtime Resources or load externally,High runtime/dependency risk
Assets/XRI/Settings/Resources,Resources folder,1975,1.9 KB,3,All Resources content is build-includable,P0/P1: remove large non-runtime Resources or load externally,High runtime/dependency risk
Assets/IgniteCoders/Simple Water Shader/Resources,Resources folder,3089032,2.9 MB,9,All Resources content is build-includable,P0/P1: remove large non-runtime Resources or load externally,High runtime/dependency risk
Assets/StreamingAssets/in_my_sisters_room_xr.mp4,StreamingAssets file,78793971,75.1 MB,1,Assets/BH_XR_MainScene.unity; Assets/Scripts/QuiltVideoPopUp.cs; Assets/_Recovery/0 (1).unity; Assets/_Recovery/0 (10).unity; Assets/_Recovery/0 (11).unity; Assets/_Recovery/0 (13).unity; Assets/_Recovery/0 (14).unity; Assets/_Recovery/0 (15).unity; Assets/_Recovery/0 (16).unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (2).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (24).unity; Assets/_Recovery/0 (3).unity; Assets/_Recovery/0 (5).unity; Assets/_Recovery/0 (6).unity; Assets/_Recovery/0 (7).unity,P1: keep only if URL/StreamingAssets runtime path is used; avoid duplicate VideoClip refs,Runtime-loading risk
Assets/StreamingAssets/you don't know about style my darling_720p.mp4,StreamingAssets file,14920335,14.2 MB,1,Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (24).unity; StreamingAssets raw copy,P1: keep only if URL/StreamingAssets runtime path is used; avoid duplicate VideoClip refs,Runtime-loading risk
Assets/StreamingAssets/subjected_to_recognition_720p.mp4,StreamingAssets file,230720,225.3 KB,1,Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (24).unity; StreamingAssets raw copy,P1: keep only if URL/StreamingAssets runtime path is used; avoid duplicate VideoClip refs,Runtime-loading risk
Assets/StreamingAssets/such lovely gravy_720p.mp4,StreamingAssets file,7518495,7.2 MB,1,Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (24).unity; StreamingAssets raw copy,P1: keep only if URL/StreamingAssets runtime path is used; avoid duplicate VideoClip refs,Runtime-loading risk
Assets/StreamingAssets/Linda_Leaks_CHOF_720p.mp4,StreamingAssets file,34127159,32.5 MB,1,Assets/BCaT_assets/LindaLeaks/Prefabs/LindaLeaks_Exhibit_VintageCamera.prefab; Assets/BCaT_assets/LindaLeaks/Scripts/Editor/LindaLeaksPhase2Builder.cs; Assets/_Recovery/0 (24).unity; StreamingAssets raw copy,P1: keep only if URL/StreamingAssets runtime path is used; avoid duplicate VideoClip refs,Runtime-loading risk
Assets/StreamingAssets/and that is the truth - you know what I'm meaning_720p.mp4,StreamingAssets file,124790760,119.0 MB,1,Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (24).unity; StreamingAssets raw copy,P1: keep only if URL/StreamingAssets runtime path is used; avoid duplicate VideoClip refs,Runtime-loading risk
