Path,Source file size,Source file size human,Width,Height,Texture type,Format/source,Alpha usage,Mipmap setting,Read/Write setting,Compression setting,Web platform override,Max texture size,Estimated runtime memory,Estimated runtime memory human,Referencing assets,Usage classification,Flags,Recommended action,Risk level
Assets/SubstanceAssets/LittleGamesPack/Textures/ChessPieces/ChessPieces_Normal_OpenGL.png,69681270,66.5 MB,4096,4096,1,PNG,Unknown,1,0,1,WebGL,2048,67108864,64.0 MB,Assets/SubstanceAssets/LittleGamesPack/Materials/ChessPieces.mat,Normal map,Large 4096+,P1/P2: downscale/compress or externalize,Visual QA required
Assets/DevDen Arch Viz Scotland/Scenes/ArchViz/ReflectionProbe-3.exr,49748560,47.4 MB,0,0,0,,Unknown,1,0,0,None found,2048,,,,Unknown,,P1/P2: downscale/compress or externalize,Unknown/runtime or unused candidate
Assets/SubstanceAssets/LittleGamesPack/Textures/GamePieces/GamePieces_Normal_OpenGL.png,46705734,44.5 MB,4096,4096,1,PNG,Unknown,1,0,1,WebGL,2048,67108864,64.0 MB,Assets/SubstanceAssets/LittleGamesPack/Materials/GamePieces.mat,Normal map,Large 4096+,P1/P2: downscale/compress or externalize,Visual QA required
Assets/DevDen Arch Viz Scotland/HDRI/HDRI.png,44743385,42.7 MB,8192,4096,0,PNG,Unknown,1,0,1,None found,2048,134217728,128.0 MB,Assets/DevDen Arch Viz Scotland/HDRI/Sky.mat,Unknown,Large 4096+; Huge 8192+,P1/P2: downscale/compress or externalize,Visual QA required
Assets/TerrainSampleAssets/Textures/Terrain/Heather_Normal.tif,36128884,34.5 MB,2048,2048,1,TIFF,Unknown,1,0,2,None found,2048,16777216,16.0 MB,,Normal map,,P1/P2: downscale/compress or externalize,Unknown/runtime or unused candidate
Assets/TerrainSampleAssets/Textures/Terrain/Pebbles_C_Normal.tif,36107892,34.4 MB,2048,2048,1,TIFF,Unknown,1,0,2,None found,2048,16777216,16.0 MB,,Normal map,,P1/P2: downscale/compress or externalize,Unknown/runtime or unused candidate
Assets/TerrainSampleAssets/Textures/Terrain/Grass_B_Normal.tif,36105608,34.4 MB,2048,2048,1,TIFF,Unknown,1,0,2,None found,2048,16777216,16.0 MB,,Normal map,,P1/P2: downscale/compress or externalize,Unknown/runtime or unused candidate
Assets/TerrainSampleAssets/Textures/Terrain/Grass_A_Normal.tif,36089180,34.4 MB,2048,2048,1,TIFF,Unknown,1,0,2,None found,2048,16777216,16.0 MB,,Normal map,,P1/P2: downscale/compress or externalize,Unknown/runtime or unused candidate
Assets/TerrainSampleAssets/Textures/Terrain/Grass_Moss_Normal.tif,36063976,34.4 MB,2048,2048,1,TIFF,Unknown,1,0,2,None found,2048,16777216,16.0 MB,,Normal map,,P1/P2: downscale/compress or externalize,Unknown/runtime or unused candidate
Assets/TerrainSampleAssets/Textures/Terrain/Grass_Dry_Normal.tif,36044732,34.4 MB,2048,2048,1,TIFF,Unknown,1,0,2,None found,2048,16777216,16.0 MB,,Normal map,,P1/P2: downscale/compress or externalize,Unknown/runtime or unused candidate
Assets/TerrainSampleAssets/Textures/Terrain/Soil_Rocks_MaskMap.tif,36039052,34.4 MB,2048,2048,0,TIFF,Unknown,1,0,1,None found,2048,16777216,16.0 MB,,Unknown,,P1/P2: downscale/compress or externalize,Unknown/runtime or unused candidate
Assets/TerrainSampleAssets/Textures/Terrain/Grass_Soil_Normal.tif,35994420,34.3 MB,2048,2048,1,TIFF,Unknown,1,0,2,None found,2048,16777216,16.0 MB,,Normal map,,P1/P2: downscale/compress or externalize,Unknown/runtime or unused candidate
Assets/TerrainSampleAssets/Textures/Terrain/Muddy_Normal.tif,35888960,34.2 MB,2048,2048,1,TIFF,Unknown,1,0,2,None found,2048,16777216,16.0 MB,,Normal map,,P1/P2: downscale/compress or externalize,Unknown/runtime or unused candidate
Assets/TerrainSampleAssets/Textures/Terrain/Pebbles_A_Normal.tif,35828800,34.2 MB,2048,2048,1,TIFF,Unknown,1,0,2,None found,2048,16777216,16.0 MB,,Normal map,,P1/P2: downscale/compress or externalize,Unknown/runtime or unused candidate
Assets/TerrainSampleAssets/Textures/Terrain/Black_Sand_Normal.tif,35725576,34.1 MB,2048,2048,1,TIFF,Unknown,1,0,2,None found,2048,16777216,16.0 MB,,Normal map,,P1/P2: downscale/compress or externalize,Unknown/runtime or unused candidate
Assets/TerrainSampleAssets/Textures/Terrain/Soil_Rocks_Normal.tif,35677264,34.0 MB,2048,2048,1,TIFF,Unknown,1,0,2,None found,2048,16777216,16.0 MB,,Normal map,,P1/P2: downscale/compress or externalize,Unknown/runtime or unused candidate
Assets/TerrainSampleAssets/Textures/Terrain/Grass_Moss_MaskMap.tif,35519108,33.9 MB,2048,2048,0,TIFF,Unknown,1,0,1,None found,2048,16777216,16.0 MB,,Unknown,,P1/P2: downscale/compress or externalize,Unknown/runtime or unused candidate
Assets/TerrainSampleAssets/Textures/Terrain/Black_Sand_MaskMap.tif,35296540,33.7 MB,2048,2048,0,TIFF,Unknown,1,0,1,None found,2048,16777216,16.0 MB,,Unknown,,P1/P2: downscale/compress or externalize,Unknown/runtime or unused candidate
Assets/TerrainSampleAssets/Textures/Terrain/Pebbles_B_Normal.tif,35279552,33.6 MB,2048,2048,1,TIFF,Unknown,1,0,2,None found,2048,16777216,16.0 MB,,Normal map,,P1/P2: downscale/compress or externalize,Unknown/runtime or unused candidate
Assets/TerrainSampleAssets/Textures/Terrain/Sand_Normal.tif,35255012,33.6 MB,2048,2048,1,TIFF,Unknown,1,0,2,None found,2048,16777216,16.0 MB,,Normal map,,P1/P2: downscale/compress or externalize,Unknown/runtime or unused candidate
Assets/TerrainSampleAssets/Textures/Terrain/Heather_BaseColor.tif,35233308,33.6 MB,2048,2048,0,TIFF,Unknown,1,0,1,None found,2048,16777216,16.0 MB,,Unknown,,P1/P2: downscale/compress or externalize,Unknown/runtime or unused candidate
