Full asset path,File size,File size human,Codec,Resolution,Frame rate,Duration,Video bitrate,Audio codec,Audio bitrate,Inside StreamingAssets,Imported as Unity VideoClip,VideoPlayer references VideoClip,VideoPlayer references URL/custom filename refs,Custom script contains filename/path,Similar/duplicate video paths,Appears in WebGL StreamingAssets,Likely in webgl.data.br,Video has separate duplicate audio,Recommended action,Risk level
Assets/BCaT_assets/Ri/and that is the truth - you know what I'm meaning_720p.mp4,124790760,119.0 MB,h264,1280x720,30000/1001,741.248000,1176655,aac,161362,No,Yes likely (Unity importable video asset),Assets/BH_XR_MainScene.unity; Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (21).unity,Assets/BH_XR_MainScene.unity; Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (24).unity; Assets/_Recovery/0 (24).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (21).unity,,Assets/StreamingAssets/and that is the truth - you know what I'm meaning_720p.mp4,Yes,Yes,Assets/BCaT_assets/Ri/and that is the truth - you know what I'm meaning.mp3,P0: avoid duplicate VideoClip + StreamingAssets inclusion,High
Assets/StreamingAssets/and that is the truth - you know what I'm meaning_720p.mp4,124790760,119.0 MB,h264,1280x720,30000/1001,741.248000,1176655,aac,161362,Yes,No/raw copy likely,,Assets/BH_XR_MainScene.unity; Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (24).unity; Assets/_Recovery/0 (24).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (21).unity,,Assets/BCaT_assets/Ri/and that is the truth - you know what I'm meaning_720p.mp4,Yes,Unknown/No direct evidence,Assets/BCaT_assets/Ri/and that is the truth - you know what I'm meaning.mp3,P1: stream externally or keep only StreamingAssets URL path,Moderate
Assets/StreamingAssets/in_my_sisters_room_xr.mp4,78793971,75.1 MB,h264,1920x1080,30000/1001,190.805000,3102409,aac,192604,Yes,No/raw copy likely,Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (3).unity; Assets/_Recovery/0 (10).unity; Assets/_Recovery/0 (1).unity; Assets/_Recovery/0 (9).unity; Assets/_Recovery/0 (5).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (14).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (7).unity; Assets/_Recovery/0 (16).unity; Assets/_Recovery/0 (2).unity; Assets/_Recovery/0 (13).unity; Assets/_Recovery/0.unity; Assets/_Recovery/0 (11).unity; Assets/_Recovery/0 (15).unity; Assets/_Recovery/0 (8).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (6).unity,Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (24).unity; Assets/_Recovery/0 (3).unity; Assets/_Recovery/0 (10).unity; Assets/_Recovery/0 (1).unity; Assets/_Recovery/0 (9).unity; Assets/_Recovery/0 (5).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (14).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (7).unity; Assets/_Recovery/0 (16).unity; Assets/_Recovery/0 (2).unity; Assets/_Recovery/0 (13).unity; Assets/_Recovery/0.unity; Assets/_Recovery/0 (11).unity; Assets/_Recovery/0 (15).unity; Assets/_Recovery/0 (8).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (17).unity,Assets/Scripts/QuiltVideoPopUp.cs,,Yes,Unknown/No direct evidence,Assets/BCaT_assets/SewingRoom/in_my_sisters_room_audio.wav,P1: stream externally or keep only StreamingAssets URL path,Moderate
Assets/BCaT_assets/LindaLeaks/Linda_Leaks_CHOF_720p.mp4,34127159,32.5 MB,h264,1280x720,30000/1001,317.323991,719118,aac,132819,No,Yes likely (Unity importable video asset),Assets/BCaT_assets/LindaLeaks/Prefabs/LindaLeaks_Exhibit_VintageCamera.prefab; Assets/BCaT_assets/LindaLeaks/Prefabs/LindaLeaks_Exhibit_VintageCamera.prefab,Assets/_Recovery/0 (24).unity; Assets/_Recovery/0 (24).unity; Assets/BCaT_assets/LindaLeaks/Prefabs/LindaLeaks_Exhibit_VintageCamera.prefab; Assets/BCaT_assets/LindaLeaks/Prefabs/LindaLeaks_Exhibit_VintageCamera.prefab; Assets/BCaT_assets/LindaLeaks/Scripts/Editor/LindaLeaksPhase2Builder.cs; Assets/BCaT_assets/LindaLeaks/Scripts/Editor/LindaLeaksPhase2Builder.cs,Assets/BCaT_assets/LindaLeaks/Scripts/Editor/LindaLeaksPhase2Builder.cs; Assets/BCaT_assets/LindaLeaks/Scripts/Editor/LindaLeaksPhase2Builder.cs,Assets/StreamingAssets/Linda_Leaks_CHOF_720p.mp4,Yes,Yes,Assets/BCaT_assets/LindaLeaks/Linda_Leaks_CHOF_720p_audio.wav,P0: avoid duplicate VideoClip + StreamingAssets inclusion,High
Assets/StreamingAssets/Linda_Leaks_CHOF_720p.mp4,34127159,32.5 MB,h264,1280x720,30000/1001,317.323991,719118,aac,132819,Yes,No/raw copy likely,,Assets/_Recovery/0 (24).unity; Assets/_Recovery/0 (24).unity; Assets/BCaT_assets/LindaLeaks/Prefabs/LindaLeaks_Exhibit_VintageCamera.prefab; Assets/BCaT_assets/LindaLeaks/Prefabs/LindaLeaks_Exhibit_VintageCamera.prefab; Assets/BCaT_assets/LindaLeaks/Scripts/Editor/LindaLeaksPhase2Builder.cs; Assets/BCaT_assets/LindaLeaks/Scripts/Editor/LindaLeaksPhase2Builder.cs,Assets/BCaT_assets/LindaLeaks/Scripts/Editor/LindaLeaksPhase2Builder.cs; Assets/BCaT_assets/LindaLeaks/Scripts/Editor/LindaLeaksPhase2Builder.cs,Assets/BCaT_assets/LindaLeaks/Linda_Leaks_CHOF_720p.mp4,Yes,Unknown/No direct evidence,Assets/BCaT_assets/LindaLeaks/Linda_Leaks_CHOF_720p_audio.wav,Review usage,Moderate
Assets/BCaT_assets/Ri/you don't know about style my darling_720p.mp4,14920335,14.2 MB,h264,1280x720,30000/1001,160.512000,574463,aac,160427,No,Yes likely (Unity importable video asset),Assets/BH_XR_MainScene.unity; Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (21).unity,Assets/BH_XR_MainScene.unity; Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (24).unity; Assets/_Recovery/0 (24).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (21).unity,,Assets/StreamingAssets/you don't know about style my darling_720p.mp4,Yes,Yes,Assets/BCaT_assets/Ri/you don't know about style my darling.mp3,P0: avoid duplicate VideoClip + StreamingAssets inclusion,High
Assets/StreamingAssets/you don't know about style my darling_720p.mp4,14920335,14.2 MB,h264,1280x720,30000/1001,160.512000,574463,aac,160427,Yes,No/raw copy likely,,Assets/BH_XR_MainScene.unity; Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (24).unity; Assets/_Recovery/0 (24).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (21).unity,,Assets/BCaT_assets/Ri/you don't know about style my darling_720p.mp4,Yes,Unknown/No direct evidence,Assets/BCaT_assets/Ri/you don't know about style my darling.mp3,Review usage,Moderate
Assets/BCaT_assets/Ri/such lovely gravy_720p.mp4,7518495,7.2 MB,h264,1280x720,30000/1001,44.522000,1181256,aac,160870,No,Yes likely (Unity importable video asset),Assets/BH_XR_MainScene.unity; Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (21).unity,Assets/BH_XR_MainScene.unity; Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (24).unity; Assets/_Recovery/0 (24).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (21).unity,,Assets/StreamingAssets/such lovely gravy_720p.mp4,Yes,Yes,Assets/BCaT_assets/Ri/such lovely gravy.mp3,P0: avoid duplicate VideoClip + StreamingAssets inclusion,High
Assets/StreamingAssets/such lovely gravy_720p.mp4,7518495,7.2 MB,h264,1280x720,30000/1001,44.522000,1181256,aac,160870,Yes,No/raw copy likely,,Assets/BH_XR_MainScene.unity; Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (24).unity; Assets/_Recovery/0 (24).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (21).unity,,Assets/BCaT_assets/Ri/such lovely gravy_720p.mp4,Yes,Unknown/No direct evidence,Assets/BCaT_assets/Ri/such lovely gravy.mp3,Review usage,Moderate
Assets/BCaT_assets/Meshell_Sturgis/subjected_to_recognition_720p.mp4,230720,225.3 KB,h264,1080x720,25/1,60.000000,28248,,,No,Yes likely (Unity importable video asset),Assets/BH_XR_MainScene.unity; Assets/BH_XR_MainScene.unity; Assets/BH_XR_MainScene.unity; Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (21).unity,Assets/BH_XR_MainScene.unity; Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (24).unity; Assets/_Recovery/0 (24).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (21).unity,,Assets/StreamingAssets/subjected_to_recognition_720p.mp4,Yes,Yes,,P0: avoid duplicate VideoClip + StreamingAssets inclusion,High
