label,parent_path,renderers,src_tris_total,lod1_tris_total,lod2_tris_total,t0,t1,cull,status
metal_table_asset,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/metal_table_asset,3,370088,185041,74018,0.4,0.15,0.02,APPLIED
RW_PhotoAlbum,_SceneContent/ImplementedContributorInstallations/RI/Photo_Asset/Photo-Album/RW_PhotoAlbum_Model,2,179744,107847,44936,0.35,0.12,0.02,APPLIED
LL_PhotoAlbum_Preview,_SceneContent/ImplementedContributorInstallations/LindaLeaks_Exhibit/PhotoAlbum_Preview/Artifact_PhotoAlbum/LL_PhotoAlbum_Model,2,179744,107847,44936,0.35,0.12,0.02,APPLIED
glass_fish,_SceneContent/ImplementedContributorInstallations/RI/Fish_Asset/glass_fish,4,300000,149999,60000,0.4,0.15,0.02,APPLIED
japanese_red_bridge,_SceneContent/Home/Exterior/Pond/japanese_red_bridge,9,275502,137632,49546,0.5,0.2,0.005,APPLIED
drum,_SceneContent/ImplementedContributorInstallations/9Night/drum,3,190100,104555,41822,0.4,0.15,0.02,APPLIED
object_path,mesh,lod_levels_wired,status
_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (1)/jungle_bush_1_LOD0,jungle_bush_1_LOD0,2,APPLIED
_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (2)/jungle_bush_1_LOD0,jungle_bush_1_LOD0,2,APPLIED
_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (3)/jungle_bush_1_LOD0,jungle_bush_1_LOD0,2,APPLIED
_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (4)/jungle_bush_1_LOD0,jungle_bush_1_LOD0,2,APPLIED
_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (5)/jungle_bush_1_LOD0,jungle_bush_1_LOD0,2,APPLIED
_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (6)/jungle_bush_1_LOD0,jungle_bush_1_LOD0,2,APPLIED
_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (7)/jungle_bush_1_LOD0,jungle_bush_1_LOD0,2,APPLIED
_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (8)/jungle_bush_1_LOD0,jungle_bush_1_LOD0,2,APPLIED
_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (9)/jungle_bush_1_LOD0,jungle_bush_1_LOD0,2,APPLIED
_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (10)/jungle_bush_1_LOD0,jungle_bush_1_LOD0,2,APPLIED
_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (11)/jungle_bush_1_LOD0,jungle_bush_1_LOD0,2,APPLIED
_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (12)/jungle_bush_1_LOD0,jungle_bush_1_LOD0,2,APPLIED
_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (13)/jungle_bush_1_LOD0,jungle_bush_1_LOD0,2,APPLIED
_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (14)/jungle_bush_1_LOD0,jungle_bush_1_LOD0,2,APPLIED
