scene,object_path,renderer,prev_cast,new_cast,prev_receive,new_receive,mesh_triangles,status
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/RI/Photo_Asset/Photo-Album/RW_PhotoAlbum_Model/Object_2,MeshRenderer,On,Off,True,False,119691,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/LindaLeaks_Exhibit/PhotoAlbum_Preview/Artifact_PhotoAlbum/LL_PhotoAlbum_Model/Object_2,MeshRenderer,On,Off,True,False,119691,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/RI/Photo_Asset/Photo-Album/RW_PhotoAlbum_Model/Object_3,MeshRenderer,On,Off,True,False,60053,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/LindaLeaks_Exhibit/PhotoAlbum_Preview/Artifact_PhotoAlbum/LL_PhotoAlbum_Model/Object_3,MeshRenderer,On,Off,True,False,60053,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Home/SecondFloor/SecondRoom/Bed28/BedFrame28/Blanket28,MeshRenderer,On,Off,True,False,21632,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Home/SecondFloor/SecondRoom/Bed28/BedFrame28/Curtain28_2,MeshRenderer,On,Off,True,False,13808,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Home/SecondFloor/SecondRoom/Bed28/BedFrame28/Curtain28_1,MeshRenderer,On,Off,True,False,13808,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Home/SecondFloor/SecondRoom/Bed28/BedFrame28/Mattress28,MeshRenderer,On,Off,True,False,7424,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Home/SecondFloor/SecondRoom/Bed28/BedFrame28,MeshRenderer,On,Off,True,False,484,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/LindaLeaks_Exhibit/PhotoAlbum_Preview/Lamp_Tall,MeshRenderer,On,Off,True,False,178,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/RI/Photo_Asset/Lamp_Tall,MeshRenderer,On,Off,True,False,178,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Home/FirstFloor/LivingRoom/80sTelevision/TV,MeshRenderer,On,Off,True,False,160,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Home/FirstFloor/Kitchen/WallWindowBay4m/WindowBayFrame4m,MeshRenderer,On,Off,True,False,116,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/pictureframe/pictureframe1,SkinnedMeshRenderer,On,Off,True,False,100,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/BigMommaLivingRoom/pictureframe/pictureframe1,SkinnedMeshRenderer,On,Off,True,False,100,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/Black_Parlors/pictureframe/pictureframe1,SkinnedMeshRenderer,On,Off,True,False,100,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Home/FirstFloor/FirstFloorWalls/WallWindowTall4m (3)/WindowFrameTall4m,MeshRenderer,On,Off,True,False,88,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Home/FirstFloor/FirstFloorWalls/WallWindowTall4m (2)/WindowFrameTall4m,MeshRenderer,On,Off,True,False,88,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Home/FirstFloor/FirstFloorWalls/WallWindowTall4m (1)/WindowFrameTall4m,MeshRenderer,On,Off,True,False,88,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Home/SecondFloor/Temp_SecondFloor_Planning/SecondFloorBase/WallWindow2m (12)/WindowFrame2m,MeshRenderer,On,Off,True,False,44,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Home/HomeFrontStructure/WallWindow2m (2)/WindowFrame2m,MeshRenderer,On,Off,True,False,44,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Home/SecondFloor/Temp_SecondFloor_Planning/SecondFloorBase/WallWindow2m (14)/WindowFrame2m,MeshRenderer,On,Off,True,False,44,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Home/SecondFloor/Temp_SecondFloor_Planning/SecondFloorBase/WallWindow2m (15)/WindowFrame2m,MeshRenderer,On,Off,True,False,44,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Home/SecondFloor/Temp_SecondFloor_Planning/SecondFloorBase/WallWindow2m (13)/WindowFrame2m,MeshRenderer,On,Off,True,False,44,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Home/HomeFrontStructure/WallWindow2m/WindowFrame2m,MeshRenderer,On,Off,True,False,44,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Home/HomeFrontStructure/WallWindow2m (1)/WindowFrame2m,MeshRenderer,On,Off,True,False,44,APPLIED
Assets/BH_XR_MainScene.unity,_SceneContent/Home/FirstFloor/FirstFloorWalls/WallWindow2m (1)/WindowFrame2m,MeshRenderer,On,Off,True,False,44,APPLIED
