asset,dim,default_max_prev,default_max_new,webgl_override,android_override,readwrite_prev,readwrite_new,status
Assets/Animated Tropical Vegetation/Textures/palm_tree_3_leaves_color.png,2048,2048,2048,1024,1024,False,False,APPLIED
Assets/Animated Tropical Vegetation/Textures/palm_tree_3_leaves_normal.png,2048,2048,2048,1024,1024,False,False,APPLIED
Assets/Coconut Palm Tree Pack/Textures/Coconut_Palm_Tree_AFS.psd,1024,2048,2048,-,-,True,False,APPLIED
Assets/Coconut Palm Tree Pack/Textures/Coconut_Palm_Tree_diffuse.psd,1024,2048,2048,-,-,True,False,APPLIED
Assets/Coconut Palm Tree Pack/Textures/Coconut_Palm_Tree_normalspec.psd,1024,2048,2048,-,-,True,False,APPLIED
Assets/Coconut Palm Tree Pack/Textures/Coconut_Palm_Tree_normalspec_bark.psd,1024,2048,2048,-,-,True,False,APPLIED
Assets/Coconut Palm Tree Pack/Textures/Coconut_Palm_Tree_transgloss.psd,1024,2048,2048,-,-,True,False,APPLIED
Assets/Coconut Palm Tree Pack/Textures/Parts/Coconut_Palm_Bark1_normal.tif,512,1024,1024,-,-,True,False,APPLIED
Assets/Coconut Palm Tree Pack/Textures/Parts/Coconut_Palm_Bark2_normal.tif,1024,1024,1024,-,-,True,False,APPLIED
Assets/Coconut Palm Tree Pack/Textures/Parts/Coconut_Palm_Tree_Bark_diffuse.tif,1024,1024,1024,-,-,True,False,APPLIED
Assets/Coconut Palm Tree Pack/Textures/Parts/Coconut_Palm_Tree_Bark_gloss.tif,512,1024,1024,-,-,True,False,APPLIED
Assets/Coconut Palm Tree Pack/Textures/Parts/Coconut_Palm_Tree_Bark_normal.tif,1024,1024,1024,-,-,True,False,APPLIED
Assets/Coconut Palm Tree Pack/Textures/Parts/Coconut_Palm_Tree_Branch1_diffuse.psd,1024,1024,1024,-,-,True,False,APPLIED
Assets/Coconut Palm Tree Pack/Textures/Parts/Coconut_Palm_Tree_Branch1_gloss.png,256,1024,1024,-,-,True,False,APPLIED
Assets/Coconut Palm Tree Pack/Textures/Parts/Coconut_Palm_Tree_Branch1_normal.tif,1024,1024,1024,-,-,True,False,APPLIED
Assets/Coconut Palm Tree Pack/Textures/Parts/Coconut_Palm_Tree_Branch1_shadowoffset.png,256,1024,1024,-,-,True,False,APPLIED
Assets/Coconut Palm Tree Pack/Textures/Parts/Coconut_Palm_Tree_Branch1_translucency.png,256,1024,1024,-,-,True,False,APPLIED
Assets/Coconut Palm Tree Pack/Textures/Parts/Coconut_Palm_Tree_Branch2_diffuse.psd,1024,1024,1024,-,-,True,False,APPLIED
Assets/Coconut Palm Tree Pack/Textures/Parts/Coconut_Palm_Tree_Branch2_gloss.png,256,1024,1024,-,-,True,False,APPLIED
Assets/Coconut Palm Tree Pack/Textures/Parts/Coconut_Palm_Tree_Branch2_normal.png,1024,1024,1024,-,-,True,False,APPLIED
Assets/Coconut Palm Tree Pack/Textures/Parts/Coconut_Palm_Tree_Branch2_shadowoffset.png,256,1024,1024,-,-,True,False,APPLIED
Assets/Coconut Palm Tree Pack/Textures/Parts/Coconut_Palm_Tree_Branch2_translucency.png,256,1024,1024,-,-,True,False,APPLIED
Assets/Coconut Palm Tree Pack/Textures/Parts/Palm_Brush_diffuse.psd,512,1024,1024,-,-,True,False,APPLIED
Assets/Coconut Palm Tree Pack/Textures/Parts/Palm_Brush_gloss.png,128,1024,1024,-,-,True,False,APPLIED
Assets/Coconut Palm Tree Pack/Textures/Parts/Palm_Brush_normal.tif,512,1024,1024,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Decals/Bird and Nest.png,1200,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Decals/Cartoon.png,1200,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Decals/Decor 1.png,800,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Decals/Family Love.png,700,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Decals/Let's Eat.png,1875,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Decals/Line.png,800,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Decals/Loading.png,1200,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Decals/Tree.png,2048,2048,2048,1024,1024,False,False,APPLIED
Assets/DevDen Arch Viz Scotland/HDRI/HDRI.png,8192,8192,2048,1024,1024,False,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Balcony/balcony/balcony_balcony_glass_AlbedoTransparency.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Balcony/balcony/balcony_balcony_glass_AO.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Balcony/balcony/balcony_balcony_glass_MetallicSmoothness.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Balcony/balcony/balcony_balcony_glass_Normal.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Balcony/balcony/balcony_balcony_metal_AlbedoTransparency.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Balcony/balcony/balcony_balcony_metal_AO.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Balcony/balcony/balcony_balcony_metal_MetallicSmoothness.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Balcony/balcony/balcony_balcony_metal_Normal.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Balcony/balcony_chair/balcony_ chair_balcony_chair1_AlbedoTransparency.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Balcony/balcony_chair/balcony_ chair_balcony_chair1_AO.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Balcony/balcony_chair/balcony_ chair_balcony_chair1_MetallicSmoothness.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Balcony/balcony_chair/balcony_ chair_balcony_chair1_Normal.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Balcony/balcony_mat/balcony_mat1_MaskMap.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Balcony/balcony_mat/balcony_mat_balcony_mat1_AlbedoTransparency.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Balcony/balcony_mat/balcony_mat_balcony_mat1_AO.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Balcony/balcony_mat/balcony_mat_balcony_mat1_MetallicSmoothness.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Balcony/balcony_mat/balcony_mat_balcony_mat1_Normal.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Balcony/balconY_tacle/balcony_table_balcony_table_2_AlbedoTransparency.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Balcony/balconY_tacle/balcony_table_balcony_table_2_AO.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Balcony/balconY_tacle/balcony_table_balcony_table_2_MetallicSmoothness.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Balcony/balconY_tacle/balcony_table_balcony_table_2_Normal.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bathroom/bathroom_cabin/bathroom_cabin_bathroom_cabin_AlbedoTransparency.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bathroom/bathroom_cabin/bathroom_cabin_bathroom_cabin_AO.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bathroom/bathroom_cabin/bathroom_cabin_bathroom_cabin_MetallicSmoothness.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bathroom/bathroom_cabin/bathroom_cabin_bathroom_cabin_Normal.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bathroom/Bathroom_Glass/glass_glass_Normal.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bathroom/bathroom_shelf/bathroom_shelf_bathroom_shelf_AlbedoTransparency.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bathroom/bathroom_shelf/bathroom_shelf_bathroom_shelf_AO.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bathroom/bathroom_shelf/bathroom_shelf_bathroom_shelf_MetallicSmoothness.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bathroom/bathroom_shelf/bathroom_shelf_bathroom_shelf_Normal.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bathroom/bathroom_wall/bathroom_wall_phong1_AlbedoTransparency.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bathroom/bathroom_wall/bathroom_wall_phong1_MetallicSmoothness.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bathroom/bathroom_wall/bathroom_wall_phong1_Normal.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bathroom/MetalDryer/dry_M_metaldryer_AlbedoTransparency.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bathroom/MetalDryer/dry_M_metaldryer_AO.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bathroom/MetalDryer/dry_M_metaldryer_MetallicSmoothness.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bathroom/MetalDryer/dry_M_metaldryer_Normal.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bathroom/Toilet/toilet_DefaultMaterial_AlbedoTransparency.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bathroom/Toilet/toilet_DefaultMaterial_AO.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bathroom/Toilet/toilet_DefaultMaterial_MetallicSmoothness.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bathroom/Toilet/toilet_DefaultMaterial_Normal.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bathroom/Toilet_wood/3_toilet_wood1_AlbedoTransparency.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bathroom/Toilet_wood/3_toilet_wood1_MetallicSmoothness.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bathroom/Toilet_wood/3_toilet_wood1_Normal.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bathroom/TolPaper/tolpaper_DefaultMaterial_AlbedoTransparency.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bathroom/TolPaper/tolpaper_DefaultMaterial_AO.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bathroom/TolPaper/tolpaper_DefaultMaterial_MetallicSmoothness.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bathroom/TolPaper/tolpaper_DefaultMaterial_Normal.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bathroom/towel_2/2_toilet_wood_1_AlbedoTransparency.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bathroom/towel_2/2_toilet_wood_1_AO.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bathroom/towel_2/2_toilet_wood_1_MetallicSmoothness.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bathroom/towel_2/2_toilet_wood_1_Normal.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bathroom/towel_2/2_towl_2_AlbedoTransparency.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bathroom/towel_2/2_towl_2_MetallicSmoothness.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bathroom/towel_2/2_towl_2_Normal.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bathroom/Washbasin/washbasin_M_washbasin_AlbedoTransparency.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bathroom/Washbasin/washbasin_M_washbasin_AO.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bathroom/Washbasin/washbasin_M_washbasin_MetallicSmoothness.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bathroom/Washbasin/washbasin_M_washbasin_Normal.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bathroom/Washing_machine/washingmachine_M_washingmachine_AlbedoTransparency.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bathroom/Washing_machine/washingmachine_M_washingmachine_MetallicSmoothness.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bathroom/Washing_machine/washingmachine_M_washingmachine_Normal.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/bed/bed_bed_AlbedoTransparency.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/bed/bed_bed_coat_AlbedoTransparency.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/bed/bed_bed_coat_MetallicSmoothness.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/bed/bed_bed_coat_Normal.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/bed/bed_bed_MetallicSmoothness.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/bed/bed_bed_Normal.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/bed/bed_low_bed_sheet_AlbedoTransparency.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/bed/bed_low_bed_sheet_MetallicSmoothness.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/bed/bed_low_bed_sheet_Normal.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/bed/bed_pillow_1_AlbedoTransparency.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/bed/bed_pillow_1_MetallicSmoothness.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/bed/bed_pillow_1_Normal.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/bedside_carpet/carpet_carpet_AlbedoTransparency.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/bedside_carpet/carpet_carpet_AO.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/bedside_carpet/carpet_carpet_MetallicSmoothness.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/bedside_carpet/carpet_carpet_Normal.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/bedside_table/bedside_table_bedside_AlbedoTransparency.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/bedside_table/bedside_table_bedside_AO.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/bedside_table/bedside_table_bedside_MetallicSmoothness.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/bedside_table/bedside_table_bedside_Normal.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/BedsideLamp/bedside_lamp_bed_lamp_glass1_AlbedoTransparency.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/BedsideLamp/bedside_lamp_bed_lamp_glass1_AO.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/BedsideLamp/bedside_lamp_bed_lamp_glass1_MetallicSmoothness.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/BedsideLamp/bedside_lamp_bed_lamp_glass1_Normal.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/BedsideLamp/bedside_lamp_bedside_lamp1_AlbedoTransparency.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/BedsideLamp/bedside_lamp_bedside_lamp1_AO.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/BedsideLamp/bedside_lamp_bedside_lamp1_MetallicSmoothness.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/BedsideLamp/bedside_lamp_bedside_lamp1_Normal.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/bedsider/bedsider_bed_sider_AlbedoTransparency.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/bedsider/bedsider_bed_sider_AO.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/bedsider/bedsider_bed_sider_MetallicSmoothness.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/bedsider/bedsider_bed_sider_Normal.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/dressing_mirror/dresing_mirror_dressing_mirror1_AlbedoTransparency.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/dressing_mirror/dresing_mirror_dressing_mirror1_AO.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/dressing_mirror/dresing_mirror_dressing_mirror1_MetallicSmoothness.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/dressing_mirror/dresing_mirror_dressing_mirror1_Normal.png,1024,2048,2048,-,-,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/foto_frame_1/Painting_Photo_B_Paintings_House_AlbedoTransparency.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/foto_frame_1/Painting_Photo_B_Paintings_House_MetallicSmoothness.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/foto_frame_1/Painting_Photo_B_Paintings_House_Normal.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/foto_frame_2/Painting_Small_C_Paintings_House_AlbedoTransparency.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/foto_frame_2/Painting_Small_C_Paintings_House_AO.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/foto_frame_2/Painting_Small_C_Paintings_House_MetallicSmoothness.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/foto_frame_2/Painting_Small_C_Paintings_House_Normal.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/foto_frame_3/Painting_StandPhoto_A_Paintings_House_AlbedoTransparency.png,2048,2048,2048,1024,1024,True,False,APPLIED
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/foto_frame_3/Painting_StandPhoto_A_Paintings_House_AO.png,2048,2048,2048,1024,1024,True,False,APPLIED
