scene,object_path,render_mode,graphics,raycast_targets,has_graphic_raycaster,active,note
Assets/BH_XR_MainScene.unity,_SceneContent/Home/FirstFloor/SewingRoom/Sewingmachine/Canvas,WorldSpace,2,2,False,True,
Assets/BH_XR_MainScene.unity,_SceneContent/Home/FirstFloor/SewingRoom/Quilt/Canvas,WorldSpace,2,2,True,True,
Assets/BH_XR_MainScene.unity,_SceneContent/Home/FirstFloor/SewingRoom/Quilt/Canvas_Prompt,WorldSpace,3,3,True,True,
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BFM_Chest_OnChair_W_Text/Canvas,WorldSpace,3,3,False,True,
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/Black_Parlors/Canvas,WorldSpace,3,3,False,True,
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/HOMED/Canvas,WorldSpace,3,3,False,True,
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/Canvas,WorldSpace,1,1,False,False,
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/Canvas (1),WorldSpace,3,3,False,True,
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/9Night/Canvas,WorldSpace,2,2,False,True,
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/LindaLeaks_Exhibit/VintageCamera_Preview/Artifact_VintageCamera/LL_HallOfFameVideoPanel/Canvas,WorldSpace,6,5,True,True,
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/LindaLeaks_Exhibit/VintageCamera_Preview/Canvas,WorldSpace,3,3,False,True,
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/LindaLeaks_Exhibit/HousingMap_Preview/Artifact_HousingMap/Canvas,WorldSpace,1,1,True,True,
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/LindaLeaks_Exhibit/HousingMap_Preview/Canvas,WorldSpace,2,2,False,True,
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/LindaLeaks_Exhibit/PhotoAlbum_Preview/Artifact_PhotoAlbum/LL_PhotoAlbumPanel/Canvas,WorldSpace,12,11,True,True,
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/LindaLeaks_Exhibit/PhotoAlbum_Preview/Canvas,WorldSpace,2,2,False,True,
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/RI/domino/Canvas,WorldSpace,3,3,False,True,
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/RI/Chair_asset/chair/Canvas,WorldSpace,3,3,False,True,
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/RI/TV_Asset/TV_Preview/RW_VideoPanel/Video,WorldSpace,1,1,False,True,
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/RI/TV_Asset/Canvas,WorldSpace,3,3,False,True,
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/RI/Photo_Asset/Photo-Album/Canvas,WorldSpace,3,3,False,True,
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/RI/Vanity_asset/Canvas,WorldSpace,3,3,True,True,
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/RI/Vanity_asset/Vanity_VideoInteraction/PopupRoot/VideoCanvas,WorldSpace,1,0,True,True,
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/RI/Kitchen_asset/Canvas,WorldSpace,3,3,False,True,
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/RI/Kitchen_asset/Kitchen_VideoInteraction/PopupRoot/VideoCanvas,WorldSpace,1,0,True,True,
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/RI/Fish_Asset/Canvas,WorldSpace,3,3,False,True,
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/SecurityCamera/Canvas,WorldSpace,3,3,False,True,
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/SecurityCamera/Camera_VideoInteraction/PopupRoot/VideoCanvas,WorldSpace,1,0,True,True,
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/SecurityMonitor/Canvas,WorldSpace,3,3,False,True,
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/SecurityMonitor/Camera_VideoInteraction/PopupRoot/VideoCanvas,WorldSpace,1,0,True,True,
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/NotePads/Canvas,WorldSpace,3,3,False,True,
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/NotePads/MeshellArticleReaderPopup,WorldSpace,15,14,True,True,
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/BigMommaLivingRoom/Canvas,WorldSpace,3,3,False,True,
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/Garden/Canvas,WorldSpace,3,3,False,True,
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/Garden/flowerbed/MyGrandmasGardenPrompt,WorldSpace,1,1,True,True,
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/Garden/MyGrandmasGardenImagePopup/PopupRoot,WorldSpace,5,5,True,False,
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BlackKitchenPortal_ROOT/InteractionPrompt/PromptCanvas,WorldSpace,2,2,True,True,
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/BlackKitchenPortal_ROOT/TransitionOverlay,ScreenSpaceOverlay,1,1,False,True,
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/PrivacyLaw/PrivacyLawExhibit_ROOT/InteractionPrompt,WorldSpace,3,0,True,True,
