scene,metric,value
Assets/BH_XR_MainScene.unity,renderers_total,2046
Assets/BH_XR_MainScene.unity,renderers_effective_lod0,816
Assets/BH_XR_MainScene.unity,triangles_effective_lod0,2431185
Assets/BH_XR_MainScene.unity,shadow_casters,795
Assets/BH_XR_MainScene.unity,shadow_caster_triangles,2430351
Assets/BH_XR_MainScene.unity,unique_materials,297
Assets/BH_XR_MainScene.unity,material_slots,910
Assets/BH_XR_MainScene.unity,lod_groups,144
Assets/BH_XR_MainScene.unity,mesh_colliders,386
Assets/BH_XR_MainScene.unity,mesh_collider_triangles,466240
Assets/BH_XR_MainScene.unity,canvases,39
Assets/BH_XR_MainScene.unity,terrain_pixelError_detail_tree_billboard,6|20|100|50
Assets/BCaT/Exhibits/BlackKitchen/Scenes/BlackKitchen_MemoryScene.unity,renderers_total,27
Assets/BCaT/Exhibits/BlackKitchen/Scenes/BlackKitchen_MemoryScene.unity,renderers_effective_lod0,3
Assets/BCaT/Exhibits/BlackKitchen/Scenes/BlackKitchen_MemoryScene.unity,triangles_effective_lod0,660404
Assets/BCaT/Exhibits/BlackKitchen/Scenes/BlackKitchen_MemoryScene.unity,shadow_casters,2
Assets/BCaT/Exhibits/BlackKitchen/Scenes/BlackKitchen_MemoryScene.unity,shadow_caster_triangles,844
Assets/BCaT/Exhibits/BlackKitchen/Scenes/BlackKitchen_MemoryScene.unity,unique_materials,3
Assets/BCaT/Exhibits/BlackKitchen/Scenes/BlackKitchen_MemoryScene.unity,material_slots,3
Assets/BCaT/Exhibits/BlackKitchen/Scenes/BlackKitchen_MemoryScene.unity,lod_groups,0
Assets/BCaT/Exhibits/BlackKitchen/Scenes/BlackKitchen_MemoryScene.unity,mesh_colliders,0
Assets/BCaT/Exhibits/BlackKitchen/Scenes/BlackKitchen_MemoryScene.unity,mesh_collider_triangles,0
Assets/BCaT/Exhibits/BlackKitchen/Scenes/BlackKitchen_MemoryScene.unity,canvases,2
