scene,lodGroupPath,lodCount,lodSizes,rendererCount,totalTriangles,fadeMode,animateCrossFading
"Assets/BH_XR_MainScene.unity","_SceneContent/Home/Exterior/Bushes/Bush_03 (12)",2,"0.1025804|0.02677779",2,979,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (19)",3,"0.304432|0.1478559|0.03192009",3,933,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (10)",3,"0.304432|0.1478559|0.03192009",3,933,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Home/Exterior/Bushes/Bush_03 (4)",2,"0.1025804|0.02677779",2,979,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/Home/Exterior/Backyard/grass/Grass_01 (6)",2,"0.05131998|0.01",2,260,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/ImplementedContributorInstallations/RI/domino/Domino_4-5",2,"0.25|0.01",2,76,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 3 (11)",3,"0.304432|0.1478559|0.03192009",3,276,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (19)",3,"0.304432|0.1478559|0.03192009",3,276,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/Garden/flowerbed/flowers/Flowers_01 (9)",2,"0.05452252|0.01",2,624,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/ImplementedContributorInstallations/RI/domino/Domino_0-5",2,"0.25|0.01",2,76,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (25)",3,"0.304432|0.1478559|0.03192009",3,276,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Home/Exterior/Backyard/grass/Grass_01 (2)",2,"0.05131998|0.01",2,260,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (31)",3,"0.304432|0.1478559|0.03192009",3,276,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Home/Exterior/Bushes/Bush_03 (9)",2,"0.1025804|0.02677779",2,979,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (27)",3,"0.304432|0.1478559|0.03192009",3,276,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 3 (3)",3,"0.304432|0.1478559|0.03192009",3,276,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (35)",3,"0.304432|0.1478559|0.03192009",3,276,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Home/Exterior/Bushes/Bush_03",2,"0.1025804|0.02677779",2,979,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 3 (14)",3,"0.304432|0.1478559|0.03192009",3,276,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (12)",3,"0.304432|0.1478559|0.03192009",3,933,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (5)",3,"0.304432|0.1478559|0.03192009",3,933,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Home/Exterior/Bushes/Bush_03 (6)",2,"0.1025804|0.02677779",2,979,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/Home/Exterior/Backyard/grass/Grass_01 (3)",2,"0.05131998|0.01",2,260,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/Garden/flowerbed/flowers/Flowers_01 (14)",2,"0.05452252|0.01",2,624,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (24)",3,"0.304432|0.1478559|0.03192009",3,276,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (16)",3,"0.304432|0.1478559|0.03192009",3,933,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 3",3,"0.304432|0.1478559|0.03192009",3,276,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (4)",3,"0.304432|0.1478559|0.03192009",3,933,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Home/Exterior/Bushes/Bush_03 (15)",2,"0.1025804|0.02677779",2,979,None,False
