scene,hierarchy,roomOrExhibit,objectName,rendererType,sourceAsset,prefabAsset,meshName,vertices,triangles,subMeshes,materialSlots,materialPaths,castShadows,receiveShadows,staticFlags,batchingStatic,occluderStatic,occludeeStatic,hasMeshCollider,meshColliderTriangles,colliderTypes,lodGroup,nearestCameraDistance,nearestPlayerDistance,boundsMagnitude,boundsMaxAxis,screenCoverageClass,objectClass,shadowRecommendation,shadowReason,combineGroupKey,instancingKey
"Assets/BCaT/Exhibits/BlackKitchen/Scenes/BlackKitchen_MemoryScene.unity","BlackKitchenExperience_ROOT/ScannedKitchenEnvironment/BlackKitchen_ScannedEnvironment","BlackKitchenExperience_ROOT/ScannedKitchenEnvironment","BlackKitchen_ScannedEnvironment",MeshRenderer,"Assets/BCaT/Exhibits/BlackKitchen/Models/BlackKitchen_ScannedEnvironment.glb","Assets/BCaT/Exhibits/BlackKitchen/Models/BlackKitchen_ScannedEnvironment.glb","",478024,659560,1,1,"Assets/BCaT/Exhibits/BlackKitchen/Models/BlackKitchen_ScannedEnvironment.glb",Off,False,"0",False,False,False,False,0,"","",6.667,2.588,9.320,6.786,Large,SmallProp,Both disabled already,"Renderer already casts and receives no shadows.","BlackKitchenExperience_ROOT/ScannedKitchenEnvironment::SmallProp::Assets/BCaT/Exhibits/BlackKitchen/Models/BlackKitchen_ScannedEnvironment.glb","Assets/BCaT/Exhibits/BlackKitchen/Models/BlackKitchen_ScannedEnvironment.glb#::Assets/BCaT/Exhibits/BlackKitchen/Models/BlackKitchen_ScannedEnvironment.glb"
"Assets/BCaT/Exhibits/BlackKitchen/Scenes/BlackKitchen_MemoryScene.unity","XR Origin (XR Rig)/Camera Offset/Right Controller/Right Controller Visual/UniversalController/Controller_Base","XR Origin (XR Rig)/Camera Offset","Controller_Base",MeshRenderer,"Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Models/UniversalController.fbx","Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Prefabs/XR Origin (XR Rig).prefab","Controller_Base",1692,2398,1,1,"Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_White.mat",On,True,"0",False,False,False,False,0,"","",0.121,0.062,0.205,0.164,Large,SmallProp,Requires visual review,"Needs camera-path review before disabling.","XR Origin (XR Rig)/Camera Offset::SmallProp::Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_White.mat","Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Models/UniversalController.fbx#Controller_Base::Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_White.mat"
"Assets/BCaT/Exhibits/BlackKitchen/Scenes/BlackKitchen_MemoryScene.unity","XR Origin (XR Rig)/Camera Offset/Left Controller/Left Controller Visual/UniversalController/Controller_Base","XR Origin (XR Rig)/Camera Offset","Controller_Base",MeshRenderer,"Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Models/UniversalController.fbx","Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Prefabs/XR Origin (XR Rig).prefab","Controller_Base",1692,2398,1,1,"Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_White.mat",On,True,"0",False,False,False,False,0,"","",0.121,0.062,0.205,0.164,Large,SmallProp,Requires visual review,"Needs camera-path review before disabling.","XR Origin (XR Rig)/Camera Offset::SmallProp::Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_White.mat","Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Models/UniversalController.fbx#Controller_Base::Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_White.mat"
"Assets/BCaT/Exhibits/BlackKitchen/Scenes/BlackKitchen_MemoryScene.unity","XR Origin (XR Rig)/Camera Offset/Right Controller/Poke Interactor/Poke Point/Pinch_Pointer_LOD0","XR Origin (XR Rig)/Camera Offset","Pinch_Pointer_LOD0",SkinnedMeshRenderer,"Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Models/Pinch_Pointer_LOD0.fbx","Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Prefabs/XR Origin (XR Rig).prefab","Pinch_Pointer_LOD0",546,1088,1,1,"Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/FresnelHighlight.mat",On,True,"0",False,False,False,False,0,"","",0.007,0.007,0.029,0.024,Unknown,SmallProp,Can safely stop casting shadows,"Small prop with low screen coverage; receiving shadows is usually sufficient.","XR Origin (XR Rig)/Camera Offset::SmallProp::Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/FresnelHighlight.mat","Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Models/Pinch_Pointer_LOD0.fbx#Pinch_Pointer_LOD0::Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/FresnelHighlight.mat"
"Assets/BCaT/Exhibits/BlackKitchen/Scenes/BlackKitchen_MemoryScene.unity","XR Origin (XR Rig)/Camera Offset/Left Controller/Poke Interactor/Poke Point/Pinch_Pointer_LOD0","XR Origin (XR Rig)/Camera Offset","Pinch_Pointer_LOD0",SkinnedMeshRenderer,"Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Models/Pinch_Pointer_LOD0.fbx","Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Prefabs/XR Origin (XR Rig).prefab","Pinch_Pointer_LOD0",546,1088,1,1,"Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/FresnelHighlight.mat",On,True,"0",False,False,False,False,0,"","",0.007,0.007,0.029,0.024,Unknown,SmallProp,Can safely stop casting shadows,"Small prop with low screen coverage; receiving shadows is usually sufficient.","XR Origin (XR Rig)/Camera Offset::SmallProp::Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/FresnelHighlight.mat","Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Models/Pinch_Pointer_LOD0.fbx#Pinch_Pointer_LOD0::Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/FresnelHighlight.mat"
"Assets/BCaT/Exhibits/BlackKitchen/Scenes/BlackKitchen_MemoryScene.unity","XR Origin (XR Rig)/Camera Offset/Right Controller/Right Controller Visual/UniversalController/XRController_Thumbstick_Buttons/Button_B","XR Origin (XR Rig)/Camera Offset","Button_B",MeshRenderer,"Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Models/UniversalController.fbx","Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Prefabs/XR Origin (XR Rig).prefab","Button_B",521,910,1,1,"Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_Grey.mat",On,True,"0",False,False,False,False,0,"","",0.062,0.022,0.029,0.020,Medium,SmallProp,Can safely stop casting shadows,"Small prop with low screen coverage; receiving shadows is usually sufficient.","XR Origin (XR Rig)/Camera Offset::SmallProp::Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_Grey.mat","Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Models/UniversalController.fbx#Button_B::Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_Grey.mat"
"Assets/BCaT/Exhibits/BlackKitchen/Scenes/BlackKitchen_MemoryScene.unity","XR Origin (XR Rig)/Camera Offset/Right Controller/Right Controller Visual/UniversalController/XRController_Thumbstick_Buttons/Button_A","XR Origin (XR Rig)/Camera Offset","Button_A",MeshRenderer,"Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Models/UniversalController.fbx","Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Prefabs/XR Origin (XR Rig).prefab","Button_A",521,910,1,1,"Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_Grey.mat",On,True,"0",False,False,False,False,0,"","",0.081,0.014,0.029,0.020,Large,SmallProp,Can safely stop casting shadows,"Small prop with low screen coverage; receiving shadows is usually sufficient.","XR Origin (XR Rig)/Camera Offset::SmallProp::Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_Grey.mat","Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Models/UniversalController.fbx#Button_A::Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_Grey.mat"
"Assets/BCaT/Exhibits/BlackKitchen/Scenes/BlackKitchen_MemoryScene.unity","XR Origin (XR Rig)/Camera Offset/Left Controller/Left Controller Visual/UniversalController/XRController_Thumbstick_Buttons/Button_B","XR Origin (XR Rig)/Camera Offset","Button_B",MeshRenderer,"Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Models/UniversalController.fbx","Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Prefabs/XR Origin (XR Rig).prefab","Button_B",521,910,1,1,"Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_Grey.mat",On,True,"0",False,False,False,False,0,"","",0.062,0.022,0.029,0.020,Medium,SmallProp,Can safely stop casting shadows,"Small prop with low screen coverage; receiving shadows is usually sufficient.","XR Origin (XR Rig)/Camera Offset::SmallProp::Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_Grey.mat","Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Models/UniversalController.fbx#Button_B::Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_Grey.mat"
"Assets/BCaT/Exhibits/BlackKitchen/Scenes/BlackKitchen_MemoryScene.unity","XR Origin (XR Rig)/Camera Offset/Left Controller/Left Controller Visual/UniversalController/XRController_Thumbstick_Buttons/Button_A","XR Origin (XR Rig)/Camera Offset","Button_A",MeshRenderer,"Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Models/UniversalController.fbx","Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Prefabs/XR Origin (XR Rig).prefab","Button_A",521,910,1,1,"Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_Grey.mat",On,True,"0",False,False,False,False,0,"","",0.081,0.014,0.029,0.020,Large,SmallProp,Can safely stop casting shadows,"Small prop with low screen coverage; receiving shadows is usually sufficient.","XR Origin (XR Rig)/Camera Offset::SmallProp::Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_Grey.mat","Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Models/UniversalController.fbx#Button_A::Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/Materials/Controller_Grey.mat"
"Assets/BCaT/Exhibits/BlackKitchen/Scenes/BlackKitchen_MemoryScene.unity","DesktopRigRoot/DesktopRig/Capsule","DesktopRigRoot/DesktopRig","Capsule",MeshRenderer,"Library/unity default resources","Assets/StarterAssets/FirstPersonController/Prefabs/PlayerCapsule.prefab","Capsule",550,832,1,1,"Assets/StarterAssets/Environment/Art/Materials/GreyBlue_Mat.mat",On,True,"0",False,False,False,False,0,"","",0.020,0.020,2.449,2.000,Large,SmallProp,Can safely stop casting shadows,"Small prop with low screen coverage; receiving shadows is usually sufficient.","DesktopRigRoot/DesktopRig::SmallProp::Assets/StarterAssets/Environment/Art/Materials/GreyBlue_Mat.mat","Library/unity default resources#Capsule::Assets/StarterAssets/Environment/Art/Materials/GreyBlue_Mat.mat"
