category,mesh_asset,mesh_name,material,shader,instance_count,total_triangles_across_instances,static_batching_count,dynamic_count,material_instancing_enabled,object_class,estimated_draw_call_reduction,risk,sample_objects
Candidate requiring material cleanup,Assets/Emilulz_Assets/DEMOLowPolyFlowers/Assets/SM_Daisy_Single.fbx,Daisy_Single,Assets/Emilulz_Assets/DEMOLowPolyFlowers/Prefabs/M_DEMOAtlas_LowPolyFlowers.mat,Universal Render Pipeline/Lit,741,168948,0,741,False,Vegetation,740,Low,_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/SM_Daisy_Single (235);_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/SM_Daisy_Single (150);_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/SM_Daisy_Single (304);_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/SM_Daisy_Single (052);_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/SM_Daisy_Single (284);_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/SM_Daisy_Single (055);_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/SM_Daisy_Single (372);_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/SM_Daisy_Single (195);_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/SM_Daisy_Single (189);_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/SM_Daisy_Single (296);_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/SM_Daisy_Single (167);_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/SM_Daisy_Single (258)
Candidate requiring material cleanup,Assets/Emilulz_Assets/DEMOLowPolyFlowers/Assets/SM_Rose_Red_Open.fbx,Rose_Red_Open,Assets/Emilulz_Assets/DEMOLowPolyFlowers/Prefabs/M_DEMOAtlas_LowPolyFlowers.mat,Universal Render Pipeline/Lit,126,42588,0,126,False,Vegetation,125,Low,_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/SM_Rose_Red_Open (26);_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/SM_Rose_Red_Open (77);_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/SM_Rose_Red_Open (23);_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/SM_Rose_Red_Open (74);_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/SM_Rose_Red_Open (36);_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/SM_Rose_Red_Open (4);_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/SM_Rose_Red_Open (2);_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/SM_Rose_Red_Open (11);_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/SM_Rose_Red_Open (8);_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/SM_Rose_Red_Open (45);_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/SM_Rose_Red_Open (39);_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/SM_Rose_Red_Open (73)
Immediate safe instancing candidate,Assets/Animated Tropical Vegetation/Models/Jungle Bushes/jungle_bush_1.fbx,jungle_bush_1_LOD0,Assets/Animated Tropical Vegetation/Materials/jungle_bush_leaves.mat,Universal Render Pipeline/Lit,43,31691,0,43,True,Vegetation,42,Low,_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (11)/jungle_bush_1_LOD0;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (19)/jungle_bush_1_LOD0;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (16)/jungle_bush_1_LOD0;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (11)/jungle_bush_1_LOD0;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (8)/jungle_bush_1_LOD0;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (17)/jungle_bush_1_LOD0;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (2)/jungle_bush_1_LOD0;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (1)/jungle_bush_1_LOD0;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (2)/jungle_bush_1_LOD0;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (10)/jungle_bush_1_LOD0;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (3)/jungle_bush_1_LOD0;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (5)/jungle_bush_1_LOD0
Immediate safe instancing candidate,Assets/Animated Tropical Vegetation/Models/Jungle Bushes/jungle_bush_1.fbx,jungle_bush_1_LOD1,Assets/Animated Tropical Vegetation/Materials/jungle_bush_leaves.mat,Universal Render Pipeline/Lit,43,8170,0,43,True,Vegetation,42,Low,_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (11)/jungle_bush_1_LOD1;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (19)/jungle_bush_1_LOD1;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (16)/jungle_bush_1_LOD1;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (11)/jungle_bush_1_LOD1;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (8)/jungle_bush_1_LOD1;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (17)/jungle_bush_1_LOD1;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (2)/jungle_bush_1_LOD1;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (1)/jungle_bush_1_LOD1;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (2)/jungle_bush_1_LOD1;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (10)/jungle_bush_1_LOD1;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (3)/jungle_bush_1_LOD1;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (5)/jungle_bush_1_LOD1
Immediate safe instancing candidate,Assets/Animated Tropical Vegetation/Models/Jungle Bushes/jungle_bush_1.fbx,jungle_bush_1_LOD2,Assets/Animated Tropical Vegetation/Materials/Billboards/jungle_bush_1_billboard.mat,Universal Render Pipeline/Lit,43,258,0,43,True,Vegetation,42,Low,_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (11)/jungle_bush_1_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (19)/jungle_bush_1_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (16)/jungle_bush_1_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (11)/jungle_bush_1_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (8)/jungle_bush_1_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (17)/jungle_bush_1_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (2)/jungle_bush_1_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (1)/jungle_bush_1_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (2)/jungle_bush_1_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (10)/jungle_bush_1_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (3)/jungle_bush_1_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (5)/jungle_bush_1_LOD2
Immediate safe instancing candidate,Assets/Animated Tropical Vegetation/Models/Jungle Bushes/jungle_bush_3.fbx,jungle_bush_3_LOD1,Assets/Animated Tropical Vegetation/Materials/jungle_bush_leaves.mat,Universal Render Pipeline/Lit,39,3744,0,39,True,Vegetation,38,Low,_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 3 (17)/jungle_bush_3_LOD1;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 3 (15)/jungle_bush_3_LOD1;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (21)/jungle_bush_3_LOD1;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (25)/jungle_bush_3_LOD1;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 3 (2)/jungle_bush_3_LOD1;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (35)/jungle_bush_3_LOD1;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (32)/jungle_bush_3_LOD1;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (29)/jungle_bush_3_LOD1;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 3 (7)/jungle_bush_3_LOD1;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (19)/jungle_bush_3_LOD1;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 3 (12)/jungle_bush_3_LOD1;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (31)/jungle_bush_3_LOD1
Immediate safe instancing candidate,Assets/Animated Tropical Vegetation/Models/Jungle Bushes/jungle_bush_3.fbx,jungle_bush_3_LOD2,Assets/Animated Tropical Vegetation/Materials/Billboards/jungle_bush_3_billboard.mat,Universal Render Pipeline/Lit,39,234,0,39,True,Vegetation,38,Low,_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 3 (17)/jungle_bush_3_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 3 (15)/jungle_bush_3_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (21)/jungle_bush_3_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (25)/jungle_bush_3_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 3 (2)/jungle_bush_3_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (35)/jungle_bush_3_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (32)/jungle_bush_3_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (29)/jungle_bush_3_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 3 (7)/jungle_bush_3_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (19)/jungle_bush_3_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 3 (12)/jungle_bush_3_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (31)/jungle_bush_3_LOD2
Immediate safe instancing candidate,Assets/Animated Tropical Vegetation/Models/Jungle Bushes/jungle_bush_3.fbx,jungle_bush_3_LOD0,Assets/Animated Tropical Vegetation/Materials/jungle_bush_leaves.mat,Universal Render Pipeline/Lit,37,6438,0,37,True,Vegetation,36,Low,_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 3 (17)/jungle_bush_3_LOD0;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 3 (15)/jungle_bush_3_LOD0;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (25)/jungle_bush_3_LOD0;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 3 (2)/jungle_bush_3_LOD0;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (35)/jungle_bush_3_LOD0;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (32)/jungle_bush_3_LOD0;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (29)/jungle_bush_3_LOD0;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 3 (7)/jungle_bush_3_LOD0;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (19)/jungle_bush_3_LOD0;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 3 (12)/jungle_bush_3_LOD0;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (31)/jungle_bush_3_LOD0;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 3 (9)/jungle_bush_3_LOD0
Immediate safe instancing candidate,Assets/Idyllic Italian Coast Town/Meshes/Modular/SM_wall_base.fbx,Object32341,Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/DemoSceneAssets/Materials/Lit White.mat,Universal Render Pipeline/Simple Lit,36,10800,0,36,True,Architecture,35,Low,_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (43);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (44);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (102);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (38);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (99);_SceneContent/Home/HomeFrontStructure/SM_wall_base (16);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (105);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (100);_SceneContent/Home/FirstFloor/FirstFloorWalls/SM_wall_base (47);_SceneContent/Home/Exterior/Porch/DoorStructure/SM_wall_base (13);_SceneContent/Home/Exterior/Porch/DoorStructure/SM_wall_base (10);_SceneContent/Home/Exterior/Porch/DoorStructure/SM_wall_base (8)
Candidate requiring material cleanup,Assets/Emilulz_Assets/DEMOLowPolyFlowers/Assets/SM_Rose_Black_Open.fbx,Rose_Black_Open,Assets/Emilulz_Assets/DEMOLowPolyFlowers/Prefabs/M_DEMOAtlas_LowPolyFlowers.mat,Universal Render Pipeline/Lit,33,11154,0,33,False,Vegetation,32,Low,_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/SM_Rose_Black_Open (8);_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/SM_Rose_Black_Open (16);_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/SM_Rose_Black_Open (21);_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/SM_Rose_Black_Open (10);_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/SM_Rose_Black_Open (18);_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/SM_Rose_Black_Open (23);_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/SM_Rose_Black_Open (19);_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/SM_Rose_Black_Open (2);_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/SM_Rose_Black_Open (4);_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/SM_Rose_Black_Open (3);_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/SM_Rose_Black_Open (4);_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/SM_Rose_Black_Open (1)
