mesh_asset,sample_objects,max_triangle_count_per_renderer,instance_count,total_triangles,current_lod_group_renderer_count,suggested_transition_percentages,proposed_lod0_triangles,proposed_lod1_triangles,proposed_lod2_triangles,billboard_or_cull_recommendation,expected_visual_risk,expected_performance_benefit,asset_production_effort
Assets/BCaT_assets/BTMMP_Workstation_Assembly/metal_table_asset.glb,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/metal_table_asset/Object_4;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/metal_table_asset/Object_2;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/metal_table_asset/Object_3,124276,3,370088,0,0.60 / 0.25 / 0.08,124276,55924,18641,Cull small/distant instances; no billboard for close artifacts,Medium,High,Medium/High for GLB remesh workflow
Assets/BCaT_assets/LindaLeaks/Models/LL_PhotoAlbum.glb,_SceneContent/ImplementedContributorInstallations/RI/Photo_Asset/Photo-Album/RW_PhotoAlbum_Model/Object_2;_SceneContent/ImplementedContributorInstallations/LindaLeaks_Exhibit/PhotoAlbum_Preview/Artifact_PhotoAlbum/LL_PhotoAlbum_Model/Object_2;_SceneContent/ImplementedContributorInstallations/RI/Photo_Asset/Photo-Album/RW_PhotoAlbum_Model/Object_3;_SceneContent/ImplementedContributorInstallations/LindaLeaks_Exhibit/PhotoAlbum_Preview/Artifact_PhotoAlbum/LL_PhotoAlbum_Model/Object_3,119691,4,359488,0,0.60 / 0.25 / 0.08,119691,53860,17953,Cull at distance,Low,High,Medium/High for GLB remesh workflow
Assets/BCaT_assets/Ri/glass_fish.glb,_SceneContent/ImplementedContributorInstallations/RI/Fish_Asset/glass_fish/SM_Body/SM_Body_M_Body_0;_SceneContent/ImplementedContributorInstallations/RI/Fish_Asset/glass_fish/SM_InnerBody/SM_InnerBody_M_InnerBody_0;_SceneContent/ImplementedContributorInstallations/RI/Fish_Asset/glass_fish/SM_Body/SM_Body_M_Body_0;_SceneContent/ImplementedContributorInstallations/RI/Fish_Asset/glass_fish/SM_Body/SM_Body_M_Body_0,107956,4,300000,0,0.60 / 0.25 / 0.08,107956,48580,16193,Cull small/distant instances; no billboard for close artifacts,Medium,High,Medium/High for GLB remesh workflow
Assets/My_Custom/japanese_red_bridge.glb,_SceneContent/Home/Exterior/Pond/japanese_red_bridge/Handle Bars.001_4/Object_16;_SceneContent/Home/Exterior/Pond/japanese_red_bridge/Handle Bars_2/Object_8;_SceneContent/Home/Exterior/Pond/japanese_red_bridge/Handle Bars_2/Object_10;_SceneContent/Home/Exterior/Pond/japanese_red_bridge/Handle Bars_2/Object_9;_SceneContent/Home/Exterior/Pond/japanese_red_bridge/Handle Bars_2/Object_11;_SceneContent/Home/Exterior/Pond/japanese_red_bridge/Handle Bars.001_4/Object_17;_SceneContent/Home/Exterior/Pond/japanese_red_bridge/Handle Bars_2/Object_12;_SceneContent/Home/Exterior/Pond/japanese_red_bridge/Bridge Steps_0/Object_4;_SceneContent/Home/Exterior/Pond/japanese_red_bridge/Base_3/Object_14,107777,9,275502,0,0.60 / 0.25 / 0.08,107777,48499,16166,Cull small/distant instances; no billboard for close artifacts,Medium,High,Medium/High for GLB remesh workflow
Assets/BCaT_assets/9night/drum.glb,_SceneContent/ImplementedContributorInstallations/9Night/drum/Drum.001_Drum_0;_SceneContent/ImplementedContributorInstallations/9Night/drum/Drum.001_Drum_1;_SceneContent/ImplementedContributorInstallations/9Night/drum/Drum.001_Drum_2,89817,3,190100,0,0.60 / 0.25 / 0.08,89817,40417,13472,Cull small/distant instances; no billboard for close artifacts,Medium,High,Medium/High for GLB remesh workflow
Assets/Emilulz_Assets/DEMOLowPolyFlowers/Assets/SM_Daisy_Single.fbx,_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/SM_Daisy_Single (235);_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/SM_Daisy_Single (150);_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/SM_Daisy_Single (304);_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/SM_Daisy_Single (052);_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/SM_Daisy_Single (284);_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/SM_Daisy_Single (055);_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/SM_Daisy_Single (372);_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/SM_Daisy_Single (195);_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/SM_Daisy_Single (189);_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/SM_Daisy_Single (296);_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/SM_Daisy_Single (167);_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/SM_Daisy_Single (258),228,741,168948,0,0.60 / 0.25 / 0.08,228,102,34,Billboard/impostor after LOD1,Low,High,Medium
Assets/BCaT_assets/BTMMP_Workstation_Assembly/notebook.glb,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/notebook/Plane_0/Object_4;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/notebook/Plane_0/Object_5;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/notebook/BezierCircle_2/Object_9;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/notebook/Plane.001_1/Object_7,66507,4,101558,0,0.60 / 0.25 / 0.08,66507,29928,9976,Cull at distance,Low,Medium,Medium/High for GLB remesh workflow
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_159;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_183;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_105;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_120;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_165;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_240;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_231;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_222;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_213;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_135;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_102;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_96,6634,77,83712,0,0.60 / 0.25 / 0.08,6634,2985,995,Cull at distance,Low,Medium,Medium/High for GLB remesh workflow
Assets/BCaT_assets/BTMMP_Workstation_Assembly/spray_can.glb,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_can (2);_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_can (3);_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_can (6);_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_can (5);_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_can (7);_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_can (1);_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_can (8);_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_can;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_can (4),7552,9,67968,0,0.60 / 0.25 / 0.08,7552,3398,1132,Cull at distance,Low,Medium,Medium/High for GLB remesh workflow
Assets/Furniture Mega Pack/FBX/Bed/Bed28.fbx,_SceneContent/Home/SecondFloor/SecondRoom/Bed28/BedFrame28/Blanket28;_SceneContent/Home/SecondFloor/SecondRoom/Bed28/BedFrame28/Curtain28_2;_SceneContent/Home/SecondFloor/SecondRoom/Bed28/BedFrame28/Curtain28_1;_SceneContent/Home/SecondFloor/SecondRoom/Bed28/BedFrame28/Mattress28;_SceneContent/Home/SecondFloor/SecondRoom/Bed28/BedFrame28,21632,5,57156,0,0.60 / 0.25 / 0.08,21632,9734,3244,Cull at distance,Low,Medium,Medium
