room_or_exhibit,object_class,sample_objects,current_renderer_count,proposed_renderer_count,current_material_slots,unique_materials,objects_share_materials,move_independently,individual_interaction_required,occlusion_culling_harm_risk,overdraw_risk,lightmapping_harder_risk,static_batching_already_solves,expected_benefit,risk
_SceneContent/Environment,Vegetation,_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/SM_Rose_Red_Open (26);_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/SM_Rose_Red_Open (77);_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/SM_Rose_Red_Open (23);_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/SM_Rose_Red_Open (74);_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/SM_Rose_Red_Open (36);_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/SM_Rose_Red_Open (4);_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/SM_Rose_Black_Open (8);_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/SM_Rose_Black_Open (16);_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/SM_Rose_Red_Open (2);_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/SM_Rose_Red_Open (11);_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/SM_Rose_Red_Open (8);_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/SM_Rose_Black_Open (21);_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/SM_Rose_Black_Open (10);_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/SM_Rose_Red_Open (45);_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/SM_Rose_Red_Open (39);_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/SM_Rose_Red_Open (73);_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/SM_Rose_Red_Open (40);_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/SM_Rose_Red_Open (30);_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/SM_Rose_Red_Open (70);_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/SM_Rose_Red_Open (53),900,45,900,1,Yes,Unknown/likely no for static scenery,Likely no,Low,Low,Low,No,High,Low
_SceneContent/Environment,Vegetation,_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (11)/jungle_bush_1_LOD0;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (19)/jungle_bush_1_LOD0;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (16)/jungle_bush_1_LOD0;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (11)/jungle_bush_1_LOD0;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (8)/jungle_bush_1_LOD0;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (17)/jungle_bush_1_LOD0;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (2)/jungle_bush_1_LOD0;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (1)/jungle_bush_1_LOD0;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (2)/jungle_bush_1_LOD0;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (10)/jungle_bush_1_LOD0;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (3)/jungle_bush_1_LOD0;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (5)/jungle_bush_1_LOD0;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (12)/jungle_bush_1_LOD0;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (14)/jungle_bush_1_LOD0;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (7)/jungle_bush_1_LOD0;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (5)/jungle_bush_1_LOD0;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (22)/jungle_bush_1_LOD0;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1/jungle_bush_1_LOD0;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (2)/jungle_bush_1_LOD0;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (15)/jungle_bush_1_LOD0,162,9,162,1,Yes,Unknown/likely no for static scenery,Likely no,Low,Low,Low,No,High,Low
Exhibit:BTMMP_Workstation_Assembly,SmallProp,_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_159;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_183;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_105;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_120;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_165;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_240;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_231;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_222;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_213;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_135;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_102;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_96;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_168;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_204;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_201;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_198;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_195;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_126;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_132;_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_234,77,8,77,1,Yes,Unknown/likely no for static scenery,Review,Low,Low,Low,No,High,Low
_SceneContent/Environment,Vegetation,_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (11)/jungle_bush_1_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (19)/jungle_bush_1_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (16)/jungle_bush_1_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (11)/jungle_bush_1_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (8)/jungle_bush_1_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (17)/jungle_bush_1_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (2)/jungle_bush_1_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (1)/jungle_bush_1_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (2)/jungle_bush_1_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (10)/jungle_bush_1_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (3)/jungle_bush_1_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (5)/jungle_bush_1_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (12)/jungle_bush_1_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (14)/jungle_bush_1_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (7)/jungle_bush_1_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (5)/jungle_bush_1_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (22)/jungle_bush_1_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1/jungle_bush_1_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (2)/jungle_bush_1_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (15)/jungle_bush_1_LOD2,43,3,43,1,Yes,Unknown/likely no for static scenery,Likely no,Low,Low,Low,No,Medium,Low
Exhibit:Meshell_Sturgis,Vegetation,_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/Garden/flowerbed/flowers/Flowers_01 (15)/Flowers_01_LOD0;_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/Garden/flowerbed/flowers/Flowers_01 (14)/Flowers_01_LOD0;_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/Garden/flowerbed/flowers/Flowers_01 (19)/Flowers_01_LOD0;_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/Garden/flowerbed/flowers/Flowers_01 (20)/Flowers_01_LOD0;_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/Garden/flowerbed/flowers/Flowers_01 (9)/Flowers_01_LOD0;_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/Garden/flowerbed/flowers/Flowers_01 (6)/Flowers_01_LOD0;_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/Garden/flowerbed/flowers/Flowers_01 (17)/Flowers_01_LOD0;_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/Garden/flowerbed/flowers/Flowers_01 (4)/Flowers_01_LOD0;_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/Garden/flowerbed/flowers/Flowers_01 (1)/Flowers_01_LOD0;_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/Garden/flowerbed/flowers/Flowers_01 (3)/Flowers_01_LOD0;_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/Garden/flowerbed/flowers/Flowers_01 (12)/Flowers_01_LOD0;_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/Garden/flowerbed/flowers/Flowers_01 (18)/Flowers_01_LOD0;_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/Garden/flowerbed/flowers/Flowers_01 (5)/Flowers_01_LOD0;_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/Garden/flowerbed/flowers/Flowers_01 (2)/Flowers_01_LOD0;_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/Garden/flowerbed/flowers/Flowers_01 (7)/Flowers_01_LOD0;_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/Garden/flowerbed/flowers/Flowers_01 (13)/Flowers_01_LOD0;_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/Garden/flowerbed/flowers/Flowers_01 (10)/Flowers_01_LOD0;_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/Garden/flowerbed/flowers/Flowers_01 (8)/Flowers_01_LOD0;_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/Garden/flowerbed/flowers/Flowers_01 (11)/Flowers_01_LOD0;_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/Garden/flowerbed/flowers/Flowers_01 (16)/Flowers_01_LOD0,42,3,42,1,Yes,Unknown/likely no for static scenery,Likely no,Low,Low,Low,No,Medium,Low
_SceneContent/Environment,Vegetation,_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 3 (17)/jungle_bush_3_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 3 (15)/jungle_bush_3_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (21)/jungle_bush_3_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (25)/jungle_bush_3_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 3 (2)/jungle_bush_3_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (35)/jungle_bush_3_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (32)/jungle_bush_3_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (29)/jungle_bush_3_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 3 (7)/jungle_bush_3_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (19)/jungle_bush_3_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 3 (12)/jungle_bush_3_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (31)/jungle_bush_3_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 3 (9)/jungle_bush_3_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 3 (18)/jungle_bush_3_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (22)/jungle_bush_3_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (28)/jungle_bush_3_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (34)/jungle_bush_3_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 3 (14)/jungle_bush_3_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 3 (8)/jungle_bush_3_LOD2;_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 3 (16)/jungle_bush_3_LOD2,39,2,39,1,Yes,Unknown/likely no for static scenery,Likely no,Low,Low,Low,No,Medium,Low
Exterior/Bushes,Vegetation,_SceneContent/Home/Exterior/Bushes/Bush_03 (12)/Bush_03_LOD0;_SceneContent/Home/Exterior/Bushes/Bush_03 (9)/Bush_03_LOD0;_SceneContent/Home/Exterior/Bushes/Bush_03 (1)/Bush_03_LOD0;_SceneContent/Home/Exterior/Bushes/Bush_03 (8)/Bush_03_LOD0;_SceneContent/Home/Exterior/Bushes/Bush_03 (15)/Bush_03_LOD0;_SceneContent/Home/Exterior/Bushes/Bush_03 (7)/Bush_03_LOD0;_SceneContent/Home/Exterior/Bushes/Bush_03 (5)/Bush_03_LOD0;_SceneContent/Home/Exterior/Bushes/Bush_03 (13)/Bush_03_LOD0;_SceneContent/Home/Exterior/Bushes/Bush_03 (6)/Bush_03_LOD0;_SceneContent/Home/Exterior/Bushes/Bush_03 (14)/Bush_03_LOD0;_SceneContent/Home/Exterior/Bushes/Bush_03 (4)/Bush_03_LOD0;_SceneContent/Home/Exterior/Bushes/Bush_03 (3)/Bush_03_LOD0;_SceneContent/Home/Exterior/Bushes/Bush_03 (2)/Bush_03_LOD0;_SceneContent/Home/Exterior/Bushes/Bush_03 (10)/Bush_03_LOD0;_SceneContent/Home/Exterior/Bushes/Bush_03 (11)/Bush_03_LOD0;_SceneContent/Home/Exterior/Bushes/Bush_03/Bush_03_LOD0;_SceneContent/Home/Exterior/Bushes/Bush_03 (12)/Bush_03_LOD1;_SceneContent/Home/Exterior/Bushes/Bush_03 (9)/Bush_03_LOD1;_SceneContent/Home/Exterior/Bushes/Bush_03 (1)/Bush_03_LOD1;_SceneContent/Home/Exterior/Bushes/Bush_03 (8)/Bush_03_LOD1,32,2,32,1,Yes,Unknown/likely no for static scenery,Likely no,Low,Low,Low,No,Medium,Low
FirstFloor/Pillars,Architecture,_SceneContent/Home/FirstFloor/Pillars/Set (2)/SM_wall_pillar (1);_SceneContent/Home/FirstFloor/Pillars/Set (15)/SM_wall_pillar (1);_SceneContent/Home/FirstFloor/Pillars/Set (11)/SM_wall_pillar (1);_SceneContent/Home/FirstFloor/Pillars/Set (4)/SM_wall_pillar (1);_SceneContent/Home/FirstFloor/Pillars/Set (8)/SM_wall_pillar (1);_SceneContent/Home/FirstFloor/Pillars/Set (15)/SM_wall_pillar (2);_SceneContent/Home/FirstFloor/Pillars/Set (10)/SM_wall_pillar (2);_SceneContent/Home/FirstFloor/Pillars/Set (4)/SM_wall_pillar (2);_SceneContent/Home/FirstFloor/Pillars/Set (12)/SM_wall_pillar (1);_SceneContent/Home/FirstFloor/Pillars/Set (7)/SM_wall_pillar (2);_SceneContent/Home/FirstFloor/Pillars/Set (9)/SM_wall_pillar (1);_SceneContent/Home/FirstFloor/Pillars/Set (6)/SM_wall_pillar (2);_SceneContent/Home/FirstFloor/Pillars/Set (8)/SM_wall_pillar (2);_SceneContent/Home/FirstFloor/Pillars/Set (3)/SM_wall_pillar (2);_SceneContent/Home/FirstFloor/Pillars/Set (14)/SM_wall_pillar (2);_SceneContent/Home/FirstFloor/Pillars/Set (11)/SM_wall_pillar (2);_SceneContent/Home/FirstFloor/Pillars/Set (10)/SM_wall_pillar (1);_SceneContent/Home/FirstFloor/Pillars/Set (1)/SM_wall_pillar (1);_SceneContent/Home/FirstFloor/Pillars/Set/SM_wall_pillar (2);_SceneContent/Home/FirstFloor/Pillars/Set (9)/SM_wall_pillar (2),31,2,62,2,Yes,Unknown/likely no for static scenery,Likely no,Medium,Low,Medium,No,Medium,Medium
Exterior/Pond,Vegetation,_SceneContent/Home/Exterior/Pond/planta/Env_GrassPlant_05 (27);_SceneContent/Home/Exterior/Pond/planta/Env_GrassPlant_05 (12);_SceneContent/Home/Exterior/Pond/planta/Env_GrassPlant_05 (25);_SceneContent/Home/Exterior/Pond/planta/Env_GrassPlant_05 (6);_SceneContent/Home/Exterior/Pond/planta/Env_GrassPlant_05 (9);_SceneContent/Home/Exterior/Pond/planta/Env_GrassPlant_05 (33);_SceneContent/Home/Exterior/Pond/planta/Env_GrassPlant_05 (15);_SceneContent/Home/Exterior/Pond/planta/Env_GrassPlant_05 (23);_SceneContent/Home/Exterior/Pond/planta/Env_GrassPlant_05 (19);_SceneContent/Home/Exterior/Pond/planta/Env_GrassPlant_05 (11);_SceneContent/Home/Exterior/Pond/planta/Env_GrassPlant_05;_SceneContent/Home/Exterior/Pond/planta/Env_GrassPlant_05 (22);_SceneContent/Home/Exterior/Pond/planta/Env_GrassPlant_05 (31);_SceneContent/Home/Exterior/Pond/planta/Env_GrassPlant_05 (16);_SceneContent/Home/Exterior/Pond/planta/Env_GrassPlant_05 (1);_SceneContent/Home/Exterior/Pond/planta/Env_GrassPlant_05 (21);_SceneContent/Home/Exterior/Pond/planta/Env_GrassPlant_05 (17);_SceneContent/Home/Exterior/Pond/planta/Env_GrassPlant_05 (29);_SceneContent/Home/Exterior/Pond/planta/Env_GrassPlant_05 (28);_SceneContent/Home/Exterior/Pond/planta/Env_GrassPlant_05 (24),31,2,31,1,Yes,Unknown/likely no for static scenery,Likely no,Low,Low,Low,No,Medium,Low
Exhibit:RI,SmallProp,_SceneContent/ImplementedContributorInstallations/RI/domino/Domino_1-4/Domino_1-4_LOD0;_SceneContent/ImplementedContributorInstallations/RI/domino/Domino_2-5/Domino_2-5_LOD0;_SceneContent/ImplementedContributorInstallations/RI/domino/Domino_6-6/Domino_6-6_LOD0;_SceneContent/ImplementedContributorInstallations/RI/domino/Domino_1-6/Domino_1-6_LOD0;_SceneContent/ImplementedContributorInstallations/RI/domino/Domino_3-3/Domino_3-3_LOD0;_SceneContent/ImplementedContributorInstallations/RI/domino/Domino_0-1/Domino_0-1_LOD0;_SceneContent/ImplementedContributorInstallations/RI/domino/Domino_1-2/Domino_1-2_LOD0;_SceneContent/ImplementedContributorInstallations/RI/domino/Domino_2-4/Domino_2-4_LOD0;_SceneContent/ImplementedContributorInstallations/RI/domino/Domino_4-6/Domino_4-6_LOD0;_SceneContent/ImplementedContributorInstallations/RI/domino/Domino_3-5/Domino_3-5_LOD0;_SceneContent/ImplementedContributorInstallations/RI/domino/Domino_4-5/Domino_4-5_LOD0;_SceneContent/ImplementedContributorInstallations/RI/domino/Domino_0-3/Domino_0-3_LOD0;_SceneContent/ImplementedContributorInstallations/RI/domino/Domino_2-3/Domino_2-3_LOD0;_SceneContent/ImplementedContributorInstallations/RI/domino/Domino_5-5/Domino_5-5_LOD0;_SceneContent/ImplementedContributorInstallations/RI/domino/Domino_0-5/Domino_0-5_LOD0;_SceneContent/ImplementedContributorInstallations/RI/domino/Domino_1-4/Domino_1-4_LOD1;_SceneContent/ImplementedContributorInstallations/RI/domino/Domino_2-5/Domino_2-5_LOD1;_SceneContent/ImplementedContributorInstallations/RI/domino/Domino_6-6/Domino_6-6_LOD1;_SceneContent/ImplementedContributorInstallations/RI/domino/Domino_1-6/Domino_1-6_LOD1;_SceneContent/ImplementedContributorInstallations/RI/domino/Domino_3-3/Domino_3-3_LOD1,30,3,30,1,Yes,Unknown/likely no for static scenery,Review,Low,Low,Low,No,Medium,Low
