scene,object_path,prefab,mesh_asset,mesh_name,triangle_count,material_count,static_flags,estimated_distance_from_player,typical_screen_coverage,current_cast_shadows,current_receive_shadows,object_class,classification,reason,recommended_cast_shadows_after,recommended_receive_shadows_after,has_mesh_collider,mesh_collider_triangles,lod_group,visual_risk
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/RI/Photo_Asset/Photo-Album/RW_PhotoAlbum_Model/Object_2,Assets/BCaT_assets/LindaLeaks/Models/LL_PhotoAlbum.glb,Assets/BCaT_assets/LindaLeaks/Models/LL_PhotoAlbum.glb,Object_0,119691,1,0,3.908,Small,On,True,FlatDecoration,Should have both casting and receiving disabled,UI/flat decorative surface: shadow usually adds no meaningful depth.,No,False,False,0,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/LindaLeaks_Exhibit/PhotoAlbum_Preview/Artifact_PhotoAlbum/LL_PhotoAlbum_Model/Object_2,Assets/BCaT_assets/LindaLeaks/Prefabs/LindaLeaks_Exhibit_PhotoAlbum.prefab,Assets/BCaT_assets/LindaLeaks/Models/LL_PhotoAlbum.glb,Object_0,119691,1,0,5.598,Small,On,True,FlatDecoration,Should have both casting and receiving disabled,UI/flat decorative surface: shadow usually adds no meaningful depth.,No,False,False,0,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/RI/Photo_Asset/Photo-Album/RW_PhotoAlbum_Model/Object_3,Assets/BCaT_assets/LindaLeaks/Models/LL_PhotoAlbum.glb,Assets/BCaT_assets/LindaLeaks/Models/LL_PhotoAlbum.glb,Object_1,60053,1,0,3.910,Small,On,True,FlatDecoration,Should have both casting and receiving disabled,UI/flat decorative surface: shadow usually adds no meaningful depth.,No,False,False,0,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/LindaLeaks_Exhibit/PhotoAlbum_Preview/Artifact_PhotoAlbum/LL_PhotoAlbum_Model/Object_3,Assets/BCaT_assets/LindaLeaks/Prefabs/LindaLeaks_Exhibit_PhotoAlbum.prefab,Assets/BCaT_assets/LindaLeaks/Models/LL_PhotoAlbum.glb,Object_1,60053,1,0,5.600,Small,On,True,FlatDecoration,Should have both casting and receiving disabled,UI/flat decorative surface: shadow usually adds no meaningful depth.,No,False,False,0,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/Home/SecondFloor/SecondRoom/Bed28/BedFrame28/Blanket28,Assets/Furniture Mega Pack/Prefabs/Beds/Bed28.prefab,Assets/Furniture Mega Pack/FBX/Bed/Bed28.fbx,Blanket28,21632,1,0,3.150,Large,On,True,FlatDecoration,Should have both casting and receiving disabled,UI/flat decorative surface: shadow usually adds no meaningful depth.,No,False,False,0,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/Home/SecondFloor/SecondRoom/Bed28/BedFrame28/Curtain28_2,Assets/Furniture Mega Pack/Prefabs/Beds/Bed28.prefab,Assets/Furniture Mega Pack/FBX/Bed/Bed28.fbx,Curtain28_2,13808,1,0,3.348,Medium,On,True,FlatDecoration,Should have both casting and receiving disabled,UI/flat decorative surface: shadow usually adds no meaningful depth.,No,False,False,0,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/Home/SecondFloor/SecondRoom/Bed28/BedFrame28/Curtain28_1,Assets/Furniture Mega Pack/Prefabs/Beds/Bed28.prefab,Assets/Furniture Mega Pack/FBX/Bed/Bed28.fbx,Curtain28_1,13808,1,0,4.143,Medium,On,True,FlatDecoration,Should have both casting and receiving disabled,UI/flat decorative surface: shadow usually adds no meaningful depth.,No,False,False,0,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/Home/SecondFloor/SecondRoom/Bed28/BedFrame28/Mattress28,Assets/Furniture Mega Pack/Prefabs/Beds/Bed28.prefab,Assets/Furniture Mega Pack/FBX/Bed/Bed28.fbx,Mattress28,7424,1,0,2.686,Large,On,True,FlatDecoration,Should have both casting and receiving disabled,UI/flat decorative surface: shadow usually adds no meaningful depth.,No,False,False,0,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/Home/SecondFloor/SecondRoom/Bed28/BedFrame28,Assets/Furniture Mega Pack/Prefabs/Beds/Bed28.prefab,Assets/Furniture Mega Pack/FBX/Bed/Bed28.fbx,BedFrame28,484,1,0,3.473,Large,On,True,FlatDecoration,Should have both casting and receiving disabled,UI/flat decorative surface: shadow usually adds no meaningful depth.,No,False,False,0,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/LindaLeaks_Exhibit/PhotoAlbum_Preview/Lamp_Tall,Assets/LowPolyLivingRoomPack/Prefabs/Lamp_Tall.prefab,Assets/LowPolyLivingRoomPack/Meshes/Lamp_Tall.fbx,Lamp_Tall,178,1,0,5.052,Small,On,True,FlatDecoration,Should have both casting and receiving disabled,UI/flat decorative surface: shadow usually adds no meaningful depth.,No,False,False,0,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/ImplementedContributorInstallations/RI/Photo_Asset/Lamp_Tall,Assets/LowPolyLivingRoomPack/Prefabs/Lamp_Tall.prefab,Assets/LowPolyLivingRoomPack/Meshes/Lamp_Tall.fbx,Lamp_Tall,178,1,0,3.321,Small,On,True,FlatDecoration,Should have both casting and receiving disabled,UI/flat decorative surface: shadow usually adds no meaningful depth.,No,False,False,0,,Low
Assets/BH_XR_MainScene.unity,_SceneContent/Home/FirstFloor/LivingRoom/80sTelevision/TV,Assets/danthaigames/DS 80s Television/Prefabs/80sTelevision.prefab,Assets/danthaigames/DS 80s Television/FBX/TV.fbx,Wooden Frame,160,3,0,0.552,Large,On,True,FlatDecoration,Should have both casting and receiving disabled,UI/flat decorative surface: shadow usually adds no meaningful depth.,No,False,False,0,,Low
