atlas_group,object_class,materials_included,textures_included,current_texture_count,current_estimated_texture_memory,current_material_count,current_renderer_count,proposed_atlas_dimensions,proposed_material_count,estimated_material_switch_reduction,estimated_memory_change,required_uv_work,mipmap_concerns,compression_concerns,visual_quality_risk,development_effort,expected_draw_call_impact
SecondFloor/MemoryRoom,Architecture,Assets/DevDen Arch Viz Scotland/Materials/Common/Cherry Highgloss.mat|Assets/DevDen Arch Viz Scotland/Materials/Common/Chrome Clean.mat|Assets/DevDen Arch Viz Scotland/Materials/Dining Room/trash-can.mat|Assets/DevDen Arch Viz Scotland/Materials/Study Room/Furniture_Atlas_1.mat|Assets/DevDen Arch Viz Scotland/Materials/Study Room/LightBulb02On.mat|Assets/DevDen Arch Viz Scotland/Materials/Study Room/LightChrome01.mat|Assets/DevDen Arch Viz Scotland/Materials/Study Room/LightPlastic02.mat|Assets/DevDen Arch Viz Scotland/Materials/Study Room/book_1.mat|Assets/DevDen Arch Viz Scotland/Materials/Study Room/book_10.mat|Assets/DevDen Arch Viz Scotland/Materials/Study Room/book_2.mat|Assets/DevDen Arch Viz Scotland/Materials/Study Room/book_3.mat|Assets/DevDen Arch Viz Scotland/Materials/Study Room/book_4.mat|Assets/DevDen Arch Viz Scotland/Materials/Study Room/book_5.mat|Assets/DevDen Arch Viz Scotland/Materials/Study Room/book_6.mat|Assets/DevDen Arch Viz Scotland/Materials/Study Room/book_7.mat|Assets/DevDen Arch Viz Scotland/Materials/Study Room/book_8.mat|Assets/DevDen Arch Viz Scotland/Materials/Study Room/book_9.mat|Assets/DevDen Arch Viz Scotland/Materials/Study Room/imac.mat|Assets/DevDen Arch Viz Scotland/Materials/Study Room/shelf1.mat|Assets/DevDen Arch Viz Scotland/Materials/Study Room/study_chairI_Leg.mat|Assets/DevDen Arch Viz Scotland/Materials/Study Room/study_chair_seat.mat|Assets/DevDen Arch Viz Scotland/Materials/Study Room/table1.mat|Assets/Furniture Mega Pack/Materials/Chair/mat_Chair48.mat|Assets/HyTeKGames/SRPMaterialConverter/ConvertedMaterials/book_9.mat,Assets/DevDen Arch Viz Scotland/Textures/Common/Interior_props/LightPlastic02.png|Assets/DevDen Arch Viz Scotland/Textures/Common/SmallObj/trash-can_albedo.png|Assets/DevDen Arch Viz Scotland/Textures/Study Room/Books Pack/book_1.png|Assets/DevDen Arch Viz Scotland/Textures/Study Room/Books Pack/book_10.png|Assets/DevDen Arch Viz Scotland/Textures/Study Room/Books Pack/book_2.png|Assets/DevDen Arch Viz Scotland/Textures/Study Room/Books Pack/book_3.png|Assets/DevDen Arch Viz Scotland/Textures/Study Room/Books Pack/book_4.png|Assets/DevDen Arch Viz Scotland/Textures/Study Room/Books Pack/book_5.png|Assets/DevDen Arch Viz Scotland/Textures/Study Room/Books Pack/book_6.png|Assets/DevDen Arch Viz Scotland/Textures/Study Room/Books Pack/book_7.png|Assets/DevDen Arch Viz Scotland/Textures/Study Room/Books Pack/book_8.png|Assets/DevDen Arch Viz Scotland/Textures/Study Room/Books Pack/book_9.png|Assets/DevDen Arch Viz Scotland/Textures/Study Room/StudyRoom Carpet/Atlas_1.png|Assets/DevDen Arch Viz Scotland/Textures/Study Room/Table_Lamp/LightBulb02.png|Assets/DevDen Arch Viz Scotland/Textures/Study Room/imac/Imac_imac_AlbedoTransparency.png|Assets/DevDen Arch Viz Scotland/Textures/Study Room/shelf/shelf_shelf1_AlbedoTransparency.png|Assets/DevDen Arch Viz Scotland/Textures/Study Room/study_chair/CHair2_study_chairI_Leg_AlbedoTransparency.png|Assets/DevDen Arch Viz Scotland/Textures/Study Room/study_chair/CHair2_study_chair_seat_AlbedoTransparency.png|Assets/DevDen Arch Viz Scotland/Textures/Study Room/table/Study Table_AlbedoTransparency.png|Assets/Furniture Mega Pack/Textures/Chairs/Chair48/Chair48_mat_Chair48_AlbedoTransparency.png,20,24.7 MB,24,39,2048 or 4096,2-4,23,Can reduce,Yes,Use padding/extrusion; avoid tiny UV islands,Use WebGL compression override; preserve normal maps separately where needed,Medium,High,Medium
FirstFloor/FirstFloorWalls,Architecture,Assets/Idyllic Italian Coast Town/Materials/M_skybox 1.mat|Assets/Idyllic Italian Coast Town/Materials/M_skybox.mat|Assets/Idyllic Italian Coast Town/Materials/M_wall_plaster 10.mat|Assets/Idyllic Italian Coast Town/Materials/M_wall_plaster.mat|Assets/My_Custom/mtrls/Blue_Wall.mat|Assets/My_Custom/mtrls/HallWood 1.mat|Assets/My_Custom/mtrls/HallWood 2.mat|Assets/My_Custom/mtrls/HallWood 3.mat|Assets/My_Custom/mtrls/HallWood 4.mat|Assets/My_Custom/mtrls/Mint_wall_plaster.mat|Assets/My_Custom/mtrls/Wall_Floral.mat|Assets/My_Custom/mtrls/YellowWall.mat|Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/DemoSceneAssets/Materials/Lit White.mat|Assets/StarterAssets/Environment/Art/Skybox/SkyboxLite.mat|Assets/UnityTechnologies/Basic Asset Pack Interior/Materials/Glass.mat|Assets/UnityTechnologies/Basic Asset Pack Interior/Materials/PatternSpotGreenBig.mat|Assets/UnityTechnologies/Basic Asset Pack Interior/Materials/TrimSheetGreenPurple.mat|Assets/UnityTechnologies/Basic Asset Pack Interior/Materials/WallGreen.mat|Resources/unity_builtin_extra,Assets/Idyllic Italian Coast Town/Textures/M_skybox_01.png|Assets/Idyllic Italian Coast Town/Textures/M_skybox_cloudy.png|Assets/Idyllic Italian Coast Town/Textures/M_wall_plaster_BaseColor.png|Assets/My_Custom/txtrs/122_fine plaster painted wall texture-seamless.jpg|Assets/My_Custom/txtrs/221_siding wood texture-seamless.jpg|Assets/My_Custom/txtrs/27_reinassance plaster texture seamless.jpg|Assets/My_Custom/txtrs/67_sponged venetian plaster texture-seamless.jpg|Assets/My_Custom/txtrs/84_floral wallpaper texture-seamless.jpg|Assets/UnityTechnologies/Basic Asset Pack Interior/Textures/SpotsGreenLime.jpg|Assets/UnityTechnologies/Basic Asset Pack Interior/Textures/TrimSheet_GreenPurple.jpg|Assets/UnityTechnologies/Basic Asset Pack Interior/Textures/WallGreenLight.jpg,11,13.3 MB,19,129,1024 or 2048,2-4,18,Can reduce,Yes,Use padding/extrusion; avoid tiny UV islands,Use WebGL compression override; preserve normal maps separately where needed,Medium,High,Medium
Exhibit:RI,SmallProp,Assets/DevDen Arch Viz Scotland/Materials/Bathroom/LightEmission01.mat|Assets/DevDen Arch Viz Scotland/Materials/Bathroom/Mirror01.mat|Assets/DevDen Arch Viz Scotland/Materials/Bed Room/CommonPlastic01.mat|Assets/DevDen Arch Viz Scotland/Materials/Living Room/TV.mat|Assets/DevDen Arch Viz Scotland/Materials/Living Room/TV_Shelf.mat|Assets/Food Pack-Demo/Materials/Base color.mat|Assets/Furniture Mega Pack/Materials/Bathroom/mat_Bathroom.mat|Assets/HyTeKGames/SRPMaterialConverter/ConvertedMaterials/Bathroom_glass_1.mat|Assets/LowPolyLivingRoomPack/Materials/M_LowPolyLivingRoom.mat|Assets/LowPolyLivingRoomPack/ScenesDemo/M_LowPolyLivingRoom_Floor.mat|Assets/My_Custom/cake_display.glb|Assets/SubstanceAssets/LittleGamesPack/Materials/GamePieces.mat,Assets/DevDen Arch Viz Scotland/Textures/Bathroom/Bathroom_Glass/glass_glass_Normal.png|Assets/DevDen Arch Viz Scotland/Textures/Living Room/TV/TV_AlbedoTransparency.png|Assets/DevDen Arch Viz Scotland/Textures/Living Room/TV_Shelf/TV_Shelf_DefaultMaterial_AlbedoTransparency.png|Assets/Food Pack-Demo/Texture/Texture.png|Assets/Furniture Mega Pack/Textures/Bathroom/AtlasTexture_BathroomCollection_BathroomCollection_AlbedoTransparency.png|Assets/LowPolyLivingRoomPack/Textures/T_Palette_LivingRoom.png|Assets/SubstanceAssets/LittleGamesPack/Textures/GamePieces/GamePieces_Base_color.png,7,8.3 MB,12,43,1024 or 2048,1,11,Can reduce,Usually no/limited,Use padding/extrusion; avoid tiny UV islands,Use WebGL compression override; preserve normal maps separately where needed,Low,Medium,Medium
FirstFloor/SewingRoom,Architecture,Assets/BCaT_assets/SewingRoom/bed.glb|Assets/BCaT_assets/SewingRoom/needle_and_thread.glb|Assets/BCaT_assets/SewingRoom/old_sewing_box.glb|Assets/DevDen Arch Viz Scotland/Materials/Bathroom/ceiling_light.mat|Assets/DevDen Arch Viz Scotland/Materials/Bathroom/ceiling_light_emission.mat|Assets/Furniture Mega Pack/FBX/Bathroom/BathroomVanity01.fbx|Assets/Furniture Mega Pack/FBX/Sofa/Sofa33.fbx|Assets/Furniture Mega Pack/Materials/Chair/mat_Chair09.mat|Assets/Furniture Mega Pack/Materials/Table/mat_Table06.mat|Assets/Shaded Spectrum/Cozy Interiors Demo Pack/Materials/Gingham Kitchen Linen.mat|Assets/UnityTechnologies/Basic Asset Pack Interior/Materials/PatternSpotBlue.mat|Assets/UnityTechnologies/Basic Asset Pack Interior/Materials/PatternSpotGreenBlue.mat,Assets/BCaT_assets/SewingRoom/bed.glb|Assets/BCaT_assets/SewingRoom/needle_and_thread.glb|Assets/BCaT_assets/SewingRoom/old_sewing_box.glb|Assets/Furniture Mega Pack/Textures/Bathroom/AtlasTexture_BathroomCollection_BathroomCollection_AlbedoTransparency.png|Assets/Furniture Mega Pack/Textures/Chairs/Chair09/Chair09_mat_Chair09_AlbedoTransparency.png|Assets/Furniture Mega Pack/Textures/Tables/Table06/Table06_mat_Table06_AlbedoTransparency.png|Assets/Shaded Spectrum/Cozy Interiors Demo Pack/Textures/Gingham Kitchen Linen/GinghamKitchenLinenAlbedo.png|Assets/UnityTechnologies/Basic Asset Pack Interior/Textures/SpotsGreen.jpg|Assets/UnityTechnologies/Basic Asset Pack Interior/Textures/SpotsGreenBlue.jpg,9,29.4 MB,12,15,2048 or 4096,2-4,11,Can reduce,Yes,Use padding/extrusion; avoid tiny UV islands,Use WebGL compression override; preserve normal maps separately where needed,Medium,High,Medium
SecondFloor/SecondRoom,Architecture,Assets/DevDen Arch Viz Scotland/Materials/Bathroom/Bathroom_glass_1.mat|Assets/DevDen Arch Viz Scotland/Materials/Bed Room/bedroom_wood_side_table.mat|Assets/DevDen Arch Viz Scotland/Materials/Kitchen Room/marble.mat|Assets/DevDen Arch Viz Scotland/Materials/balcony/balcony_table_2.mat|Assets/Furniture Mega Pack/Materials/Bathroom/mat_Bathroom.mat|Assets/Furniture Mega Pack/Materials/Chair/mat_Chair47.mat|Assets/Furniture Mega Pack/Materials/Closet/mat_Closet.mat|Assets/HyTeKGames/SRPMaterialConverter/ConvertedMaterials/bathroom_wall_mat_1.mat|Assets/Idyllic Italian Coast Town/Materials/M_metal_dark.mat|Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/DemoSceneAssets/Materials/Lit White.mat|Packages/com.unity.render-pipelines.universal/Runtime/Materials/Lit.mat,Assets/DevDen Arch Viz Scotland/Textures/Balcony/balconY_tacle/balcony_table_balcony_table_2_AlbedoTransparency.png|Assets/DevDen Arch Viz Scotland/Textures/Bathroom/Tile_Bath/SubwayTile - baseColor.png|Assets/DevDen Arch Viz Scotland/Textures/Bed Room/bedside_table/bedside_table_bedside_AlbedoTransparency.png|Assets/DevDen Arch Viz Scotland/Textures/Kitchen Room/side_piece/side_piece_marble_AlbedoTransparency.png|Assets/Furniture Mega Pack/Textures/Bathroom/AtlasTexture_BathroomCollection_BathroomCollection_AlbedoTransparency.png|Assets/Furniture Mega Pack/Textures/Chairs/Chair47/Chair47_mat_Chair47_AlbedoTransparency.png|Assets/Furniture Mega Pack/Textures/Closet/AtlasTexture_Closet_AlbedoTransparency.png,7,8.8 MB,11,36,1024 or 2048,2-4,10,Can reduce,Yes,Use padding/extrusion; avoid tiny UV islands,Use WebGL compression override; preserve normal maps separately where needed,Medium,High,Medium
FirstFloor/LivingRoom,Architecture,Assets/DevDen Arch Viz Scotland/Materials/Bed Room/CommonCeramic01.mat|Assets/DevDen Arch Viz Scotland/Materials/Bed Room/CommonCeramic02Biege.mat|Assets/DevDen Arch Viz Scotland/Materials/Living Room/NewCarpet.mat|Assets/Furniture Mega Pack/Materials/Table/mat_Table38.mat|Assets/Shaded Spectrum/Cozy Interiors Demo Pack/Materials/Painted Beech Wall Boards.mat|Assets/UnityTechnologies/Basic Asset Pack Interior/Materials/SmallProps_Light.mat|Assets/UnityTechnologies/Basic Asset Pack Interior/Materials/TrimSheetGreenPurple.mat|Assets/danthaigames/DS 80s Television/Materials/TV Handles and Surround.mat|Assets/danthaigames/DS 80s Television/Materials/TV Screen Surround.mat|Assets/danthaigames/DS 80s Television/Materials/TV Screen.mat|Assets/danthaigames/DS 80s Television/Materials/TV.mat,Assets/DevDen Arch Viz Scotland/Textures/Common/Interior_props/CommonCeramic01.png|Assets/DevDen Arch Viz Scotland/Textures/Common/Interior_props/CommonCeramic02.png|Assets/DevDen Arch Viz Scotland/Textures/Living Room/Living_room_carpet/Carpet.png|Assets/Furniture Mega Pack/Textures/Tables/Table38/Table38_mat_Table38_AlbedoTransparency.png|Assets/Shaded Spectrum/Cozy Interiors Demo Pack/Textures/Painted Beech Wall Boards/PaintedBeechWallBoardsAlbedo.png|Assets/UnityTechnologies/Basic Asset Pack Interior/Textures/SmallProps.jpg|Assets/UnityTechnologies/Basic Asset Pack Interior/Textures/TrimSheet_GreenPurple.jpg|Assets/danthaigames/DS 80s Television/Textures/TV.png|Assets/danthaigames/DS 80s Television/Textures/TVHandlesSurround.png|Assets/danthaigames/DS 80s Television/Textures/TVScreen.png,10,12.1 MB,11,19,1024 or 2048,2-4,10,Can reduce,Yes,Use padding/extrusion; avoid tiny UV islands,Use WebGL compression override; preserve normal maps separately where needed,Medium,High,Medium
_SceneContent/Home,Architecture,Assets/Idyllic Italian Coast Town/Materials/M_bricks.mat|Assets/Idyllic Italian Coast Town/Materials/M_wall_plaster.mat|Assets/Idyllic Italian Coast Town/Materials/M_windows.mat|Assets/My_Custom/mtrls/OldPathway.mat|Assets/My_Custom/mtrls/OldStairway.mat|Assets/My_Custom/mtrls/YellowWall.mat|Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/DemoSceneAssets/Materials/Lit White.mat|Assets/UnityTechnologies/Basic Asset Pack Interior/Materials/Glass.mat,Assets/Idyllic Italian Coast Town/Textures/M_bricks_BaseMap.png|Assets/Idyllic Italian Coast Town/Textures/M_wall_plaster_BaseColor.png|Assets/Idyllic Italian Coast Town/Textures/M_windows_italian_BaseMap.png|Assets/My_Custom/txtrs/27_reinassance plaster texture seamless.jpg|Assets/My_Custom/txtrs/PavingStones119_1K-PNG_Color.png,5,6.7 MB,8,33,1024 or 2048,2-4,7,Can reduce,Yes,Use padding/extrusion; avoid tiny UV islands,Use WebGL compression override; preserve normal maps separately where needed,Medium,High,Medium
FirstFloor/Kitchen,Architecture,Assets/Idyllic Italian Coast Town/Materials/M_skybox.mat|Assets/Idyllic Italian Coast Town/Materials/M_wall_plaster.mat|Assets/My_Custom/dishwasher.glb|Assets/My_Custom/modern_scandinavian_kitchen_island.glb|Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/DemoSceneAssets/Materials/Lit White.mat|Assets/UnityTechnologies/Basic Asset Pack Interior/Materials/Cream.mat|Assets/UnityTechnologies/Basic Asset Pack Interior/Materials/Glass.mat|Assets/UnityTechnologies/Basic Asset Pack Interior/Materials/WallGreen.mat,Assets/BCAT_GLB_TextureRemediation/dishwasher/Texture_0 _00.png|Assets/Idyllic Italian Coast Town/Textures/M_skybox_01.png|Assets/Idyllic Italian Coast Town/Textures/M_wall_plaster_BaseColor.png|Assets/My_Custom/modern_scandinavian_kitchen_island.glb|Assets/UnityTechnologies/Basic Asset Pack Interior/Textures/WallGreenLight.jpg,5,14.7 MB,8,29,1024 or 2048,2-4,7,Can reduce,Yes,Use padding/extrusion; avoid tiny UV islands,Use WebGL compression override; preserve normal maps separately where needed,Medium,High,Medium
SecondFloor/Temp_SecondFloor_Planning,Architecture,Assets/Furniture Mega Pack/Materials/Chair/mat_Chair37.mat|Assets/Idyllic Italian Coast Town/Materials/M_bricks.mat|Assets/Idyllic Italian Coast Town/Materials/M_skybox.mat|Assets/Idyllic Italian Coast Town/Materials/M_wall_plaster 10.mat|Assets/Idyllic Italian Coast Town/Materials/M_wall_plaster.mat|Assets/Idyllic Italian Coast Town/Materials/M_windows.mat|Assets/Samples/XR Interaction Toolkit/3.3.1/Starter Assets/DemoSceneAssets/Materials/Lit White.mat|Assets/UnityTechnologies/Basic Asset Pack Interior/Materials/Glass.mat,Assets/Furniture Mega Pack/Textures/Chairs/Chair37/Chair37_mat_Chair37_AlbedoTransparency.png|Assets/Idyllic Italian Coast Town/Textures/M_bricks_BaseMap.png|Assets/Idyllic Italian Coast Town/Textures/M_skybox_01.png|Assets/Idyllic Italian Coast Town/Textures/M_wall_plaster_BaseColor.png|Assets/Idyllic Italian Coast Town/Textures/M_windows_italian_BaseMap.png,5,6.7 MB,8,29,1024 or 2048,2-4,7,Can reduce,Yes,Use padding/extrusion; avoid tiny UV islands,Use WebGL compression override; preserve normal maps separately where needed,Medium,High,Medium
Exterior/Backyard,SmallProp,Assets/DevDen Arch Viz Scotland/Materials/Kitchen Room/marble.mat|Assets/IgniteCoders/Simple Water Shader/Resources/Water_mat_01.mat|Assets/My_Custom/morten-s.glb|Assets/My_Custom/mtrls/OldStairway.mat|Assets/My_Custom/mtrls/YellowWall.mat|Assets/Pandazole_Ultimate_Pack/Pandazole Farm Ranch Pack/Materials/PandaMat.mat|Assets/SimpleNaturePack/Materials/SimpleNaturePack_Texture_01.mat|Packages/com.unity.render-pipelines.universal/Runtime/Materials/Sprite-Unlit-Default.mat,Assets/DevDen Arch Viz Scotland/Textures/Kitchen Room/side_piece/side_piece_marble_AlbedoTransparency.png|Assets/My_Custom/txtrs/27_reinassance plaster texture seamless.jpg|Assets/My_Custom/txtrs/PavingStones119_1K-PNG_Color.png|Assets/Pandazole_Ultimate_Pack/Pandazole Farm Ranch Pack/Textures/PandaMat.png|Assets/SimpleNaturePack/Textures/NaturePackLite_Texture_01.png,5,6.2 MB,8,17,1024 or 2048,1,7,Can reduce,Usually no/limited,Use padding/extrusion; avoid tiny UV islands,Use WebGL compression override; preserve normal maps separately where needed,Low,Medium,Medium
