path,type,fileBytes,vertices,triangles,subMeshes,reason
"Assets/BCaT/Exhibits/BlackKitchen/Materials/BlackKitchen_DarkFloor.mat","Material",3839,0,0,0,name/path heuristic
"Assets/BCaT/Exhibits/BlackKitchen/Materials/BlackKitchen_DarkWall.mat","Material",3839,0,0,0,name/path heuristic
"Assets/BCaT_assets/BlackFamilyMuseumArchive","DefaultAsset",0,0,0,0,name/path heuristic
"Assets/BCaT_assets/BlackFamilyMuseumArchive/Models","DefaultAsset",0,0,0,0,name/path heuristic
"Assets/BCaT_assets/BlackFamilyMuseumArchive/Models/chest.glb","GameObject",1533900,12259,21656,1,name/path heuristic
"Assets/BCaT_assets/BlackFamilyMuseumArchive/Models/chest_chair.glb","GameObject",1465168,10046,14130,1,name/path heuristic
"Assets/BCaT_assets/BlackFamilyMuseumArchive/Prefabs","DefaultAsset",0,0,0,0,name/path heuristic
"Assets/BCaT_assets/BlackFamilyMuseumArchive/Prefabs/BFM_Chest_OnChair.prefab","GameObject",6942,0,0,0,name/path heuristic
"Assets/BCaT_assets/BlackFamilyMuseumArchive/Prefabs/BFM_Chest_OnChair_W_Text.prefab","GameObject",19064,0,0,0,name/path heuristic
"Assets/BCaT_assets/Meshell_Sturgis/articles/A Tesseract for Art & Scholarship _ New Archives.pdf","DefaultAsset",4971816,0,0,0,name/path heuristic
"Assets/BCaT_assets/Meshell_Sturgis/Big Mama_s Living Room.jpg","Texture2D",5590566,0,0,0,name/path heuristic
"Assets/BCaT_assets/Ri/360_images/dining_room.jpg","Texture2D",2253027,0,0,0,name/path heuristic
"Assets/BCaT_assets/Ri/360_images/living_room.jpg","Texture2D",10180982,0,0,0,name/path heuristic
"Assets/BCaT_assets/Ri/360_images/living_room_2.jpg","Texture2D",2213686,0,0,0,name/path heuristic
"Assets/BCaT_assets/SewingRoom","DefaultAsset",0,0,0,0,name/path heuristic
"Assets/BCaT_assets/SewingRoom/bed.glb","GameObject",21972076,4415,5739,5,name/path heuristic
"Assets/BCaT_assets/SewingRoom/in_my_sisters_room_audio.wav","AudioClip",36634702,0,0,0,name/path heuristic
"Assets/BCaT_assets/SewingRoom/needle_and_thread.glb","GameObject",86304,567,404,1,name/path heuristic
"Assets/BCaT_assets/SewingRoom/old_sewing_box.glb","GameObject",4369120,5491,10344,1,name/path heuristic
"Assets/BCaT_assets/SewingRoom/pillow__quilt.glb","GameObject",13420528,80339,154254,2,name/path heuristic
"Assets/BCaT_assets/SewingRoom/sewing-sounds.wav","AudioClip",36757578,0,0,0,name/path heuristic
"Assets/BCaT_assets/SewingRoom/sewing_machine.glb","GameObject",762504,2350,2870,1,name/path heuristic
"Assets/BCaT_assets/SewingRoom/VideoTexture.renderTexture","RenderTexture",859,0,0,0,name/path heuristic
"Assets/BrokenVector/LowPolyFencePack","DefaultAsset",0,0,0,0,name/path heuristic
"Assets/BrokenVector/LowPolyFencePack/Materials","DefaultAsset",0,0,0,0,name/path heuristic
"Assets/BrokenVector/LowPolyFencePack/Materials/Brown Wood.mat","Material",4055,0,0,0,name/path heuristic
"Assets/BrokenVector/LowPolyFencePack/Materials/Colorsheets","DefaultAsset",0,0,0,0,name/path heuristic
"Assets/BrokenVector/LowPolyFencePack/Materials/Colorsheets/Colorsheet Wood Brown.png","Texture2D",166,0,0,0,name/path heuristic
"Assets/BrokenVector/LowPolyFencePack/Materials/Colorsheets/Colorsheet Wood Red.png","Texture2D",166,0,0,0,name/path heuristic
"Assets/BrokenVector/LowPolyFencePack/Materials/Colorsheets/Colorsheet Wood Yellow.png","Texture2D",166,0,0,0,name/path heuristic
"Assets/BrokenVector/LowPolyFencePack/Materials/Occlusion","DefaultAsset",0,0,0,0,name/path heuristic
"Assets/BrokenVector/LowPolyFencePack/Materials/Occlusion/Occlusion Wood.png","Texture2D",158,0,0,0,name/path heuristic
"Assets/BrokenVector/LowPolyFencePack/Materials/Red Wood.mat","Material",4052,0,0,0,name/path heuristic
"Assets/BrokenVector/LowPolyFencePack/Materials/Yellow Wood.mat","Material",4057,0,0,0,name/path heuristic
"Assets/BrokenVector/LowPolyFencePack/Models","DefaultAsset",0,0,0,0,name/path heuristic
