path,shader,renderQueue,enableInstancing,mainTexture
"Assets/Animated Tropical Vegetation/DemoSceneContent/surface.mat","Universal Render Pipeline/Lit",2000,False,"Assets/Animated Tropical Vegetation/DemoSceneContent/background.png"
"Assets/Animated Tropical Vegetation/Materials/bamboo_bark.mat","Universal Render Pipeline/Lit",2000,True,"Assets/Animated Tropical Vegetation/Textures/bamboo_bark_color.png"
"Assets/Animated Tropical Vegetation/Materials/bamboo_leaves.mat","Universal Render Pipeline/Lit",2450,True,"Assets/Animated Tropical Vegetation/Textures/bamboo_leaves_color.png"
"Assets/Animated Tropical Vegetation/Materials/banana_tree_1_bark.mat","Universal Render Pipeline/Lit",2000,True,"Assets/Animated Tropical Vegetation/Textures/banana_tree_1_bark_color.png"
"Assets/Animated Tropical Vegetation/Materials/banana_tree_1_leaf.mat","Universal Render Pipeline/Lit",2450,True,"Assets/Animated Tropical Vegetation/Textures/banana_tree_1_leaf_color.png"
"Assets/Animated Tropical Vegetation/Materials/banana_tree_2_bark.mat","Universal Render Pipeline/Lit",2000,True,"Assets/Animated Tropical Vegetation/Textures/banana_tree_2_bark_color.png"
"Assets/Animated Tropical Vegetation/Materials/banana_tree_2_leaves.mat","Universal Render Pipeline/Lit",2450,True,"Assets/Animated Tropical Vegetation/Textures/banana_tree_2_leaves_color.png"
"Assets/Animated Tropical Vegetation/Materials/Billboards/bamboo_1_billboard.mat","Universal Render Pipeline/Lit",2450,True,"Assets/Animated Tropical Vegetation/Textures/billboards/bamboo_1_billboard_color.png"
"Assets/Animated Tropical Vegetation/Materials/Billboards/bamboo_2_billboard.mat","Universal Render Pipeline/Lit",2450,True,"Assets/Animated Tropical Vegetation/Textures/billboards/bamboo_2_billboard_color.png"
"Assets/Animated Tropical Vegetation/Materials/Billboards/bamboo_3_billboard.mat","Universal Render Pipeline/Lit",2450,True,"Assets/Animated Tropical Vegetation/Textures/billboards/bamboo_3_billboard_color.png"
"Assets/Animated Tropical Vegetation/Materials/Billboards/bamboo_4_billboard.mat","Universal Render Pipeline/Lit",2450,True,"Assets/Animated Tropical Vegetation/Textures/billboards/bamboo_4_billboard_color.png"
"Assets/Animated Tropical Vegetation/Materials/Billboards/banana_tree_1_billboard.mat","Universal Render Pipeline/Lit",2450,True,"Assets/Animated Tropical Vegetation/Textures/billboards/banana_tree_1_billboard_color.png"
"Assets/Animated Tropical Vegetation/Materials/Billboards/banana_tree_2_billboard.mat","Universal Render Pipeline/Lit",2450,True,"Assets/Animated Tropical Vegetation/Textures/billboards/banana_tree_2_billboard_color.png"
"Assets/Animated Tropical Vegetation/Materials/Billboards/banana_tree_3_billboard.mat","Universal Render Pipeline/Lit",2450,True,"Assets/Animated Tropical Vegetation/Textures/billboards/banana_tree_3_billboard_color.png"
"Assets/Animated Tropical Vegetation/Materials/Billboards/banana_tree_4_billboard.mat","Universal Render Pipeline/Lit",2450,True,"Assets/Animated Tropical Vegetation/Textures/billboards/banana_tree_4_billboard_color.png"
