path,fileBytes,meshAssets,totalVertices,totalTriangles,totalSubMeshes,readWrite,meshCompression,importMaterials,generateColliders,globalScale
"Assets/Animated Tropical Vegetation/DemoSceneContent/background.fbx",11068,1,10,8,1,False,Off,True,False,1
"Assets/Animated Tropical Vegetation/Models/Bamboos/bamboo_1.fbx",752156,5,1211,1107,8,False,Off,True,False,1
"Assets/Animated Tropical Vegetation/Models/Bamboos/bamboo_2.fbx",810476,5,1376,1238,8,False,Off,True,False,1
"Assets/Animated Tropical Vegetation/Models/Bamboos/bamboo_3.fbx",813948,5,1222,1129,8,False,Off,True,False,1
"Assets/Animated Tropical Vegetation/Models/Bamboos/bamboo_4.fbx",834092,5,1477,1333,8,False,Off,True,False,1
"Assets/Animated Tropical Vegetation/Models/Banana Trees/banana_tree_1.fbx",428284,5,577,611,8,False,Off,True,False,1
"Assets/Animated Tropical Vegetation/Models/Banana Trees/banana_tree_2.fbx",693740,5,1509,1385,8,False,Off,True,False,1
"Assets/Animated Tropical Vegetation/Models/Banana Trees/banana_tree_3.fbx",546268,5,1215,1122,8,False,Off,True,False,1
"Assets/Animated Tropical Vegetation/Models/Banana Trees/banana_tree_4.fbx",432508,5,626,675,8,False,Off,True,False,1
"Assets/Animated Tropical Vegetation/Models/Banana Trees/banana_tree_5.fbx",545660,5,1200,1119,8,False,Off,True,False,1
"Assets/Animated Tropical Vegetation/Models/Banana Trees/banana_tree_6.fbx",580508,5,870,797,8,False,Off,True,False,1
"Assets/Animated Tropical Vegetation/Models/Big Palm Tree/big_palm_tree.fbx",929388,5,2015,1676,8,False,Off,True,False,1
"Assets/Animated Tropical Vegetation/Models/Bushy Palms/bushy_palm_1.fbx",644028,4,868,700,4,False,Off,True,False,1
"Assets/Animated Tropical Vegetation/Models/Bushy Palms/bushy_palm_2.fbx",487900,4,2618,2726,4,False,Off,True,False,1
"Assets/Animated Tropical Vegetation/Models/Bushy Palms/bushy_palm_3.fbx",454540,4,2240,2309,4,False,Off,True,False,1
