prefab,pathObject,rendererCount,totalVertices,totalTriangles,materialSlots,meshColliderCount,meshColliderTriangles,lodGroupCount,shadowCasters,architectureCandidate
"Assets/Animated Tropical Vegetation/Prefabs/Animated/Bamboos/Bamboo 1.prefab","Bamboo 1",4,1150,1065,7,0,0,1,2,False
"Assets/Animated Tropical Vegetation/Prefabs/Animated/Bamboos/Bamboo 2.prefab","Bamboo 2",4,1293,1188,7,0,0,1,2,False
"Assets/Animated Tropical Vegetation/Prefabs/Animated/Bamboos/Bamboo 3.prefab","Bamboo 3",4,1152,1089,7,0,0,1,2,False
"Assets/Animated Tropical Vegetation/Prefabs/Animated/Bamboos/Bamboo 4.prefab","Bamboo 4",4,1357,1240,7,0,0,1,2,False
"Assets/Animated Tropical Vegetation/Prefabs/Animated/Banana Trees/Banana Tree 1.prefab","Banana Tree 1",4,558,592,7,0,0,1,2,False
"Assets/Animated Tropical Vegetation/Prefabs/Animated/Banana Trees/Banana Tree 2.prefab","Banana Tree 2",4,1486,1366,7,0,0,1,2,False
"Assets/Animated Tropical Vegetation/Prefabs/Animated/Banana Trees/Banana Tree 3.prefab","Banana Tree 3",4,1120,1051,7,0,0,1,2,False
"Assets/Animated Tropical Vegetation/Prefabs/Animated/Banana Trees/Banana Tree 4.prefab","Banana Tree 4",4,610,658,7,0,0,1,2,False
"Assets/Animated Tropical Vegetation/Prefabs/Animated/Banana Trees/Banana Tree 5.prefab","Banana Tree 5",4,1182,1104,7,0,0,1,2,False
"Assets/Animated Tropical Vegetation/Prefabs/Animated/Banana Trees/Banana Tree 6.prefab","Banana Tree 6",4,849,782,7,0,0,1,2,False
"Assets/Animated Tropical Vegetation/Prefabs/Animated/Big Palm Tree/Big Palm Tree.prefab","Big Palm Tree",4,1995,1658,7,0,0,1,2,False
"Assets/Animated Tropical Vegetation/Prefabs/Animated/Bushy Palms/Bushy Palm 1.prefab","Bushy Palm 1",4,868,700,4,0,0,1,2,False
"Assets/Animated Tropical Vegetation/Prefabs/Animated/Bushy Palms/Bushy Palm 2.prefab","Bushy Palm 2",4,2618,2726,4,0,0,1,2,False
"Assets/Animated Tropical Vegetation/Prefabs/Animated/Bushy Palms/Bushy Palm 3.prefab","Bushy Palm 3",4,2240,2309,4,0,0,1,2,False
"Assets/Animated Tropical Vegetation/Prefabs/Animated/Jungle Bushes/Jungle Bush 1.prefab","Jungle Bush 1",3,1194,933,3,0,0,1,2,False
"Assets/Animated Tropical Vegetation/Prefabs/Animated/Jungle Bushes/Jungle Bush 3.prefab","Jungle Bush 3",3,349,276,3,0,0,1,2,False
"Assets/Animated Tropical Vegetation/Prefabs/Animated/Large Palm Trees/Large Palm Tree 1.prefab","Large Palm Tree 1",4,1862,1730,7,0,0,1,2,False
"Assets/Animated Tropical Vegetation/Prefabs/Animated/Large Palm Trees/Large Palm Tree 2.prefab","Large Palm Tree 2",4,1857,1741,7,0,0,1,2,False
"Assets/Animated Tropical Vegetation/Prefabs/Animated/Palm Trees/Palm Tree 2.prefab","Palm Tree 2",4,1333,1416,7,0,0,1,2,False
"Assets/Animated Tropical Vegetation/Prefabs/Animated/Small Trees/Small Tree 2.prefab","Small Tree 2",4,883,766,7,0,0,1,2,False
"Assets/Animated Tropical Vegetation/Prefabs/Animated/Small Trees/Small Tree 3.prefab","Small Tree 3",4,1210,1056,7,0,0,1,2,False
"Assets/Animated Tropical Vegetation/Prefabs/Animated/Small Trees/Small Tree 4.prefab","Small Tree 4",4,919,825,7,0,0,1,2,False
"Assets/Animated Tropical Vegetation/Prefabs/Animated/Tropical Plant/Tropical Plant.prefab","Tropical Plant",4,580,721,4,0,0,1,2,False
