scene,type,pathOrUrl,fileBytes,lengthSeconds,referencedBy,hierarchy
"Assets/_Recovery/0 (3).unity",AudioSource,"Assets/BCaT_assets/LindaLeaks/Linda_Leaks_CHOF_720p_audio.wav",55976110,317.3239,"Artifact_VintageCamera","_SceneContent/ImplementedContributorInstallations/LindaLeaks_Exhibit/VintageCamera_Preview/Artifact_VintageCamera"
"Assets/_Recovery/0 (3).unity",AudioSource,"Assets/BCaT_assets/Ri/and that is the truth - you know what I'm meaning.mp3",17999572,741.312,"TV_Preview","_SceneContent/ImplementedContributorInstallations/RI/TV_Asset/TV_Preview"
"Assets/_Recovery/0 (3).unity",AudioSource,"Assets/BCaT_assets/SewingRoom/sewing-sounds.wav",36757578,190.7906,"sewing_machine","_SceneContent/Home/FirstFloor/SewingRoom/Sewingmachine/sewing_machine"
"Assets/_Recovery/0 (3).unity",AudioSource,"",0,,"Camera_VideoInteraction","_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/SecurityMonitor/Camera_VideoInteraction"
"Assets/_Recovery/0 (3).unity",AudioSource,"Assets/BCaT_assets/SewingRoom/in_my_sisters_room_audio.wav",36634702,190.8053,"QuiltVideoSpatialAudio","_SceneContent/Home/FirstFloor/SewingRoom/Quilt/QuiltVideoSpatialAudio"
"Assets/_Recovery/0 (3).unity",AudioSource,"Assets/BCaT_assets/Ri/you don't know about style my darling.mp3",2660692,160.56,"Vanity_VideoInteraction","_SceneContent/ImplementedContributorInstallations/RI/Vanity_asset/Vanity_VideoInteraction"
"Assets/_Recovery/0 (3).unity",AudioSource,"Assets/BCaT_assets/9night/9night-soundscape.wav",99988554,86.78207,"Audio Source","_SceneContent/ImplementedContributorInstallations/9Night/Audio Source"
"Assets/_Recovery/0 (3).unity",AudioSource,"",0,,"Camera_VideoInteraction","_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/SecurityCamera/Camera_VideoInteraction"
"Assets/_Recovery/0 (3).unity",AudioSource,"Assets/BCaT_assets/Ri/such lovely gravy.mp3",1008340,44.592,"Kitchen_VideoInteraction","_SceneContent/ImplementedContributorInstallations/RI/Kitchen_asset/Kitchen_VideoInteraction"
"Assets/_Recovery/0 (3).unity",AudioSource,"Assets/BCaT_assets/Ri/duppy know who fi frighten.mp3",2669004,83.27837,"DominoSpatialAudio","_SceneContent/ImplementedContributorInstallations/RI/domino/DominoSpatialAudio"
"Assets/_Recovery/0 (3).unity",VideoPlayer,"",0,,"Artifact_VintageCamera","_SceneContent/ImplementedContributorInstallations/LindaLeaks_Exhibit/VintageCamera_Preview/Artifact_VintageCamera"
"Assets/_Recovery/0 (3).unity",VideoPlayer,"",0,,"TV_Preview","_SceneContent/ImplementedContributorInstallations/RI/TV_Asset/TV_Preview"
"Assets/_Recovery/0 (3).unity",VideoPlayer,"",0,,"Camera_VideoInteraction","_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/SecurityMonitor/Camera_VideoInteraction"
"Assets/_Recovery/0 (3).unity",VideoPlayer,"",0,,"Vanity_VideoInteraction","_SceneContent/ImplementedContributorInstallations/RI/Vanity_asset/Vanity_VideoInteraction"
"Assets/_Recovery/0 (3).unity",VideoPlayer,"",0,,"Video Player","_SceneContent/Home/FirstFloor/SewingRoom/Quilt/QuiltVideoPlayer/Video Player"
"Assets/_Recovery/0 (3).unity",VideoPlayer,"",0,,"Camera_VideoInteraction","_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/SecurityCamera/Camera_VideoInteraction"
"Assets/_Recovery/0 (3).unity",VideoPlayer,"",0,,"Kitchen_VideoInteraction","_SceneContent/ImplementedContributorInstallations/RI/Kitchen_asset/Kitchen_VideoInteraction"
"Assets/BCaT/Exhibits/BlackKitchen/Scenes/BlackKitchen_MemoryScene.unity",AudioSource,"Assets/BCaT/Exhibits/BlackKitchen/Audio/kitchen_conversation.mp3",2211889,68.78041,"KitchenConversationInteraction","BlackKitchenExperience_ROOT/BlackKitchenAudioStations/KitchenConversationInteraction"
"Assets/BCaT/Exhibits/BlackKitchen/Scenes/BlackKitchen_MemoryScene.unity",AudioSource,"Assets/BCaT/Exhibits/BlackKitchen/Audio/cultural_background.mp3",731633,22.72653,"CulturalBackgroundInteraction","BlackKitchenExperience_ROOT/BlackKitchenAudioStations/CulturalBackgroundInteraction"
"Assets/BCaT/Exhibits/BlackKitchen/Scenes/BlackKitchen_MemoryScene.unity",AudioSource,"Assets/BCaT/Exhibits/BlackKitchen/Audio/birthday_cake.mp3",2693086,83.09551,"BirthdayCakeInteraction","BlackKitchenExperience_ROOT/BlackKitchenAudioStations/BirthdayCakeInteraction"
"Assets/BCaT/Exhibits/BlackKitchen/Scenes/BlackKitchen_MemoryScene.unity",AudioSource,"Assets/BCaT/Exhibits/BlackKitchen/Audio/exit_reflection.mp3",3399471,105.8482,"ExitReflectionAudio","BlackKitchenExperience_ROOT/ExitReflectionAudio"
"Assets/BCaT/Exhibits/BlackKitchen/Scenes/BlackKitchen_MemoryScene.unity",AudioSource,"Assets/BCaT/Exhibits/BlackKitchen/Audio/niece_cake.mp3",627681,19.33061,"NieceCakeInteraction","BlackKitchenExperience_ROOT/BlackKitchenAudioStations/NieceCakeInteraction"
"Assets/BCaT/Exhibits/BlackKitchen/Scenes/BlackKitchen_MemoryScene.unity",AudioSource,"Assets/BCaT/Exhibits/BlackKitchen/Audio/rice_and_bean_pot.mp3",1509859,46.91592,"RiceAndBeansInteraction","BlackKitchenExperience_ROOT/BlackKitchenAudioStations/RiceAndBeansInteraction"
"Assets/BH_XR_MainScene.unity",AudioSource,"Assets/BCaT_assets/LindaLeaks/Linda_Leaks_CHOF_720p_audio.wav",55976110,317.3239,"Artifact_VintageCamera","_SceneContent/ImplementedContributorInstallations/LindaLeaks_Exhibit/VintageCamera_Preview/Artifact_VintageCamera"
"Assets/BH_XR_MainScene.unity",AudioSource,"Assets/BCaT_assets/Ri/and that is the truth - you know what I'm meaning.mp3",17999572,741.312,"TV_Preview","_SceneContent/ImplementedContributorInstallations/RI/TV_Asset/TV_Preview"
"Assets/BH_XR_MainScene.unity",AudioSource,"Assets/BCaT_assets/SewingRoom/sewing-sounds.wav",36757578,190.7906,"sewing_machine","_SceneContent/Home/FirstFloor/SewingRoom/Sewingmachine/sewing_machine"
"Assets/BH_XR_MainScene.unity",AudioSource,"",0,,"Camera_VideoInteraction","_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/SecurityMonitor/Camera_VideoInteraction"
"Assets/BH_XR_MainScene.unity",AudioSource,"Assets/BCaT_assets/SewingRoom/in_my_sisters_room_audio.wav",36634702,190.8053,"QuiltVideoSpatialAudio","_SceneContent/Home/FirstFloor/SewingRoom/Quilt/QuiltVideoSpatialAudio"
"Assets/BH_XR_MainScene.unity",AudioSource,"Assets/BCaT_assets/Ri/you don't know about style my darling.mp3",2660692,160.56,"Vanity_VideoInteraction","_SceneContent/ImplementedContributorInstallations/RI/Vanity_asset/Vanity_VideoInteraction"
"Assets/BH_XR_MainScene.unity",AudioSource,"Assets/BCaT_assets/9night/9night-soundscape.wav",99988554,86.78207,"Audio Source","_SceneContent/ImplementedContributorInstallations/9Night/Audio Source"
"Assets/BH_XR_MainScene.unity",AudioSource,"",0,,"Camera_VideoInteraction","_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/SecurityCamera/Camera_VideoInteraction"
"Assets/BH_XR_MainScene.unity",AudioSource,"Assets/BCaT_assets/Ri/such lovely gravy.mp3",1008340,44.592,"Kitchen_VideoInteraction","_SceneContent/ImplementedContributorInstallations/RI/Kitchen_asset/Kitchen_VideoInteraction"
"Assets/BH_XR_MainScene.unity",AudioSource,"Assets/BCaT_assets/Ri/duppy know who fi frighten.mp3",2669004,83.27837,"DominoSpatialAudio","_SceneContent/ImplementedContributorInstallations/RI/domino/DominoSpatialAudio"
"Assets/BH_XR_MainScene.unity",VideoPlayer,"",0,,"Artifact_VintageCamera","_SceneContent/ImplementedContributorInstallations/LindaLeaks_Exhibit/VintageCamera_Preview/Artifact_VintageCamera"
"Assets/BH_XR_MainScene.unity",VideoPlayer,"",0,,"TV_Preview","_SceneContent/ImplementedContributorInstallations/RI/TV_Asset/TV_Preview"
"Assets/BH_XR_MainScene.unity",VideoPlayer,"",0,,"Camera_VideoInteraction","_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/SecurityMonitor/Camera_VideoInteraction"
"Assets/BH_XR_MainScene.unity",VideoPlayer,"",0,,"Vanity_VideoInteraction","_SceneContent/ImplementedContributorInstallations/RI/Vanity_asset/Vanity_VideoInteraction"
"Assets/BH_XR_MainScene.unity",VideoPlayer,"",0,,"Video Player","_SceneContent/Home/FirstFloor/SewingRoom/Quilt/QuiltVideoPlayer/Video Player"
"Assets/BH_XR_MainScene.unity",VideoPlayer,"",0,,"Camera_VideoInteraction","_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/SecurityCamera/Camera_VideoInteraction"
"Assets/BH_XR_MainScene.unity",VideoPlayer,"",0,,"Kitchen_VideoInteraction","_SceneContent/ImplementedContributorInstallations/RI/Kitchen_asset/Kitchen_VideoInteraction"
