scene,hierarchy,objectName,active,rendererEnabled,rendererType,sourceAsset,prefabAsset,meshName,vertices,triangles,subMeshes,materialCount,uniqueMaterialCount,castsShadows,receiveShadows,staticFlags,lightmapStatic,occluderStatic,occludeeStatic,hasMeshCollider,meshColliderConvex,meshColliderTriangles,hasLODGroup,nearestLODGroup,layer,tag,boundsSize,architectureCandidate,replacementCandidate,replacementCategory,estimatedPerformanceValue,visualRisk
"Assets/_Recovery/0 (3).unity","_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/metal_table_asset/Object_4","Object_4",True,True,MeshRenderer,"Assets/BCaT_assets/BTMMP_Workstation_Assembly/metal_table_asset.glb","Assets/BCaT_assets/BTMMP_Workstation_Assembly/metal_table_asset.glb","Object_2",65143,124276,1,1,1,On,True,"0",False,False,False,False,False,0,False,,0,"Untagged","(0.719, 0.579, 1.186)",False,"",D,Low,Low
"Assets/_Recovery/0 (3).unity","_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/metal_table_asset/Object_2","Object_2",True,True,MeshRenderer,"Assets/BCaT_assets/BTMMP_Workstation_Assembly/metal_table_asset.glb","Assets/BCaT_assets/BTMMP_Workstation_Assembly/metal_table_asset.glb","Object_0",65532,123608,1,1,1,On,True,"0",False,False,False,False,False,0,False,,0,"Untagged","(0.736, 0.576, 1.200)",False,"",D,Low,Low
"Assets/_Recovery/0 (3).unity","_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/metal_table_asset/Object_3","Object_3",True,True,MeshRenderer,"Assets/BCaT_assets/BTMMP_Workstation_Assembly/metal_table_asset.glb","Assets/BCaT_assets/BTMMP_Workstation_Assembly/metal_table_asset.glb","Object_1",65532,122204,1,1,1,On,True,"0",False,False,False,False,False,0,False,,0,"Untagged","(0.764, 0.595, 1.510)",False,"",D,Low,Low
"Assets/_Recovery/0 (3).unity","_SceneContent/ImplementedContributorInstallations/LindaLeaks_Exhibit/PhotoAlbum_Preview/Artifact_PhotoAlbum/LL_PhotoAlbum_Model/Object_2","Object_2",True,True,MeshRenderer,"Assets/BCaT_assets/LindaLeaks/Models/LL_PhotoAlbum.glb","Assets/BCaT_assets/LindaLeaks/Prefabs/LindaLeaks_Exhibit_PhotoAlbum.prefab","Object_0",65532,119691,1,1,1,On,True,"0",False,False,False,False,False,0,False,,0,"Untagged","(0.319, 0.220, 0.305)",False,"",D,Low,Low
"Assets/_Recovery/0 (3).unity","_SceneContent/ImplementedContributorInstallations/RI/Photo_Asset/Photo-Album/RW_PhotoAlbum_Model/Object_2","Object_2",True,True,MeshRenderer,"Assets/BCaT_assets/LindaLeaks/Models/LL_PhotoAlbum.glb","Assets/BCaT_assets/LindaLeaks/Models/LL_PhotoAlbum.glb","Object_0",65532,119691,1,1,1,On,True,"0",False,False,False,False,False,0,False,,0,"Untagged","(0.271, 0.271, 0.254)",False,"",D,Low,Low
"Assets/_Recovery/0 (3).unity","_SceneContent/ImplementedContributorInstallations/RI/Fish_Asset/glass_fish/SM_Body/SM_Body_M_Body_0","SM_Body_M_Body_0",True,True,MeshRenderer,"Assets/BCaT_assets/Ri/glass_fish.glb","Assets/BCaT_assets/Ri/glass_fish.glb","SM_Body_M_Body_0",65532,107956,1,1,1,On,True,"0",False,False,False,False,False,0,False,,0,"Untagged","(0.490, 0.564, 0.638)",False,"",D,Low,Low
"Assets/_Recovery/0 (3).unity","_SceneContent/Home/Exterior/Pond/japanese_red_bridge/Handle Bars.001_4/Object_16","Object_16",True,True,MeshRenderer,"Assets/My_Custom/japanese_red_bridge.glb","Assets/My_Custom/japanese_red_bridge.glb","Object_8",65532,107777,1,1,1,On,True,"0",False,False,False,True,False,107777,False,,0,"Untagged","(2.198, 2.457, 7.343)",False,"",D,Low,Low
"Assets/_Recovery/0 (3).unity","_SceneContent/ImplementedContributorInstallations/RI/Fish_Asset/glass_fish/SM_InnerBody/SM_InnerBody_M_InnerBody_0","SM_InnerBody_M_InnerBody_0",True,True,MeshRenderer,"Assets/BCaT_assets/Ri/glass_fish.glb","Assets/BCaT_assets/Ri/glass_fish.glb","SM_InnerBody_M_InnerBody_0",52695,100000,1,1,1,On,True,"0",False,False,False,False,False,0,False,,0,"Untagged","(0.372, 0.352, 0.499)",False,"",D,Low,Low
"Assets/_Recovery/0 (3).unity","_SceneContent/ImplementedContributorInstallations/9Night/drum/Drum.001_Drum_0","Drum.001_Drum_0",True,True,MeshRenderer,"Assets/BCaT_assets/9night/drum.glb","Assets/BCaT_assets/9night/drum.glb","Drum.001_Drum_0",65533,89817,1,1,1,On,True,"0",False,False,False,False,False,0,False,,0,"Untagged","(0.653, 0.752, 0.656)",False,"",D,Low,Low
"Assets/_Recovery/0 (3).unity","_SceneContent/ImplementedContributorInstallations/RI/Fish_Asset/glass_fish/SM_Body/SM_Body_M_Body_0","SM_Body_M_Body_0",True,True,MeshRenderer,"Assets/BCaT_assets/Ri/glass_fish.glb","Assets/BCaT_assets/Ri/glass_fish.glb","SM_Body_M_Body_0",65532,89534,1,1,1,On,True,"0",False,False,False,False,False,0,False,,0,"Untagged","(0.491, 0.565, 0.638)",False,"",D,Low,Low
"Assets/_Recovery/0 (3).unity","_SceneContent/ImplementedContributorInstallations/9Night/drum/Drum.001_Drum_1","Drum.001_Drum_1",True,True,MeshRenderer,"Assets/BCaT_assets/9night/drum.glb","Assets/BCaT_assets/9night/drum.glb","Drum.001_Drum_0",65533,73154,1,1,1,On,True,"0",False,False,False,False,False,0,False,,0,"Untagged","(0.653, 0.752, 0.655)",False,"",D,Low,Low
"Assets/_Recovery/0 (3).unity","_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/notebook/Plane_0/Object_4","Object_4",True,True,MeshRenderer,"Assets/BCaT_assets/BTMMP_Workstation_Assembly/notebook.glb","Assets/BCaT_assets/BTMMP_Workstation_Assembly/notebook.glb","Object_0",65532,66507,1,1,1,On,True,"0",False,False,False,False,False,0,False,,0,"Untagged","(0.286, 0.205, 0.168)",False,"",D,Low,Low
"Assets/_Recovery/0 (3).unity","_SceneContent/ImplementedContributorInstallations/LindaLeaks_Exhibit/PhotoAlbum_Preview/Artifact_PhotoAlbum/LL_PhotoAlbum_Model/Object_3","Object_3",True,True,MeshRenderer,"Assets/BCaT_assets/LindaLeaks/Models/LL_PhotoAlbum.glb","Assets/BCaT_assets/LindaLeaks/Prefabs/LindaLeaks_Exhibit_PhotoAlbum.prefab","Object_1",39608,60053,1,1,1,On,True,"0",False,False,False,False,False,0,False,,0,"Untagged","(0.321, 0.225, 0.307)",False,"",D,Low,Low
"Assets/_Recovery/0 (3).unity","_SceneContent/ImplementedContributorInstallations/RI/Photo_Asset/Photo-Album/RW_PhotoAlbum_Model/Object_3","Object_3",True,True,MeshRenderer,"Assets/BCaT_assets/LindaLeaks/Models/LL_PhotoAlbum.glb","Assets/BCaT_assets/LindaLeaks/Models/LL_PhotoAlbum.glb","Object_1",39608,60053,1,1,1,On,True,"0",False,False,False,False,False,0,False,,0,"Untagged","(0.274, 0.274, 0.255)",False,"",D,Low,Low
"Assets/_Recovery/0 (3).unity","_SceneContent/Home/FirstFloor/LivingRoom/Sofa13/Sofa13_model","Sofa13_model",True,True,MeshRenderer,"Assets/Furniture Mega Pack/FBX/Sofa/Sofa13.fbx","Assets/Furniture Mega Pack/Prefabs/Sofas/Sofa13.prefab","Sofa13",29285,56216,1,1,1,On,True,"0",False,False,False,False,False,0,False,,0,"Untagged","(1.561, 1.285, 2.838)",True,"Review manually for modular simplification only if repeated or always visible",B,Medium,Medium
"Assets/_Recovery/0 (3).unity","_SceneContent/Home/FirstFloor/SewingRoom/Quilt/pillow__quilt/Object_3","Object_3",True,True,MeshRenderer,"Assets/BCaT_assets/SewingRoom/pillow__quilt.glb","Assets/BCaT_assets/SewingRoom/pillow__quilt.glb","Object_1",23754,46640,1,1,1,On,True,"0",False,False,False,False,False,0,False,,0,"Untagged","(1.411, 0.150, 1.841)",True,"Review manually for modular simplification only if repeated or always visible",B,Medium,Medium
"Assets/_Recovery/0 (3).unity","_SceneContent/Home/FirstFloor/SewingRoom/Sewingmachine/Chair09/Chair09_model","Chair09_model",True,True,MeshRenderer,"Assets/Furniture Mega Pack/FBX/Chair/Chair09.fbx","Assets/Furniture Mega Pack/Prefabs/Chairs/Chair09.prefab","Chair09",18466,36008,1,1,1,On,True,"0",False,False,False,False,False,0,False,,0,"Untagged","(0.614, 1.186, 0.747)",True,"Review manually for modular simplification only if repeated or always visible",B,Medium,Medium
"Assets/_Recovery/0 (3).unity","_SceneContent/Home/Exterior/Pond/japanese_red_bridge/Handle Bars_2/Object_8","Object_8",True,True,MeshRenderer,"Assets/My_Custom/japanese_red_bridge.glb","Assets/My_Custom/japanese_red_bridge.glb","Object_2",65532,32768,1,1,1,On,True,"0",False,False,False,True,False,32768,False,,0,"Untagged","(0.237, 2.456, 5.837)",False,"",D,Low,Low
"Assets/_Recovery/0 (3).unity","_SceneContent/Home/Exterior/Pond/japanese_red_bridge/Handle Bars_2/Object_10","Object_10",True,True,MeshRenderer,"Assets/My_Custom/japanese_red_bridge.glb","Assets/My_Custom/japanese_red_bridge.glb","Object_4",65533,32767,1,1,1,On,True,"0",False,False,False,True,False,32767,False,,0,"Untagged","(2.154, 2.456, 5.837)",False,"",D,Low,Low
"Assets/_Recovery/0 (3).unity","_SceneContent/Home/Exterior/Pond/japanese_red_bridge/Handle Bars_2/Object_9","Object_9",True,True,MeshRenderer,"Assets/My_Custom/japanese_red_bridge.glb","Assets/My_Custom/japanese_red_bridge.glb","Object_3",65532,32766,1,1,1,On,True,"0",False,False,False,True,False,32766,False,,0,"Untagged","(2.178, 2.456, 3.671)",False,"",D,Low,Low
"Assets/_Recovery/0 (3).unity","_SceneContent/Home/Exterior/Pond/japanese_red_bridge/Handle Bars_2/Object_11","Object_11",True,True,MeshRenderer,"Assets/My_Custom/japanese_red_bridge.glb","Assets/My_Custom/japanese_red_bridge.glb","Object_5",65534,32766,1,1,1,On,True,"0",False,False,False,True,False,32766,False,,0,"Untagged","(2.197, 2.456, 3.671)",False,"",D,Low,Low
"Assets/_Recovery/0 (3).unity","_SceneContent/Home/Exterior/Pond/japanese_red_bridge/Handle Bars.001_4/Object_17","Object_17",True,True,MeshRenderer,"Assets/My_Custom/japanese_red_bridge.glb","Assets/My_Custom/japanese_red_bridge.glb","Object_9",20488,32639,1,1,1,On,True,"0",False,False,False,True,False,32639,False,,0,"Untagged","(2.198, 2.457, 3.653)",False,"",D,Low,Low
"Assets/_Recovery/0 (3).unity","_SceneContent/ImplementedContributorInstallations/9Night/drum/Drum.001_Drum_2","Drum.001_Drum_2",True,True,MeshRenderer,"Assets/BCaT_assets/9night/drum.glb","Assets/BCaT_assets/9night/drum.glb","Drum.001_Drum_0",48255,27129,1,1,1,On,True,"0",False,False,False,False,False,0,False,,0,"Untagged","(0.651, 0.752, 0.655)",False,"",D,Low,Low
"Assets/_Recovery/0 (3).unity","_SceneContent/ImplementedContributorInstallations/BFM_Chest_OnChair_W_Text/chest","chest",True,True,MeshRenderer,"Assets/BCaT_assets/BlackFamilyMuseumArchive/Models/chest.glb","Assets/BCaT_assets/BlackFamilyMuseumArchive/Prefabs/BFM_Chest_OnChair_W_Text.prefab","",12259,21656,1,1,1,On,True,"LightmapStatic",True,False,False,False,False,0,False,,0,"Untagged","(0.359, 0.508, 0.811)",True,"Review manually for modular simplification only if repeated or always visible",B,Medium,Medium
"Assets/_Recovery/0 (3).unity","_SceneContent/Home/SecondFloor/SecondRoom/Bed28/BedFrame28/Blanket28","Blanket28",True,True,MeshRenderer,"Assets/Furniture Mega Pack/FBX/Bed/Bed28.fbx","Assets/Furniture Mega Pack/Prefabs/Beds/Bed28.prefab","Blanket28",11106,21632,1,1,1,On,True,"0",False,False,False,False,False,0,False,,0,"Untagged","(2.227, 0.823, 3.527)",True,"Review manually for modular simplification only if repeated or always visible",B,Medium,Medium
"Assets/_Recovery/0 (3).unity","_SceneContent/ImplementedContributorInstallations/RI/Chair_asset/chair/Chair26/Chair26_model","Chair26_model",True,True,MeshRenderer,"Assets/Furniture Mega Pack/FBX/Chair/Chair26.fbx","Assets/Furniture Mega Pack/Prefabs/Chairs/Chair26.prefab","Chair26",11594,18816,1,1,1,On,True,"0",False,False,False,False,False,0,False,,0,"Untagged","(1.216, 1.342, 1.181)",False,"",D,Low,Low
"Assets/_Recovery/0 (3).unity","_SceneContent/ImplementedContributorInstallations/LindaLeaks_Exhibit/VintageCamera_Preview/Artifact_VintageCamera/LL_AntiqueCamera_Model/Armature/Object_6/Object_9","Object_9",True,True,SkinnedMeshRenderer,"Assets/BCaT_assets/LindaLeaks/Models/LL_AntiqueCamera.glb","Assets/BCaT_assets/LindaLeaks/Prefabs/LindaLeaks_Exhibit_VintageCamera.prefab","kamera.001_Material.002_0",18865,17946,1,1,1,On,True,"0",False,False,False,False,False,0,False,,0,"Untagged","(0.265, 0.373, 0.483)",False,"",D,Low,Low
"Assets/_Recovery/0 (3).unity","_SceneContent/Home/FirstFloor/LivingRoom/flower_pot_1","flower_pot_1",True,True,MeshRenderer,"Assets/DevDen Arch Viz Scotland/Models/Balcony/flower_pot_1.fbx","Assets/DevDen Arch Viz Scotland/Prefabs/Balcony/flower_pot_1.prefab","flowere1",19721,17730,4,4,4,On,True,"-1",True,True,True,True,False,17730,False,,0,"Untagged","(0.664, 0.351, 0.666)",True,"Review manually for modular simplification only if repeated or always visible",B,Medium,Medium
"Assets/_Recovery/0 (3).unity","_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/notebook/Plane_0/Object_5","Object_5",True,True,MeshRenderer,"Assets/BCaT_assets/BTMMP_Workstation_Assembly/notebook.glb","Assets/BCaT_assets/BTMMP_Workstation_Assembly/notebook.glb","Object_1",16054,16676,1,1,1,On,True,"0",False,False,False,False,False,0,False,,0,"Untagged","(0.286, 0.199, 0.160)",False,"",D,Low,Low
"Assets/_Recovery/0 (3).unity","_SceneContent/ImplementedContributorInstallations/HOMED/Recipe-Box","Recipe-Box",True,True,MeshRenderer,"Assets/BCaT_assets/HOMED/Models/Recipe-Box.glb","Assets/BCaT_assets/HOMED/Prefabs/HOMED.prefab","",11259,16135,1,1,1,On,True,"LightmapStatic",True,False,False,False,False,0,False,,0,"Untagged","(0.491, 0.337, 0.696)",False,"",D,Low,Low
"Assets/_Recovery/0 (3).unity","_SceneContent/ImplementedContributorInstallations/BFM_Chest_OnChair_W_Text/chest_chair","chest_chair",True,True,MeshRenderer,"Assets/BCaT_assets/BlackFamilyMuseumArchive/Models/chest_chair.glb","Assets/BCaT_assets/BlackFamilyMuseumArchive/Prefabs/BFM_Chest_OnChair_W_Text.prefab","",10046,14130,1,1,1,On,True,"LightmapStatic",True,False,False,False,False,0,False,,0,"Untagged","(0.790, 1.167, 0.784)",True,"Review manually for modular simplification only if repeated or always visible",B,Medium,Medium
"Assets/_Recovery/0 (3).unity","_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/notebook/BezierCircle_2/Object_9","Object_9",True,True,MeshRenderer,"Assets/BCaT_assets/BTMMP_Workstation_Assembly/notebook.glb","Assets/BCaT_assets/BTMMP_Workstation_Assembly/notebook.glb","Object_3",7644,13824,1,1,1,On,True,"0",False,False,False,False,False,0,False,,0,"Untagged","(0.065, 0.161, 0.125)",False,"",D,Low,Low
"Assets/_Recovery/0 (3).unity","_SceneContent/Home/SecondFloor/SecondRoom/Bed28/BedFrame28/Curtain28_2","Curtain28_2",True,True,MeshRenderer,"Assets/Furniture Mega Pack/FBX/Bed/Bed28.fbx","Assets/Furniture Mega Pack/Prefabs/Beds/Bed28.prefab","Curtain28_2",7134,13808,1,1,1,On,True,"0",False,False,False,False,False,0,False,,0,"Untagged","(1.258, 3.084, 0.585)",True,"Review manually for modular simplification only if repeated or always visible",B,Medium,Medium
"Assets/_Recovery/0 (3).unity","_SceneContent/Home/SecondFloor/SecondRoom/Bed28/BedFrame28/Curtain28_1","Curtain28_1",True,True,MeshRenderer,"Assets/Furniture Mega Pack/FBX/Bed/Bed28.fbx","Assets/Furniture Mega Pack/Prefabs/Beds/Bed28.prefab","Curtain28_1",7134,13808,1,1,1,On,True,"0",False,False,False,False,False,0,False,,0,"Untagged","(1.258, 3.085, 0.445)",True,"Review manually for modular simplification only if repeated or always visible",B,Medium,Medium
"Assets/_Recovery/0 (3).unity","_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/oil_barrel_laying","oil_barrel_laying",True,True,MeshRenderer,"Assets/BCaT_assets/BTMMP_Workstation_Assembly/blue-oil-barrel-with-lots-of-spray-paint-streaks/source/oil barrel1hig22low uv.fbx","Assets/BCaT_assets/BTMMP_Workstation_Assembly/blue-oil-barrel-with-lots-of-spray-paint-streaks/source/oil barrel1hig22low uv.fbx","low",5610,10650,1,1,1,On,True,"0",False,False,False,False,False,0,False,,0,"Untagged","(0.523, 0.475, 0.814)",False,"",D,Low,Low
"Assets/_Recovery/0 (3).unity","_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/oil_barrel_standing","oil_barrel_standing",True,True,MeshRenderer,"Assets/BCaT_assets/BTMMP_Workstation_Assembly/blue-oil-barrel-with-lots-of-spray-paint-streaks/source/oil barrel1hig22low uv.fbx","Assets/BCaT_assets/BTMMP_Workstation_Assembly/blue-oil-barrel-with-lots-of-spray-paint-streaks/source/oil barrel1hig22low uv.fbx","low",5610,10650,1,1,1,On,True,"0",False,False,False,False,False,0,False,,0,"Untagged","(0.496, 0.771, 0.502)",False,"",D,Low,Low
"Assets/_Recovery/0 (3).unity","_SceneContent/Home/SecondFloor/SecondRoom/Chair47/Chair47_model","Chair47_model",True,True,MeshRenderer,"Assets/Furniture Mega Pack/FBX/Chair/Chair47.fbx","Assets/Furniture Mega Pack/Prefabs/Chairs/Chair47.prefab","Chair47",6726,10484,1,1,1,On,True,"0",False,False,False,False,False,0,False,,0,"Untagged","(1.750, 1.217, 0.950)",True,"Review manually for modular simplification only if repeated or always visible",B,Medium,Medium
"Assets/_Recovery/0 (3).unity","_SceneContent/Home/FirstFloor/SewingRoom/old_sewing_box","old_sewing_box",True,True,MeshRenderer,"Assets/BCaT_assets/SewingRoom/old_sewing_box.glb","Assets/BCaT_assets/SewingRoom/old_sewing_box.glb","Object_0",5491,10344,1,1,1,On,True,"0",False,False,False,False,False,0,False,,0,"Untagged","(0.496, 0.172, 0.383)",True,"Review manually for modular simplification only if repeated or always visible",B,Medium,Medium
"Assets/_Recovery/0 (3).unity","_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_can (3)","spray_can (3)",True,True,MeshRenderer,"Assets/BCaT_assets/BTMMP_Workstation_Assembly/spray_can.glb","Assets/BCaT_assets/BTMMP_Workstation_Assembly/spray_can.glb","Object_0",6138,7552,1,1,1,On,True,"0",False,False,False,False,False,0,False,,0,"Untagged","(0.245, 0.300, 0.369)",False,"",D,Low,Low
"Assets/_Recovery/0 (3).unity","_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_can (4)","spray_can (4)",True,True,MeshRenderer,"Assets/BCaT_assets/BTMMP_Workstation_Assembly/spray_can.glb","Assets/BCaT_assets/BTMMP_Workstation_Assembly/spray_can.glb","Object_0",6138,7552,1,1,1,On,True,"0",False,False,False,False,False,0,False,,0,"Untagged","(0.356, 0.300, 0.411)",False,"",D,Low,Low
"Assets/_Recovery/0 (3).unity","_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_can (7)","spray_can (7)",True,True,MeshRenderer,"Assets/BCaT_assets/BTMMP_Workstation_Assembly/spray_can.glb","Assets/BCaT_assets/BTMMP_Workstation_Assembly/spray_can.glb","Object_0",6138,7552,1,1,1,On,True,"0",False,False,False,False,False,0,False,,0,"Untagged","(0.245, 0.300, 0.369)",False,"",D,Low,Low
"Assets/_Recovery/0 (3).unity","_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_can","spray_can",True,True,MeshRenderer,"Assets/BCaT_assets/BTMMP_Workstation_Assembly/spray_can.glb","Assets/BCaT_assets/BTMMP_Workstation_Assembly/spray_can.glb","Object_0",6138,7552,1,1,1,On,True,"0",False,False,False,False,False,0,False,,0,"Untagged","(0.245, 0.300, 0.369)",False,"",D,Low,Low
"Assets/_Recovery/0 (3).unity","_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_can (8)","spray_can (8)",True,True,MeshRenderer,"Assets/BCaT_assets/BTMMP_Workstation_Assembly/spray_can.glb","Assets/BCaT_assets/BTMMP_Workstation_Assembly/spray_can.glb","Object_0",6138,7552,1,1,1,On,True,"0",False,False,False,False,False,0,False,,0,"Untagged","(0.390, 0.300, 0.286)",False,"",D,Low,Low
"Assets/_Recovery/0 (3).unity","_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_can (1)","spray_can (1)",True,True,MeshRenderer,"Assets/BCaT_assets/BTMMP_Workstation_Assembly/spray_can.glb","Assets/BCaT_assets/BTMMP_Workstation_Assembly/spray_can.glb","Object_0",6138,7552,1,1,1,On,True,"0",False,False,False,False,False,0,False,,0,"Untagged","(0.396, 0.300, 0.404)",False,"",D,Low,Low
"Assets/_Recovery/0 (3).unity","_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_can (5)","spray_can (5)",True,True,MeshRenderer,"Assets/BCaT_assets/BTMMP_Workstation_Assembly/spray_can.glb","Assets/BCaT_assets/BTMMP_Workstation_Assembly/spray_can.glb","Object_0",6138,7552,1,1,1,On,True,"0",False,False,False,False,False,0,False,,0,"Untagged","(0.390, 0.300, 0.407)",False,"",D,Low,Low
"Assets/_Recovery/0 (3).unity","_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_can (6)","spray_can (6)",True,True,MeshRenderer,"Assets/BCaT_assets/BTMMP_Workstation_Assembly/spray_can.glb","Assets/BCaT_assets/BTMMP_Workstation_Assembly/spray_can.glb","Object_0",6138,7552,1,1,1,On,True,"0",False,False,False,False,False,0,False,,0,"Untagged","(0.245, 0.300, 0.369)",False,"",D,Low,Low
"Assets/_Recovery/0 (3).unity","_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/spray_can (2)","spray_can (2)",True,True,MeshRenderer,"Assets/BCaT_assets/BTMMP_Workstation_Assembly/spray_can.glb","Assets/BCaT_assets/BTMMP_Workstation_Assembly/spray_can.glb","Object_0",6138,7552,1,1,1,On,True,"0",False,False,False,False,False,0,False,,0,"Untagged","(0.245, 0.300, 0.369)",False,"",D,Low,Low
"Assets/_Recovery/0 (3).unity","_SceneContent/Home/SecondFloor/SecondRoom/Bed28/BedFrame28/Mattress28","Mattress28",True,True,MeshRenderer,"Assets/Furniture Mega Pack/FBX/Bed/Bed28.fbx","Assets/Furniture Mega Pack/Prefabs/Beds/Bed28.prefab","Mattress28",4038,7424,1,1,1,On,True,"0",False,False,False,False,False,0,False,,0,"Untagged","(3.665, 0.621, 2.830)",True,"Review manually for modular simplification only if repeated or always visible",B,Medium,Medium
"Assets/_Recovery/0 (3).unity","_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/Cilindro low-bajo/group2/Mid_2","Mid_2",True,True,MeshRenderer,"Assets/BCaT_assets/BTMMP_Workstation_Assembly/camera-canon-eos-400d/source/Cilindro low-bajo.fbx","Assets/BCaT_assets/BTMMP_Workstation_Assembly/camera-canon-eos-400d/source/Cilindro low-bajo.fbx","Mid_2",3748,6692,1,1,1,On,True,"0",False,False,False,False,False,0,False,,0,"Untagged","(0.185, 0.155, 0.156)",False,"",D,Low,Low
"Assets/_Recovery/0 (3).unity","_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_159","Object_159",True,True,SkinnedMeshRenderer,"Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb","Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb","Object_21",4204,6634,1,1,1,On,True,"0",False,False,False,False,False,0,False,,0,"Untagged","(0.251, 0.032, 0.167)",False,"",D,Low,Low
"Assets/_Recovery/0 (3).unity","_SceneContent/ImplementedContributorInstallations/BTMMP_Workstation_Assembly/static/drone/Object_183","Object_183",True,True,SkinnedMeshRenderer,"Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb","Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb","Object_29",3564,6050,1,1,1,On,True,"0",False,False,False,False,False,0,False,,0,"Untagged","(0.070, 0.042, 0.050)",False,"",D,Low,Low
