scene,texturePath,width,height,runtimeMemoryBytes,referencedByCount,materials
"Assets/_Recovery/0 (3).unity","Assets/BCaT_assets/BTMMP_Workstation_Assembly/camera-canon-eos-400d/textures/Camara_Low_V2_lambert3_BaseColor.png",2048,2048,11185873,1,"Assets/BCaT_assets/BTMMP_Workstation_Assembly/camera-canon-eos-400d/source/Cilindro low-bajo.fbx"
"Assets/_Recovery/0 (3).unity","Assets/BCaT_assets/BTMMP_Workstation_Assembly/metal_table_asset.glb",2048,2048,11185840,1,"Assets/BCaT_assets/BTMMP_Workstation_Assembly/metal_table_asset.glb"
"Assets/_Recovery/0 (3).unity","Assets/BCaT_assets/BTMMP_Workstation_Assembly/flowerbarrel_with_tulips.glb",2048,2048,11185840,1,"Assets/BCaT_assets/BTMMP_Workstation_Assembly/flowerbarrel_with_tulips.glb"
"Assets/_Recovery/0 (3).unity","Assets/BCaT_assets/BTMMP_Workstation_Assembly/flowerbarrel_with_tulips.glb",2048,2048,11185840,1,"Assets/BCaT_assets/BTMMP_Workstation_Assembly/flowerbarrel_with_tulips.glb"
"Assets/_Recovery/0 (3).unity","Assets/BCaT_assets/SewingRoom/bed.glb",2048,2048,11185840,1,"Assets/BCaT_assets/SewingRoom/bed.glb"
"Assets/_Recovery/0 (3).unity","Assets/BCaT_assets/SewingRoom/bed.glb",2048,2048,11185840,1,"Assets/BCaT_assets/SewingRoom/bed.glb"
"Assets/_Recovery/0 (3).unity","Assets/BCaT_assets/SewingRoom/bed.glb",2048,2048,11185840,1,"Assets/BCaT_assets/SewingRoom/bed.glb"
"Assets/_Recovery/0 (3).unity","Assets/My_Custom/dishwasher.glb",2048,2048,11185840,1,"Assets/My_Custom/dishwasher.glb"
"Assets/_Recovery/0 (3).unity","Assets/BCaT_assets/SewingRoom/old_sewing_box.glb",2048,2048,11185840,1,"Assets/BCaT_assets/SewingRoom/old_sewing_box.glb"
"Assets/_Recovery/0 (3).unity","Assets/BCaT_assets/BlackFamilyMuseumArchive/Models/chest_chair.glb",1024,1024,9787716,1,"Assets/BCaT_assets/BlackFamilyMuseumArchive/Models/chest_chair.glb"
"Assets/_Recovery/0 (3).unity","Assets/BCaT_assets/BlackFamilyMuseumArchive/Models/chest.glb",1024,1024,9787716,1,"Assets/BCaT_assets/BlackFamilyMuseumArchive/Models/chest.glb"
"Assets/_Recovery/0 (3).unity","Assets/BCaT_assets/BTMMP_Workstation_Assembly/camera-canon-eos-400d/textures/Camara_Low_V2_lambert3_Normal.png",2048,2048,5593408,1,"Assets/BCaT_assets/BTMMP_Workstation_Assembly/camera-canon-eos-400d/source/Cilindro low-bajo.fbx"
