path,width,height,format,isReadable,mipmapCount,runtimeMemoryBytes,fileBytes,maxTextureSize,textureCompression,crunched,alphaSource,sRGBTexture,wrapMode,filterMode
"Assets/Animated Tropical Vegetation/DemoSceneContent/background.png",512,512,"RGBA_DXT1_SRGB",False,10,350528,138384,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/DemoSceneContent/click_cursor.png",128,128,"R8G8B8A8_SRGB",True,1,132048,6750,2048,Compressed,False,FromInput,True,"Clamp","Point"
"Assets/Animated Tropical Vegetation/DemoSceneContent/controls.png",1250,1250,"R8G8B8A8_SRGB",False,1,12500976,84294,2048,Compressed,False,FromInput,True,"Clamp","Bilinear"
"Assets/Animated Tropical Vegetation/DemoSceneContent/cursorZone.png",16,16,"RGBA_DXT5_SRGB",False,1,1488,156,2048,Compressed,False,FromInput,True,"Clamp","Bilinear"
"Assets/Animated Tropical Vegetation/DemoSceneContent/grab_cursor.png",128,128,"R8G8B8A8_SRGB",True,1,132048,5996,2048,Compressed,False,FromInput,True,"Clamp","Point"
"Assets/Animated Tropical Vegetation/DemoSceneContent/hand_cursor.png",128,128,"R8G8B8A8_SRGB",True,1,132048,7238,2048,Compressed,False,FromInput,True,"Clamp","Point"
"Assets/Animated Tropical Vegetation/Textures/bamboo_bark_color.png",256,512,"RGBA_DXT1_SRGB",False,10,175776,124783,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/bamboo_bark_normal.png",256,512,"RGBA_DXT5_UNorm",False,10,350576,93619,2048,Compressed,False,FromInput,False,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/bamboo_leaves_color.png",512,512,"RGBA_DXT5_SRGB",False,10,700080,105966,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/bamboo_leaves_normal.png",512,512,"RGBA_DXT5_UNorm",False,10,700080,33237,2048,Compressed,False,FromInput,False,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/banana_tree_1_bark_color.png",512,512,"RGBA_DXT1_SRGB",False,10,350528,442420,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/banana_tree_1_bark_normal.png",512,512,"RGBA_DXT5_UNorm",False,10,700080,330408,2048,Compressed,False,FromInput,False,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/banana_tree_1_leaf_color.png",512,512,"RGBA_DXT5_SRGB",False,10,700080,159408,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/banana_tree_1_leaf_normal.png",512,512,"RGBA_DXT5_UNorm",False,10,700080,106321,2048,Compressed,False,FromInput,False,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/banana_tree_2_bark_color.png",512,1024,"RGBA_DXT1_SRGB",False,11,700064,582471,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/banana_tree_2_bark_normal.png",512,1024,"RGBA_DXT5_UNorm",False,11,1399152,521382,2048,Compressed,False,FromInput,False,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/banana_tree_2_leaves_color.png",1024,1024,"RGBA_DXT5_SRGB",False,11,2797232,662550,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
"Assets/Animated Tropical Vegetation/Textures/banana_tree_2_leaves_normal.png",1024,1024,"RGBA_DXT5_UNorm",False,11,2797232,438298,2048,Compressed,False,FromInput,False,"Repeat","Bilinear"
