asset	width	height	format	mips	readable	maxSize	compression	crunch	sRGB	type	sourceSizeBytes
Assets/BCAT_GLB_TextureRemediation/dishwasher/Texture_0 _00.png	2048	2048	DXT1	12	False	2048	CompressedHQ	False	True	Default	292413
Assets/BCAT_GLB_TextureRemediation/dishwasher/Texture_1 _01.png	2048	2048	DXT1	12	False	2048	CompressedHQ	False	False	Default	417536
Assets/BCAT_GLB_TextureRemediation/metal_table_asset/Texture_0 _00.png	2048	2048	DXT1	12	False	2048	CompressedHQ	False	True	Default	12377140
Assets/BCAT_GLB_TextureRemediation/metal_table_asset/Texture_1 _01.png	2048	2048	DXT1	12	False	2048	CompressedHQ	False	False	Default	8796351
Assets/BCaT_assets/BTMMP_Workstation_Assembly/camera-canon-eos-400d/textures/Camara_Low_V2_lambert3_BaseColor.png	2048	2048	DXT5	12	False	2048	Compressed	False	True	Default	1422749
Assets/BCaT_assets/BTMMP_Workstation_Assembly/camera-canon-eos-400d/textures/Camara_Low_V2_lambert3_Normal.png	2048	2048	DXT1	12	False	2048	Compressed	False	True	Default	14076281
Assets/BCaT_assets/BTMMP_Workstation_Assembly/spray-paint-bottle-2/textures/diffuse.jpg	2048	2048	DXT1	12	False	2048	Compressed	False	True	Default	1590799
Assets/BCaT_assets/BTMMP_Workstation_Assembly/spray-paint-bottle-2/textures/normal.jpg	2048	2048	DXT1	12	False	2048	Compressed	False	True	Default	1985517
Assets/BCaT_assets/LindaLeaks/Images/LL_CoopHousing_01.jpg	1495	1025	RGB24	1	False	2048	Compressed	False	True	Sprite	257869
Assets/BCaT_assets/LindaLeaks/Images/LL_CoopHousing_02.jpg	1492	1031	RGB24	1	False	2048	Compressed	False	True	Sprite	321221
Assets/BCaT_assets/LindaLeaks/Images/LL_CoopHousing_03.jpg	1503	1030	RGB24	1	False	2048	Compressed	False	True	Sprite	273241
Assets/BCaT_assets/LindaLeaks/Images/LL_CoopHousing_04.jpg	1744	1182	RGB24	1	False	2048	Compressed	False	True	Sprite	369875
Assets/BCaT_assets/LindaLeaks/Images/LL_CoopHousing_05.jpg	1711	1180	RGB24	1	False	2048	Compressed	False	True	Sprite	367470
Assets/BCaT_assets/LindaLeaks/Images/LL_CoopHousing_06.png	2048	1369	RGB24	1	False	2048	Compressed	False	True	Sprite	10301780
Assets/BCaT_assets/LindaLeaks/Images/LL_CoopHousing_09.jpg	1753	1185	RGB24	1	False	2048	Compressed	False	True	Sprite	282610
Assets/BCaT_assets/LindaLeaks/Images/LL_map.png	2048	1375	RGBA32	1	False	2048	Compressed	False	True	Sprite	6543523
Assets/BCaT_assets/Meshell_Sturgis/My Grandma's Garden.png	4096	2048	DXT1	1	False	4096	Compressed	False	True	Default	16537844
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/BlackRefractions/page_001.png	792	1224	RGB24	1	False	2048	Uncompressed	False	True	Default	455322
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/BlackRefractions/page_002.png	583	1224	RGB24	1	False	2048	Uncompressed	False	True	Default	38835
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/BlackRefractions/page_003.png	755	1145	RGB24	1	False	2048	Uncompressed	False	True	Default	266758
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/BlackRefractions/page_004.png	758	1074	RGB24	1	False	2048	Uncompressed	False	True	Default	266016
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/BlackRefractions/page_005.png	757	1059	RGB24	1	False	2048	Uncompressed	False	True	Default	290827
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/BlackRefractions/page_006.png	699	1138	RGB24	1	False	2048	Uncompressed	False	True	Default	97873
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/BlackRefractions/page_007.png	792	1224	RGB24	1	False	2048	Uncompressed	False	True	Default	4592
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/BlackRefractions/page_009.png	753	1184	RGB24	1	False	2048	Uncompressed	False	True	Default	309505
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/BlackRefractions/page_010.png	740	912	RGB24	1	False	2048	Uncompressed	False	True	Default	58141
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/BlackRefractions/page_011.png	729	1112	RGB24	1	False	2048	Uncompressed	False	True	Default	267551
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/BlackRefractions/page_012.png	754	1166	RGB24	1	False	2048	Uncompressed	False	True	Default	229965
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/BlackRefractions/page_013.png	760	1112	RGB24	1	False	2048	Uncompressed	False	True	Default	170795
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/BlackRefractions/page_014.png	750	1113	RGB24	1	False	2048	Uncompressed	False	True	Default	212562
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/BlackRefractions/page_016.png	759	1161	RGB24	1	False	2048	Uncompressed	False	True	Default	245915
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/BlackRefractions/page_017.png	715	1163	RGB24	1	False	2048	Uncompressed	False	True	Default	240551
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/BlackRefractions/page_018.png	752	1224	RGB24	1	False	2048	Uncompressed	False	True	Default	117151
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/BlackRefractions/page_019.png	792	1224	RGB24	1	False	2048	Uncompressed	False	True	Default	611703
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/BlackRefractions/page_020.png	792	1203	RGB24	1	False	2048	Uncompressed	False	True	Default	519983
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/BlackRefractions/page_021.png	760	1148	RGB24	1	False	2048	Uncompressed	False	True	Default	224076
Assets/BCaT_assets/Meshell_Sturgis/articles/Pages/BlackRefractions/page_022.png	759	1087	RGB24	1	False	2048	Uncompressed	False	True	Default	128868
