asset	subAsset	kind	detail
Assets/BCaT/Exhibits/BlackKitchen/Models/BlackKitchen_ScannedEnvironment.glb	material_0	Material	shader=UnityGLTF/UnlitGraph
Assets/BCaT/Exhibits/BlackKitchen/Models/BlackKitchen_ScannedEnvironment.glb	Texture_0 	Texture2D	8192x8192 fmt=RGB24 mips=14 estMB=268.4
Assets/BCaT/Exhibits/BlackKitchen/Models/BlackKitchen_ScannedEnvironment.glb		Mesh	verts=478024 tris=659560 submeshes=1 readable=False bounds=(5.75, 2.73, 4.05)
Assets/BCaT_assets/9night/drum.glb	Drum	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/9night/drum.glb	Texture_0 	Texture2D	1024x1024 fmt=RGB24 mips=11 estMB=4.2
Assets/BCaT_assets/9night/drum.glb	Texture_1 	Texture2D	1024x1024 fmt=RGB24 mips=11 estMB=4.2
Assets/BCaT_assets/9night/drum.glb	Drum.001_Drum_0	Mesh	verts=65533 tris=89817 submeshes=1 readable=False bounds=(4.75, 4.68, 6.76)
Assets/BCaT_assets/9night/drum.glb	Drum.001_Drum_0	Mesh	verts=65533 tris=73154 submeshes=1 readable=False bounds=(4.75, 4.67, 6.76)
Assets/BCaT_assets/9night/drum.glb	Drum.001_Drum_0	Mesh	verts=48255 tris=27129 submeshes=1 readable=False bounds=(4.73, 4.67, 6.76)
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_0	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_1	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_2	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_3	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_4	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_5	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_6	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_7	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_8	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_9	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_10	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_11	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_12	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_13	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_14	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_15	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_16	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_17	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_18	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_19	Material	shader=UnityGLTF/PBRGraph
Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb	material_20	Material	shader=UnityGLTF/PBRGraph
