asset	width	height	previousMax	newWebGLMax
Assets/Coconut Palm Tree Pack/Textures/Coconut_Palm_Tree_diffuse.psd	2048	2048	2048	1024
Assets/danthaigames/DS 80s Television/Textures/TV.png	2048	2048	2048	1024
Assets/danthaigames/DS 80s Television/Textures/TVHandlesSurround.png	2048	2048	2048	1024
Assets/danthaigames/DS 80s Television/Textures/TVScreen.png	2048	2048	2048	1024
Assets/DevDen Arch Viz Scotland/Textures/Bathroom/Bathroom_Glass/glass_glass_Normal.png	2048	2048	2048	1024
Assets/DevDen Arch Viz Scotland/Textures/Bed Room/bedside_carpet/carpet_carpet_AlbedoTransparency.png	2048	2048	2048	1024
Assets/DevDen Arch Viz Scotland/Textures/Common/Interior_props/StudyRoom_BG1.png	2048	2048	2048	1024
Assets/DevDen Arch Viz Scotland/Textures/Common/note_pad/note_pad_note_pad_AlbedoTransparency.png	2048	2048	2048	1024
Assets/DevDen Arch Viz Scotland/Textures/Common/note_pad/note_pad_note_pad_MetallicSmoothness.png	2048	2048	2048	1024
Assets/DevDen Arch Viz Scotland/Textures/Common/note_pad/note_pad_note_pad_Normal.png	2048	2048	2048	1024
Assets/DevDen Arch Viz Scotland/Textures/Common/SmallObj/trash-can_albedo.png	2048	2048	2048	1024
Assets/DevDen Arch Viz Scotland/Textures/Common/SmallObj/trash-can_metal.png	2048	2048	2048	1024
Assets/DevDen Arch Viz Scotland/Textures/Common/SmallObj/trash-can_normal.png	2048	2048	2048	1024
Assets/DevDen Arch Viz Scotland/Textures/Dining Room/dinning_chair/dinning_chair_diining_chair_wood_AlbedoTransparency.png	2048	2048	2048	1024
Assets/DevDen Arch Viz Scotland/Textures/Dining Room/dinning_chair/dinning_chair_diining_chair_wood_AO.png	2048	2048	2048	1024
Assets/DevDen Arch Viz Scotland/Textures/Dining Room/dinning_chair/dinning_chair_diining_chair_wood_MetallicSmoothness.png	2048	2048	2048	1024
Assets/DevDen Arch Viz Scotland/Textures/Dining Room/dinning_chair/dinning_chair_diining_chair_wood_Normal.png	2048	2048	2048	1024
Assets/DevDen Arch Viz Scotland/Textures/Environment/Floor Texture/floor mat 1_Normal.png	2048	2048	2048	1024
Assets/DevDen Arch Viz Scotland/Textures/Kitchen Room/side_piece/side_piece_marble_AlbedoTransparency.png	2048	2048	2048	1024
Assets/DevDen Arch Viz Scotland/Textures/Kitchen Room/side_piece/side_piece_marble_AO.png	2048	2048	2048	1024
Assets/DevDen Arch Viz Scotland/Textures/Kitchen Room/side_piece/side_piece_marble_MetallicSmoothness.png	2048	2048	2048	1024
Assets/DevDen Arch Viz Scotland/Textures/Kitchen Room/side_piece/side_piece_marble_Normal.png	2048	2048	2048	1024
Assets/DevDen Arch Viz Scotland/Textures/Living Room/sofa_2/sofa_2_01 - Default_AlbedoTransparency.png	2048	2048	2048	1024
Assets/DevDen Arch Viz Scotland/Textures/Living Room/sofa_2/sofa_2_01 - Default_AO.png	2048	2048	2048	1024
Assets/DevDen Arch Viz Scotland/Textures/Living Room/sofa_2/sofa_2_01 - Default_MetallicSmoothness.png	2048	2048	2048	1024
Assets/DevDen Arch Viz Scotland/Textures/Living Room/TV_Shelf/TV_Shelf_DefaultMaterial_MetallicSmoothness.png	2048	2048	2048	1024
Assets/DevDen Arch Viz Scotland/Textures/Study Room/imac/Imac_imac_AlbedoTransparency.png	2048	2048	2048	1024
Assets/DevDen Arch Viz Scotland/Textures/Study Room/imac/Imac_imac_AlbedoTransparency_emission.png	2048	2048	2048	1024
Assets/DevDen Arch Viz Scotland/Textures/Study Room/imac/Imac_imac_MetallicSmoothness.png	2048	2048	2048	1024
Assets/DevDen Arch Viz Scotland/Textures/Study Room/imac/Imac_imac_Normal.png	2048	2048	2048	1024
Assets/DevDen Arch Viz Scotland/Textures/Study Room/StudyRoom Carpet/Atlas1_Metallic_Smoothness.png	2048	2048	2048	1024
Assets/DevDen Arch Viz Scotland/Textures/Study Room/StudyRoom Carpet/Atlas_1.png	2048	2048	2048	1024
Assets/DevDen Arch Viz Scotland/Textures/Study Room/StudyRoom Carpet/Emission.png	2048	2048	2048	1024
Assets/DevDen Arch Viz Scotland/Textures/Study Room/table/Study Table_AlbedoTransparency.png	2048	2048	2048	1024
Assets/DevDen Arch Viz Scotland/Textures/Study Room/table/Study Table_AO.png	2048	2048	2048	1024
Assets/DevDen Arch Viz Scotland/Textures/Study Room/table/Study Table_MetallicSmoothness.png	2048	2048	2048	1024
Assets/DevDen Arch Viz Scotland/Textures/Study Room/table/Study Table_Normal.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Bathroom/AtlasTexture_BathroomCollection_BathroomCollection_AlbedoTransparency.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Bathroom/AtlasTexture_BathroomCollection_BathroomCollection_MetallicSmoothness.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Bathroom/AtlasTexture_BathroomCollection_BathroomCollection_Normal.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Bed/BedFrame/AtlasTexture_BedFrame_AtlasTexture_BedFrame_AlbedoTransparency.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Bed/BedFrame/AtlasTexture_BedFrame_AtlasTexture_BedFrame_MetallicSmoothness.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Bed/BedFrame/AtlasTexture_BedFrame_AtlasTexture_BedFrame_Normal.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Bed/Blanket/AtlasTexture_Blanket_DefaultMaterial_AlbedoTransparency.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Bed/Blanket/AtlasTexture_Blanket_DefaultMaterial_MetallicSmoothness.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Bed/Blanket/AtlasTexture_Blanket_DefaultMaterial_Normal.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Bed/Mattress/AtlasTexture_Mattress_DefaultMaterial_AlbedoTransparency.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Bed/Mattress/AtlasTexture_Mattress_DefaultMaterial_MetallicSmoothness.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Bed/Mattress/AtlasTexture_Mattress_DefaultMaterial_Normal.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Chairs/Chair09/Chair09_mat_Chair09_AlbedoTransparency.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Chairs/Chair09/Chair09_mat_Chair09_MetallicSmoothness.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Chairs/Chair09/Chair09_mat_Chair09_Normal.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Chairs/Chair26/Chair26_mat_Chair26_AlbedoTransparency.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Chairs/Chair26/Chair26_mat_Chair26_MetallicSmoothness.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Chairs/Chair26/Chair26_mat_Chair26_Normal.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Chairs/Chair37/Chair37_mat_Chair37_AlbedoTransparency.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Chairs/Chair37/Chair37_mat_Chair37_MetallicSmoothness.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Chairs/Chair37/Chair37_mat_Chair37_Normal.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Chairs/Chair47/Chair47_mat_Chair47_AlbedoTransparency.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Chairs/Chair47/Chair47_mat_Chair47_MetallicSmoothness.png	2048	2048	2048	1024
Assets/Furniture Mega Pack/Textures/Chairs/Chair47/Chair47_mat_Chair47_Normal.png	2048	2048	2048	1024
