path	guid	type	sizeBytes	tags
Assets/Animated Tropical Vegetation/DemoScene.unity	7afb7ea2e98a33847b723d9df64bf5e1	SceneAsset	259443	-
Assets/Animated Tropical Vegetation/DemoSceneContent/Buttons.cs	740e65b5766c9a74c839f5ac2abbd1d2	MonoScript	9197	-
Assets/Animated Tropical Vegetation/DemoSceneContent/CameraPosition.cs	22ffdce6ea099fa4aa8e3536b90a3176	MonoScript	677	-
Assets/Animated Tropical Vegetation/DemoSceneContent/Controller.cs	4d660fe3caf00be4e8e07768266b4aaf	MonoScript	660	-
Assets/Animated Tropical Vegetation/DemoSceneContent/Cursors.cs	e5a39b948bcac354d979e89ca06582c4	MonoScript	644	-
Assets/Animated Tropical Vegetation/DemoSceneContent/HideImage.cs	4bffb483baf0d5c4780ab27d0cc21929	MonoScript	178	-
Assets/Animated Tropical Vegetation/DemoSceneContent/HideShowButtons.cs	6a517cdbd66aab74cb5c5d321cf79830	MonoScript	562	-
Assets/Animated Tropical Vegetation/DemoSceneContent/background.fbx	2fddc6a26060e734a8fab2bc1d6b70f7	GameObject	11068	-
Assets/Animated Tropical Vegetation/DemoSceneContent/background.png	8f92c1d98d9fd18409c3934e7236136c	Texture2D	138384	-
Assets/Animated Tropical Vegetation/DemoSceneContent/click_cursor.png	ecebca711bbe61a4ea4ed9313e328938	Texture2D	6750	-
Assets/Animated Tropical Vegetation/DemoSceneContent/controls.png	16045556d23cce541aaa11b5f7ae8d4e	Texture2D	84294	-
Assets/Animated Tropical Vegetation/DemoSceneContent/cursorZone.png	857bcc75498f5cc44b3630460316425c	Texture2D	156	-
Assets/Animated Tropical Vegetation/DemoSceneContent/grab_cursor.png	5ab8e1c7965eee04bb8a55640a91eebf	Texture2D	5996	-
Assets/Animated Tropical Vegetation/DemoSceneContent/hand_cursor.png	2c4a8df59cf3fad4ab9b840e0d741002	Texture2D	7238	-
Assets/Animated Tropical Vegetation/DemoSceneContent/surface.mat	a271d12d58c9cf1488a61b3ac1b48543	Material	4201	-
Assets/Animated Tropical Vegetation/HDRP Materials.unitypackage	e8f8cc88bb64aaa46b9dc3ac6cf301b1	DefaultAsset	1052492	-
Assets/Animated Tropical Vegetation/Materials/Billboards/bamboo_1_billboard.mat	c78134542457a24468bc074330cfed7a	Material	5409	-
Assets/Animated Tropical Vegetation/Materials/Billboards/bamboo_2_billboard.mat	2febb67fc92e5b340b7c3deb360fad26	Material	5409	-
Assets/Animated Tropical Vegetation/Materials/Billboards/bamboo_3_billboard.mat	93c430939cc3e284ab92dedb15b71019	Material	5410	-
Assets/Animated Tropical Vegetation/Materials/Billboards/bamboo_4_billboard.mat	c18f895f2c21f334e9e40b74d03a9d3c	Material	5410	-
Assets/Animated Tropical Vegetation/Materials/Billboards/banana_tree_1_billboard.mat	c4f2ef24dfd7702439b3368753d8df34	Material	5415	-
Assets/Animated Tropical Vegetation/Materials/Billboards/banana_tree_2_billboard.mat	318f8eea43a27af42907cce36ee5d706	Material	5414	-
Assets/Animated Tropical Vegetation/Materials/Billboards/banana_tree_3_billboard.mat	a667a1c934f29fc429d5b685cf246436	Material	5413	-
Assets/Animated Tropical Vegetation/Materials/Billboards/banana_tree_4_billboard.mat	2b12ba0e97baee34bb7f5199c1254410	Material	5415	-
Assets/Animated Tropical Vegetation/Materials/Billboards/banana_tree_5_billboard.mat	92adbd866e41fef469eb59f0f5cba2d7	Material	5414	-
Assets/Animated Tropical Vegetation/Materials/Billboards/banana_tree_6_billboard.mat	d642ef792963b544a9c4888bba57c5e0	Material	5415	-
Assets/Animated Tropical Vegetation/Materials/Billboards/big_palm_tree_billboard.mat	a249a08fd6d6c674491983dd5d00e429	Material	5414	-
Assets/Animated Tropical Vegetation/Materials/Billboards/bushy_palm_1_billboard.mat	5450ba6b86a39c543ba2ba8922b30717	Material	5414	-
Assets/Animated Tropical Vegetation/Materials/Billboards/bushy_palm_2_billboard.mat	4e2ce03c60fb1b54a844e777b6564a88	Material	5414	-
Assets/Animated Tropical Vegetation/Materials/Billboards/bushy_palm_3_billboard.mat	c61c30b7af517004080ea4f250dcd0cc	Material	5414	-
Assets/Animated Tropical Vegetation/Materials/Billboards/jungle_bush_1_billboard.mat	10858c1f763490d4da12d4709f70bc87	Material	5414	scene:BH_XR_MainScene
Assets/Animated Tropical Vegetation/Materials/Billboards/jungle_bush_3_billboard.mat	46355c632c26f424b8ec220530222a4f	Material	5415	scene:BH_XR_MainScene
Assets/Animated Tropical Vegetation/Materials/Billboards/large_palm_tree_1_billboard.mat	bda7a589a8e0fd346ad278787ea0c9a4	Material	5419	-
Assets/Animated Tropical Vegetation/Materials/Billboards/large_palm_tree_2_billboard.mat	e2f3a2e5fa51b344b82ad3a40bfcc18b	Material	5417	-
Assets/Animated Tropical Vegetation/Materials/Billboards/palm_tree_2_billboard.mat	dad9ea13a7972624fb8a9fd0ee63c060	Material	5413	-
Assets/Animated Tropical Vegetation/Materials/Billboards/small_tree_2_billboard.mat	570063f1b54a595498977055a9c1a86a	Material	5413	-
Assets/Animated Tropical Vegetation/Materials/Billboards/small_tree_3_billboard.mat	b8621f704065b7e4785512953375098b	Material	5413	-
Assets/Animated Tropical Vegetation/Materials/Billboards/small_tree_4_billboard.mat	cf6be056ec4626b4fa3b03e266ffd08e	Material	5414	-
Assets/Animated Tropical Vegetation/Materials/Billboards/tropical_plant_billboard.mat	d190c7b7e81f2724da66c8ec1c67f4f5	Material	5414	-
Assets/Animated Tropical Vegetation/Materials/bamboo_bark.mat	4f4d914de6b8dc24689e13b44e4ace4c	Material	4995	-
Assets/Animated Tropical Vegetation/Materials/bamboo_leaves.mat	9d98cea824cb30a4dab0af48a065d77f	Material	5242	-
Assets/Animated Tropical Vegetation/Materials/banana_tree_1_bark.mat	2feda1563c42f084d966990817db64ef	Material	5001	-
Assets/Animated Tropical Vegetation/Materials/banana_tree_1_leaf.mat	a02e25af0e6559f4896bf7ca2019747a	Material	5247	-
Assets/Animated Tropical Vegetation/Materials/banana_tree_2_bark.mat	676d60d9ed25d0a4ab3929484b8da60d	Material	5001	-
Assets/Animated Tropical Vegetation/Materials/banana_tree_2_leaves.mat	967180635ca4a294989f56c9b2522a10	Material	5250	-
Assets/Animated Tropical Vegetation/Materials/bushy_palm_1.mat	a1ffd5637404f75489705119b6125d7e	Material	5241	-
Assets/Animated Tropical Vegetation/Materials/bushy_palm_2.mat	eb5b4b947310b964ca6e556233923425	Material	5242	-
Assets/Animated Tropical Vegetation/Materials/dead_tree_bark.mat	47f76fbf194fe714dbd68d8be4dbeb82	Material	4998	-
Assets/Animated Tropical Vegetation/Materials/dead_tree_leaves.mat	a7f27285dead96d43a61822423846f9d	Material	5245	-
Assets/Animated Tropical Vegetation/Materials/jungle_bush_leaves.mat	50647db4684ab1449b12835e43300d1c	Material	5247	scene:BH_XR_MainScene
Assets/Animated Tropical Vegetation/Materials/palm_tree_1_bark.mat	a2479f9e4b8bc4549ba08c6c1d88d146	Material	5000	-
Assets/Animated Tropical Vegetation/Materials/palm_tree_1_leaves.mat	599021f8d8f6ca34793c728d1735d55f	Material	5247	-
Assets/Animated Tropical Vegetation/Materials/palm_tree_2_bark.mat	208ef61656ee6a24d80f455a596efd04	Material	5000	-
Assets/Animated Tropical Vegetation/Materials/palm_tree_2_leaves.mat	f55646f8c14433544bc001d920d2945e	Material	5248	-
Assets/Animated Tropical Vegetation/Materials/palm_tree_3_bark.mat	3bc0dbcbebe777740bd3547135053219	Material	4999	-
Assets/Animated Tropical Vegetation/Materials/palm_tree_3_leaves.mat	8b4fb2c31c9ba114988ec4f95b9e745d	Material	5247	-
Assets/Animated Tropical Vegetation/Materials/small_tree_bark.mat	f0a23fa518e1f4e448c016295fd5b548	Material	4998	-
Assets/Animated Tropical Vegetation/Materials/small_tree_leaves.mat	ca46affe501ab91479032bcc6b947d96	Material	5246	-
Assets/Animated Tropical Vegetation/Materials/tropical_plant_leaf.mat	87b56f8a4e8f59249af36b4681a6f20f	Material	5249	-
Assets/Animated Tropical Vegetation/Models/Bamboos/bamboo_1.controller	13b61dcf6d9a4e14387ebb7878ef4511	AnimatorController	2035	-
Assets/Animated Tropical Vegetation/Models/Bamboos/bamboo_1.fbx	e7d64ad58328a4243acbcc9ff77a0991	GameObject	752156	-
Assets/Animated Tropical Vegetation/Models/Bamboos/bamboo_2.controller	48ec461cb4754c249b33186dc24d5702	AnimatorController	2050	-
Assets/Animated Tropical Vegetation/Models/Bamboos/bamboo_2.fbx	99313ec3e81d8d74b9d267944a405ffd	GameObject	810476	-
Assets/Animated Tropical Vegetation/Models/Bamboos/bamboo_3.controller	d0655a71fbb7b154bad3a4282766d791	AnimatorController	2049	-
Assets/Animated Tropical Vegetation/Models/Bamboos/bamboo_3.fbx	6da88998ca6d4a146a6281a09331441e	GameObject	813948	-
Assets/Animated Tropical Vegetation/Models/Bamboos/bamboo_4.controller	5bae37de9ff07864cbc69eed6e05ab9b	AnimatorController	2044	-
Assets/Animated Tropical Vegetation/Models/Bamboos/bamboo_4.fbx	662ef18fcf8c65b409e8c3d94aa28e34	GameObject	834092	-
Assets/Animated Tropical Vegetation/Models/Banana Trees/banana_tree_1.controller	dcf1b9daa88727745bf64bdbb27ffd93	AnimatorController	2056	-
Assets/Animated Tropical Vegetation/Models/Banana Trees/banana_tree_1.fbx	3fd854e1382903a44be30ef262d4435e	GameObject	428284	-
Assets/Animated Tropical Vegetation/Models/Banana Trees/banana_tree_2.controller	ed386685b817cd0498745cc26af25385	AnimatorController	2048	-
Assets/Animated Tropical Vegetation/Models/Banana Trees/banana_tree_2.fbx	244935be8c9880149944f05da525b74d	GameObject	693740	-
Assets/Animated Tropical Vegetation/Models/Banana Trees/banana_tree_3.controller	88508fa87c1538d4bbc534c127650f3e	AnimatorController	2048	-
Assets/Animated Tropical Vegetation/Models/Banana Trees/banana_tree_3.fbx	6fc4b02ceef78f641bf5decc35b73fa9	GameObject	546268	-
Assets/Animated Tropical Vegetation/Models/Banana Trees/banana_tree_4.controller	f84b18f9d2456214e8b96352bc74e821	AnimatorController	2052	-
Assets/Animated Tropical Vegetation/Models/Banana Trees/banana_tree_4.fbx	2526003a9918d9a448bb351d84d28239	GameObject	432508	-
Assets/Animated Tropical Vegetation/Models/Banana Trees/banana_tree_5.controller	c84fdb328f0607b42add932a39fca5ac	AnimatorController	2053	-
Assets/Animated Tropical Vegetation/Models/Banana Trees/banana_tree_5.fbx	63e8211175783b74187dfbf29e6f2029	GameObject	545660	-
