path	category	sizeBytes	packedBytes	type
Assets/BCaT_assets/Ri/and that is the truth - you know what I'm meaning_720p.mp4	C	124790760	0	VideoClip
Assets/BCaT/Exhibits/BlackKitchen/Models/Reference/point_cloud_scan_REFERENCE_ONLY_DO_NOT_BUILD.ply	C	76945833	0	DefaultAsset
Assets/SubstanceAssets/LittleGamesPack/Textures/ChessPieces/ChessPieces_Normal_OpenGL.png	C	69681270	0	Texture2D
Assets/DevDen Arch Viz Scotland/Scenes/ArchViz/ReflectionProbe-3.exr	C	49748560	0	Cubemap
Assets/DevDen Arch Viz Scotland/HDRI/HDRI.png	C	44743385	0	Texture2D
Assets/TerrainSampleAssets/Textures/Terrain/Heather_Normal.tif	C	36128884	0	Texture2D
Assets/TerrainSampleAssets/Textures/Terrain/Grass_A_Normal.tif	C	36089180	0	Texture2D
Assets/TerrainSampleAssets/Textures/Terrain/Grass_Soil_Normal.tif	C	35994420	0	Texture2D
Assets/TerrainSampleAssets/Textures/Terrain/Muddy_Normal.tif	C	35888960	0	Texture2D
Assets/TerrainSampleAssets/Textures/Terrain/Pebbles_A_Normal.tif	C	35828800	0	Texture2D
Assets/TerrainSampleAssets/Textures/Terrain/Pebbles_B_Normal.tif	C	35279552	0	Texture2D
Assets/TerrainSampleAssets/Textures/Terrain/Heather_BaseColor.tif	C	35233308	0	Texture2D
Assets/TerrainSampleAssets/Textures/Terrain/Tidal_Pools_Normal.tif	C	35033448	0	Texture2D
Assets/TerrainSampleAssets/Textures/Terrain/Rock_Normal.tif	C	34933620	0	Texture2D
Assets/TerrainSampleAssets/Textures/Terrain/Rock_MaskMap.tif	C	34865184	0	Texture2D
Assets/TerrainSampleAssets/Textures/Terrain/Snow_Normal.tif	C	34687396	0	Texture2D
Assets/TerrainSampleAssets/Textures/Terrain/Rock_BaseColor.tif	C	34189544	0	Texture2D
Assets/TerrainSampleAssets/Textures/Terrain/Grass_A_BaseColor.tif	C	34136344	0	Texture2D
Assets/BCaT_assets/LindaLeaks/Linda_Leaks_CHOF_720p.mp4	C	34127159	0	VideoClip
Assets/TerrainSampleAssets/Textures/Terrain/Muddy_BaseColor.tif	C	33725212	0	Texture2D
Assets/TerrainSampleAssets/Textures/Heightmaps/Ridge05_Heightmap.tif	C	33577404	0	Texture2D
Assets/TerrainSampleAssets/Textures/Heightmaps/Ridge06_Heightmap.tif	C	33574684	0	Texture2D
Assets/TerrainSampleAssets/Textures/Heightmaps/Errosion02_Heightmap.tif	C	33573800	0	Texture2D
Assets/TerrainSampleAssets/Textures/Heightmaps/Hills01_Heightmap.tiff	C	33554858	0	Texture2D
Assets/TerrainSampleAssets/Textures/Heightmaps/Hills02_Heightmap.tiff	C	33554858	0	Texture2D
Assets/TerrainSampleAssets/Textures/Heightmaps/Mountain09_Heightmap.tiff	C	33554858	0	Texture2D
Assets/TerrainSampleAssets/Textures/Heightmaps/Mountain10_Heightmap.tiff	C	33554858	0	Texture2D
Assets/TerrainSampleAssets/Textures/Heightmaps/Mountain11_Heightmap.tiff	C	33554858	0	Texture2D
Assets/TerrainSampleAssets/Textures/Heightmaps/Slope01_Heightmap.tiff	C	33554858	0	Texture2D
Assets/TerrainSampleAssets/Textures/Heightmaps/Slope02_Heightmap.tiff	C	33554858	0	Texture2D
Assets/TerrainSampleAssets/Textures/Heightmaps/Slope03_Heightmap.tiff	C	33554858	0	Texture2D
Assets/TerrainSampleAssets/Textures/Heightmaps/Slope04_Heightmap.tiff	C	33554858	0	Texture2D
